rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,68,1,2018-11-06,Wofford,,North Carolina,REG (Non-Conf),L 67-78,*,33,3,12,0.25,2,6,0.333,1,6,0.167,0.333,4,4,1.0,0,1,1,0,2,0,0,1,12,6.7,H,0,1,nathan-hoover-1,Nathan Hoover,2019
2,69,2,2018-11-10,Wofford,@,High Point,REG (Non-Conf),W 68-60,*,30,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,1,1,2,2,0,0,0,0,8,6.7,A,1,1,nathan-hoover-1,Nathan Hoover,2019
3,70,3,2018-11-13,Wofford,,Carver,REG (Non-Conf),W 94-35,*,14,4,6,0.667,1,3,0.333,3,3,1.0,0.75,0,0,,0,1,1,1,0,0,0,0,9,7.4,H,1,1,nathan-hoover-1,Nathan Hoover,2019
4,71,4,2018-11-18,Wofford,@,Oklahoma,REG (Non-Conf),L 64-75,*,35,3,10,0.3,3,7,0.429,0,3,0.0,0.45,1,2,0.5,2,3,5,1,0,0,2,2,10,4.0,A,0,1,nathan-hoover-1,Nathan Hoover,2019
5,72,5,2018-11-21,Wofford,,Coppin State,REG (Non-Conf),W 99-65,*,23,2,9,0.222,2,6,0.333,0,3,0.0,0.333,2,2,1.0,0,4,4,1,0,0,3,1,8,1.0,H,1,1,nathan-hoover-1,Nathan Hoover,2019
6,73,6,2018-11-23,Wofford,,Mars Hill,REG (Non-Conf),W 97-46,*,23,5,8,0.625,4,6,0.667,1,2,0.5,0.875,3,3,1.0,1,0,1,0,2,0,1,1,17,14.7,H,1,1,nathan-hoover-1,Nathan Hoover,2019
7,74,7,2018-11-26,Wofford,@,South Carolina,REG (Non-Conf),W 81-61,*,37,9,15,0.6,9,12,0.75,0,3,0.0,0.9,3,3,1.0,0,4,4,1,1,0,2,4,30,22.4,A,1,1,nathan-hoover-1,Nathan Hoover,2019
8,75,8,2018-12-01,Wofford,,East Tennessee State,REG (Conf),W 79-62,*,30,2,7,0.286,2,5,0.4,0,2,0.0,0.429,3,4,0.75,0,3,3,1,1,0,0,1,9,6.7,H,1,1,nathan-hoover-1,Nathan Hoover,2019
9,76,9,2018-12-04,Wofford,@,Kansas,REG (Non-Conf),L 47-72,*,24,2,7,0.286,0,4,0.0,2,3,0.667,0.286,0,0,,0,3,3,0,0,0,3,1,4,-2.6,A,0,1,nathan-hoover-1,Nathan Hoover,2019
10,77,10,2018-12-06,Wofford,,Kentucky Christian,REG (Non-Conf),W 112-58,*,17,6,14,0.429,3,10,0.3,3,4,0.75,0.536,3,3,1.0,1,4,5,0,0,0,0,2,18,11.7,H,1,1,nathan-hoover-1,Nathan Hoover,2019
