rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,34,1,2018-11-09,Montana,,Georgia State,REG (Non-Conf),W 81-74,,23,3,6,0.5,2,3,0.667,1,3,0.333,0.667,2,2,1.0,0,0,0,4,0,0,3,4,10,5.2,H,1,1,timmy-falls-1,Timmy Falls,2019
2,35,2,2018-11-12,Montana,,Montana Tech,REG (Non-Conf),W 79-55,*,24,4,10,0.4,2,6,0.333,2,4,0.5,0.5,0,0,,0,2,2,3,2,0,4,3,10,4.1,H,1,1,timmy-falls-1,Timmy Falls,2019
3,36,3,2018-11-16,Montana,N,Incarnate Word,REG (Non-Conf),W 93-66,*,33,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,2,2,3,3,1,1,2,0,3.2,N,1,1,timmy-falls-1,Timmy Falls,2019
4,37,4,2018-11-17,Montana,N,Miami (OH),REG (Non-Conf),W 73-71,*,11,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,0,0,1,0,0,3,1,0,-4.1,N,1,1,timmy-falls-1,Timmy Falls,2019
5,38,7,2018-12-03,Montana,,Coll. of Idaho,REG (Non-Conf),W 80-52,,29,4,5,0.8,1,2,0.5,3,3,1.0,0.9,2,2,1.0,0,3,3,3,3,1,4,2,11,11.0,H,1,1,timmy-falls-1,Timmy Falls,2019
6,39,8,2018-12-08,Montana,@,UC Irvine,REG (Non-Conf),L 51-60,,14,0,2,0.0,0,2,0.0,0,0,,0.0,2,2,1.0,0,1,1,2,0,0,2,3,2,-0.9,A,0,1,timmy-falls-1,Timmy Falls,2019
7,40,9,2018-12-17,Montana,,North Dakota State,REG (Non-Conf),W 60-53,,24,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,,0,1,1,2,0,0,4,3,6,1.2,H,1,1,timmy-falls-1,Timmy Falls,2019
8,41,10,2018-12-19,Montana,@,Arizona,REG (Non-Conf),L 42-61,,21,1,9,0.111,1,5,0.2,0,4,0.0,0.167,0,0,,1,4,5,2,2,0,3,4,3,-2.2,A,0,1,timmy-falls-1,Timmy Falls,2019
9,42,11,2018-12-22,Montana,@,South Dakota State,REG (Non-Conf),W 85-74,,24,2,6,0.333,0,4,0.0,2,2,1.0,0.333,3,4,0.75,0,2,2,1,0,0,1,3,7,2.3,A,1,1,timmy-falls-1,Timmy Falls,2019
10,43,12,2018-12-29,Montana,@,Northern Arizona,REG (Conf),W 86-73,,21,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,5,5,2,0,0,2,2,0,-1.3,A,1,1,timmy-falls-1,Timmy Falls,2019
11,44,13,2018-12-31,Montana,@,Southern Utah,REG (Conf),W 89-76,,15,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,0,0,1,0,0,1,1,2,-1.1,A,1,1,timmy-falls-1,Timmy Falls,2019
12,45,14,2019-01-03,Montana,,Sacramento State,REG (Conf),W 87-56,,28,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,0,0,7,1,0,2,3,6,8.1,H,1,1,timmy-falls-1,Timmy Falls,2019
13,46,15,2019-01-05,Montana,,Portland State,REG (Conf),L 74-77 (OT),,12,1,1,1.0,1,1,1.0,0,0,,1.5,1,2,0.5,0,0,0,1,0,0,0,3,4,2.8,H,0,1,timmy-falls-1,Timmy Falls,2019
14,47,16,2019-01-10,Montana,@,Eastern Washington,REG (Conf),L 71-78,,25,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,0,4,4,3,0,0,2,5,2,-1.1,A,0,1,timmy-falls-1,Timmy Falls,2019
15,48,17,2019-01-12,Montana,@,Northern Colorado,REG (Conf),W 88-64,,1,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,2,0,-1.5,A,1,1,timmy-falls-1,Timmy Falls,2019
16,49,18,2019-01-19,Montana,@,Idaho,REG (Conf),W 69-51,,10,0,2,0.0,0,2,0.0,0,0,,0.0,2,2,1.0,0,2,2,1,0,0,0,0,2,1.9,A,1,1,timmy-falls-1,Timmy Falls,2019
17,50,19,2019-01-24,Montana,,Idaho State,REG (Conf),W 80-69,,25,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,0,0,4,1,0,2,4,0,-1.9,H,1,1,timmy-falls-1,Timmy Falls,2019
18,51,20,2019-01-26,Montana,,Weber State,REG (Conf),W 75-68,,20,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,2,1.0,0,6,6,2,1,0,1,1,5,5.4,H,1,1,timmy-falls-1,Timmy Falls,2019
19,52,21,2019-02-02,Montana,@,Montana State,REG (Conf),W 83-78,,19,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,3,0,0,2,2,0,-1.1,A,1,1,timmy-falls-1,Timmy Falls,2019
20,53,22,2019-02-07,Montana,,Idaho,REG (Conf),W 100-59,,18,3,4,0.75,3,4,0.75,0,0,,1.125,0,0,,0,0,0,4,2,0,1,5,9,9.2,H,1,1,timmy-falls-1,Timmy Falls,2019
21,54,23,2019-02-09,Montana,,Eastern Washington,REG (Conf),W 75-74,,24,1,2,0.5,1,2,0.5,0,0,,0.75,3,4,0.75,0,0,0,2,0,1,2,3,6,3.5,H,1,1,timmy-falls-1,Timmy Falls,2019
22,55,24,2019-02-14,Montana,@,Weber State,REG (Conf),W 83-80,,19,2,5,0.4,0,2,0.0,2,3,0.667,0.4,0,0,,0,0,0,3,1,0,1,3,4,2.2,A,1,1,timmy-falls-1,Timmy Falls,2019
23,56,25,2019-02-16,Montana,@,Idaho State,REG (Conf),W 80-68,,5,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,3,0,0,3,0,0,-2.3,A,1,1,timmy-falls-1,Timmy Falls,2019
24,57,26,2019-02-23,Montana,,Montana State,REG (Conf),W 89-83,,15,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,0,1,1,1,0,1,3,3,2.2,H,1,1,timmy-falls-1,Timmy Falls,2019
25,58,27,2019-02-25,Montana,,Northern Colorado,REG (Conf),L 72-74,,10,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,1,1,2,0,0,0,1,0,2,0.3,H,0,1,timmy-falls-1,Timmy Falls,2019
26,59,28,2019-03-02,Montana,,Southern Utah,REG (Conf),W 70-54,,12,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,4,0.5,1,1,2,0,1,0,0,3,7,5.0,H,1,1,timmy-falls-1,Timmy Falls,2019
27,60,29,2019-03-04,Montana,,Northern Arizona,REG (Conf),W 66-64,,24,2,5,0.4,2,5,0.4,0,0,,0.6,2,2,1.0,0,1,1,1,0,0,0,3,8,5.1,H,1,1,timmy-falls-1,Timmy Falls,2019
28,61,30,2019-03-07,Montana,@,Portland State,REG (Conf),L 69-81,,25,3,8,0.375,2,5,0.4,1,3,0.333,0.5,1,3,0.333,0,2,2,4,1,0,2,4,9,4.6,A,0,1,timmy-falls-1,Timmy Falls,2019
29,62,31,2019-03-09,Montana,@,Sacramento State,REG (Conf),W 86-68,*,35,7,9,0.778,2,3,0.667,5,6,0.833,0.889,0,0,,0,2,2,5,4,1,2,1,16,18.9,A,1,1,timmy-falls-1,Timmy Falls,2019
30,63,32,2019-03-14,Montana,N,Sacramento State,CTOURN,W 79-73,*,22,0,3,0.0,0,1,0.0,0,2,0.0,0.0,2,2,1.0,0,1,1,2,1,0,4,3,2,-2.6,N,1,0,timmy-falls-1,Timmy Falls,2019
