rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,58,1,2020-11-25,West Virginia,N,South Dakota State,REG (Non-Conf),W 79-71,*,30,3,8,0.375,0,0,3,8,0.375,0.375,1,2,0.5,3,11,14,2,2,4,1,2,7,12.0,N,1,1,derek-culver-1,Derek Culver,2021
2,59,2,2020-11-26,West Virginia,N,VCU,REG (Non-Conf),W 78-66,*,29,8,14,0.571,0,0,8,14,0.571,0.571,7,9,0.778,8,7,15,2,1,2,1,3,23,24.9,N,1,1,derek-culver-1,Derek Culver,2021
3,60,3,2020-11-27,West Virginia,N,Western Kentucky,REG (Non-Conf),W 70-64,*,30,7,12,0.583,0,0,7,12,0.583,0.583,1,1,1.0,0,1,1,2,0,0,1,3,15,8.9,N,1,1,derek-culver-1,Derek Culver,2021
4,61,4,2020-12-02,West Virginia,N,Gonzaga,REG (Non-Conf),L 82-87,*,34,6,13,0.462,0,0,6,13,0.462,0.462,6,11,0.545,5,10,15,2,0,1,4,4,18,12.3,N,0,1,derek-culver-1,Derek Culver,2021
5,62,5,2020-12-06,West Virginia,@,Georgetown,REG (Non-Conf),W 80-71,*,18,5,12,0.417,0,0,5,12,0.417,0.417,4,5,0.8,3,6,9,1,0,1,0,3,14,11.3,A,1,1,derek-culver-1,Derek Culver,2021
6,63,6,2020-12-11,West Virginia,,North Texas,REG (Non-Conf),W 62-50,*,20,4,13,0.308,0,0,4,13,0.308,0.308,2,3,0.667,3,7,10,3,1,1,2,0,10,8.1,H,1,1,derek-culver-1,Derek Culver,2021
7,64,7,2020-12-13,West Virginia,,Richmond,REG (Non-Conf),W 87-71,*,30,3,8,0.375,0,0,3,8,0.375,0.375,4,5,0.8,1,10,11,2,1,1,2,2,10,9.2,H,1,1,derek-culver-1,Derek Culver,2021
8,65,8,2020-12-18,West Virginia,,Iowa State,REG (Conf),W 70-65,*,28,7,10,0.7,0,0,7,10,0.7,0.7,4,8,0.5,6,6,12,2,0,0,3,3,18,15.4,H,1,1,derek-culver-1,Derek Culver,2021
9,66,9,2020-12-22,West Virginia,@,Kansas,REG (Conf),L 65-79,*,34,4,9,0.444,0,0,4,9,0.444,0.444,0,2,0.0,2,6,8,1,1,1,2,1,8,5.7,A,0,1,derek-culver-1,Derek Culver,2021
10,67,10,2020-12-29,West Virginia,,Northeastern,REG (Non-Conf),W 73-51,*,24,8,11,0.727,0,0,8,11,0.727,0.727,2,3,0.667,0,4,4,0,2,0,0,3,18,15.1,H,1,1,derek-culver-1,Derek Culver,2021
11,68,11,2021-01-02,West Virginia,@,Oklahoma,REG (Conf),L 71-75,*,22,1,4,0.25,0,0,1,4,0.25,0.25,0,2,0.0,1,5,6,1,2,1,7,3,2,-3.8,A,0,1,derek-culver-1,Derek Culver,2021
12,69,12,2021-01-04,West Virginia,@,Oklahoma State,REG (Conf),W 87-84,*,36,10,19,0.526,0,0,10,19,0.526,0.526,2,6,0.333,7,12,19,0,0,2,2,1,22,18.6,A,1,1,derek-culver-1,Derek Culver,2021
13,70,13,2021-01-09,West Virginia,,Texas,REG (Conf),L 70-72,*,35,6,16,0.375,0,0,6,16,0.375,0.375,2,6,0.333,4,12,16,2,1,1,4,2,14,8.3,H,0,1,derek-culver-1,Derek Culver,2021
14,71,14,2021-01-23,West Virginia,@,Kansas State,REG (Conf),W 69-47,*,21,2,8,0.25,0,0,2,8,0.25,0.25,4,7,0.571,0,4,4,0,0,1,1,5,8,0.9,A,1,1,derek-culver-1,Derek Culver,2021
15,72,15,2021-01-25,West Virginia,,Texas Tech,REG (Conf),W 88-87,*,18,4,8,0.5,0,0,4,8,0.5,0.5,2,6,0.333,3,6,9,1,0,0,2,2,10,6.2,H,1,1,derek-culver-1,Derek Culver,2021
16,73,16,2021-01-30,West Virginia,,Florida,REG (Non-Conf),L 80-85,*,34,7,11,0.636,0,0,7,11,0.636,0.636,14,17,0.824,4,8,12,0,3,1,2,4,28,27.2,H,0,1,derek-culver-1,Derek Culver,2021
17,74,17,2021-02-02,West Virginia,@,Iowa State,REG (Conf),W 76-72,*,21,5,11,0.455,0,0,5,11,0.455,0.455,3,4,0.75,4,8,12,0,0,0,4,3,13,6.9,A,1,1,derek-culver-1,Derek Culver,2021
18,75,18,2021-02-06,West Virginia,,Kansas,REG (Conf),W 91-79,*,26,8,12,0.667,0,0,8,12,0.667,0.667,3,5,0.6,3,6,9,1,2,1,2,3,19,17.1,H,1,1,derek-culver-1,Derek Culver,2021
19,76,19,2021-02-09,West Virginia,@,Texas Tech,REG (Conf),W 82-71,*,25,4,9,0.444,0,0,4,9,0.444,0.444,7,9,0.778,1,7,8,0,0,0,2,4,15,8.7,A,1,1,derek-culver-1,Derek Culver,2021
20,77,20,2021-02-13,West Virginia,,Oklahoma,REG (Conf),L 90-91 (2OT),*,32,13,23,0.565,0,0,13,23,0.565,0.565,3,7,0.429,2,12,14,1,1,0,2,1,29,20.8,H,0,1,derek-culver-1,Derek Culver,2021
