rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,63,1,2020-11-25,Georgetown,,UMBC,REG (Non-Conf),W 70-62,*,35,5,12,0.417,3,8,0.375,2,4,0.5,0.542,0,0,,2,2,4,1,2,0,2,2,13,8.5,H,1,1,donald-carey-1,Donald Carey,2021
2,64,2,2020-12-01,Georgetown,,Navy,REG (Non-Conf),L 71-78,*,29,3,4,0.75,2,2,1.0,1,2,0.5,1.0,0,0,,5,4,9,1,2,0,5,3,8,7.6,H,0,1,donald-carey-1,Donald Carey,2021
3,65,3,2020-12-06,Georgetown,,West Virginia,REG (Non-Conf),L 71-80,*,35,3,6,0.5,1,4,0.25,2,2,1.0,0.583,2,2,1.0,0,1,1,1,0,0,4,3,9,1.8,H,0,1,donald-carey-1,Donald Carey,2021
4,66,4,2020-12-08,Georgetown,,Coppin State,REG (Non-Conf),W 80-48,*,28,2,8,0.25,0,4,0.0,2,4,0.5,0.25,0,0,,1,7,8,3,0,0,1,4,4,1.5,H,1,1,donald-carey-1,Donald Carey,2021
5,67,5,2020-12-11,Georgetown,,Villanova,REG (Conf),L 63-76,*,29,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,1,3,4,2,0,0,0,1,6,5.2,H,0,1,donald-carey-1,Donald Carey,2021
6,68,6,2020-12-13,Georgetown,,St. John's (NY),REG (Conf),W 97-94 (OT),*,36,7,9,0.778,3,4,0.75,4,5,0.8,0.944,2,2,1.0,1,4,5,5,1,0,6,2,19,15.1,H,1,1,donald-carey-1,Donald Carey,2021
7,69,7,2020-12-20,Georgetown,@,St. John's (NY),REG (Conf),L 83-94,*,30,7,11,0.636,5,9,0.556,2,2,1.0,0.864,0,0,,1,1,2,1,1,0,1,1,19,15.4,A,0,1,donald-carey-1,Donald Carey,2021
8,70,8,2020-12-23,Georgetown,@,Seton Hall,REG (Conf),L 67-78,*,28,3,7,0.429,2,3,0.667,1,4,0.25,0.571,0,0,,1,0,1,3,1,0,1,1,8,6.7,A,0,1,donald-carey-1,Donald Carey,2021
9,71,9,2021-01-02,Georgetown,,Marquette,REG (Conf),L 60-64,*,32,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,0,4,4,2,2,0,3,0,5,1.8,H,0,1,donald-carey-1,Donald Carey,2021
10,72,10,2021-01-06,Georgetown,@,Butler,REG (Conf),L 55-63,*,32,2,8,0.25,1,3,0.333,1,5,0.2,0.313,1,2,0.5,0,3,3,3,0,0,1,2,6,2.0,A,0,1,donald-carey-1,Donald Carey,2021
11,73,11,2021-01-09,Georgetown,@,Syracuse,REG (Non-Conf),L 69-74,*,30,4,6,0.667,2,4,0.5,2,2,1.0,0.833,0,0,,1,1,2,3,1,0,1,1,10,10.1,A,0,1,donald-carey-1,Donald Carey,2021
12,74,12,2021-01-30,Georgetown,,Providence,REG (Conf),W 73-72,*,22,4,7,0.571,2,5,0.4,2,2,1.0,0.714,0,0,,0,4,4,0,0,0,0,0,10,7.9,H,1,1,donald-carey-1,Donald Carey,2021
13,75,13,2021-02-03,Georgetown,@,Creighton,REG (Conf),W 86-79,,16,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,1,1,0,0,0,0,2,5,2.5,A,1,1,donald-carey-1,Donald Carey,2021
14,76,14,2021-02-07,Georgetown,@,Villanova,REG (Conf),L 74-84,,22,3,3,1.0,0,0,,3,3,1.0,1.0,2,2,1.0,0,0,0,1,0,0,2,1,8,5.4,A,0,1,donald-carey-1,Donald Carey,2021
15,77,15,2021-02-09,Georgetown,,Creighton,REG (Conf),L 48-63,,18,0,5,0.0,0,2,0.0,0,3,0.0,0.0,0,0,,0,2,2,3,2,0,1,0,0,0.2,H,0,1,donald-carey-1,Donald Carey,2021
16,78,16,2021-02-13,Georgetown,,Butler,REG (Conf),W 78-63,,18,2,3,0.667,2,2,1.0,0,1,0.0,1.0,4,4,1.0,1,1,2,0,1,0,2,0,10,8.7,H,1,1,donald-carey-1,Donald Carey,2021
17,79,17,2021-02-20,Georgetown,,Seton Hall,REG (Conf),W 81-75,,16,3,5,0.6,2,3,0.667,1,2,0.5,0.8,3,4,0.75,0,0,0,1,3,0,2,0,11,10.0,H,1,1,donald-carey-1,Donald Carey,2021
18,80,18,2021-02-23,Georgetown,,Connecticut,REG (Conf),L 57-70,,16,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,3,3,1,2,0,0,0,0,2.2,H,0,1,donald-carey-1,Donald Carey,2021
19,81,19,2021-02-27,Georgetown,@,DePaul,REG (Conf),W 68-60,*,34,2,7,0.286,2,5,0.4,0,2,0.0,0.429,0,0,,1,3,4,3,2,0,4,0,6,3.6,A,1,1,donald-carey-1,Donald Carey,2021
20,82,20,2021-03-02,Georgetown,,Xavier,REG (Conf),W 72-66,*,26,1,4,0.25,1,2,0.5,0,2,0.0,0.375,1,2,0.5,0,3,3,2,1,0,1,5,4,1.5,H,1,1,donald-carey-1,Donald Carey,2021
21,83,21,2021-03-06,Georgetown,@,Connecticut,REG (Conf),L 82-98,*,26,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,2,2,1,0,0,2,1,2,-1.5,A,0,1,donald-carey-1,Donald Carey,2021
22,84,22,2021-03-10,Georgetown,N,Marquette,CTOURN,W 68-49,*,38,3,7,0.429,1,3,0.333,2,4,0.5,0.5,1,2,0.5,3,3,6,3,3,0,1,0,8,11.0,N,1,0,donald-carey-1,Donald Carey,2021
23,85,23,2021-03-11,Georgetown,N,Villanova,CTOURN,W 72-71,*,32,3,5,0.6,2,4,0.5,1,1,1.0,0.8,1,1,1.0,1,1,2,0,1,0,1,1,9,7.3,N,1,0,donald-carey-1,Donald Carey,2021
24,86,24,2021-03-12,Georgetown,N,Seton Hall,CTOURN,W 66-58,*,21,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,1,1,2,1,0,0,3,3,2,-1.2,N,1,0,donald-carey-1,Donald Carey,2021
25,87,25,2021-03-13,Georgetown,N,Creighton,CTOURN,W 73-48,*,23,3,4,0.75,3,3,1.0,0,1,0.0,1.125,0,0,,1,1,2,2,0,0,0,1,9,9.4,N,1,0,donald-carey-1,Donald Carey,2021
26,88,26,2021-03-20,Georgetown,N,Colorado,ROUND-64,L 73-96,*,25,3,4,0.75,2,3,0.667,1,1,1.0,1.0,9,9,1.0,0,3,3,1,1,0,3,4,17,13.4,N,0,0,donald-carey-1,Donald Carey,2021
