rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,56,1,2020-11-25,Oral Roberts,@,Missouri,REG (Non-Conf),L 64-91,*,20,1,5,0.2,0,3,0.0,1,2,0.5,0.2,1,2,0.5,3,2,5,1,0,1,1,4,3,1.0,A,0,1,francis-lacis-1,Francis Lacis,2021
2,57,2,2020-11-28,Oral Roberts,,Rogers St.,REG (Non-Conf),W 93-63,*,18,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,1,0,0,0,4,3,1.7,H,1,1,francis-lacis-1,Francis Lacis,2021
3,58,3,2020-12-02,Oral Roberts,@,Wichita State,REG (Non-Conf),L 80-85,*,30,0,6,0.0,0,4,0.0,0,2,0.0,0.0,2,3,0.667,4,4,8,2,0,0,1,0,2,1.8,A,0,1,francis-lacis-1,Francis Lacis,2021
4,59,4,2020-12-08,Oral Roberts,@,Oklahoma State,REG (Non-Conf),L 78-83,*,19,1,6,0.167,1,4,0.25,0,2,0.0,0.25,0,0,,0,3,3,2,1,3,0,3,3,3.4,A,0,1,francis-lacis-1,Francis Lacis,2021
5,60,5,2020-12-12,Oral Roberts,,SW Christian,REG (Non-Conf),W 111-58,*,15,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,,0,3,3,2,0,1,0,2,7,6.9,H,1,1,francis-lacis-1,Francis Lacis,2021
6,61,6,2020-12-15,Oral Roberts,,Bacone,REG (Non-Conf),W 96-65,*,18,3,7,0.429,0,4,0.0,3,3,1.0,0.429,0,0,,3,6,9,2,0,1,2,2,6,5.5,H,1,1,francis-lacis-1,Francis Lacis,2021
7,62,7,2020-12-16,Oral Roberts,@,Oklahoma,REG (Non-Conf),L 65-79,*,27,2,7,0.286,0,5,0.0,2,2,1.0,0.286,0,0,,0,3,3,2,1,1,1,4,4,1.3,A,0,1,francis-lacis-1,Francis Lacis,2021
8,63,8,2020-12-20,Oral Roberts,@,Arkansas,REG (Non-Conf),L 76-87,*,19,0,4,0.0,0,2,0.0,0,2,0.0,0.0,2,3,0.667,2,1,3,0,1,2,1,3,2,0.7,A,0,1,francis-lacis-1,Francis Lacis,2021
9,64,9,2021-01-02,Oral Roberts,@,Omaha,REG (Conf),W 95-83,*,23,1,2,0.5,1,1,1.0,0,1,0.0,0.75,1,4,0.25,1,2,3,3,1,1,1,5,4,3.9,A,1,1,francis-lacis-1,Francis Lacis,2021
10,65,10,2021-01-03,Oral Roberts,@,Omaha,REG (Conf),W 86-75,*,19,0,0,,0,0,,0,0,,,0,0,,0,4,4,1,0,0,2,4,0,-1.7,A,1,1,francis-lacis-1,Francis Lacis,2021
11,66,11,2021-01-08,Oral Roberts,,North Dakota,REG (Conf),L 71-72,*,21,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,3,3,6,2,0,2,1,5,5,6.5,H,0,1,francis-lacis-1,Francis Lacis,2021
12,67,12,2021-01-09,Oral Roberts,,North Dakota,REG (Conf),W 74-57,*,13,1,2,0.5,1,2,0.5,0,0,,0.75,0,1,0.0,0,2,2,0,0,1,1,3,3,0.7,H,1,1,francis-lacis-1,Francis Lacis,2021
13,68,13,2021-01-15,Oral Roberts,@,Denver,REG (Conf),W 88-84,*,24,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,1,2,1,1,1,1,3,3,3.2,A,1,1,francis-lacis-1,Francis Lacis,2021
14,69,14,2021-01-16,Oral Roberts,@,Denver,REG (Conf),W 91-82,*,21,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,1,2,3,0,1,1,0,4,5,5.1,A,1,1,francis-lacis-1,Francis Lacis,2021
