rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2020-11-25,Texas,,Texas–Rio Grande Valley,REG (Non-Conf),W 91-55,*,24,2,9,0.222,0,3,0.0,2,6,0.333,0.222,7,9,0.778,2,8,10,0,0,0,5,3,11,2.3,H,1,1,greg-brown-9,Greg Brown,2021
2,2,2,2020-11-30,Texas,N,Davidson,REG (Non-Conf),W 78-76,*,17,4,11,0.364,0,4,0.0,4,7,0.571,0.364,3,4,0.75,2,4,6,1,0,1,1,4,11,5.9,N,1,1,greg-brown-9,Greg Brown,2021
3,3,3,2020-12-01,Texas,N,Indiana,REG (Non-Conf),W 66-44,*,12,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,6,6,0,0,1,3,5,2,-2.9,N,1,1,greg-brown-9,Greg Brown,2021
4,4,4,2020-12-02,Texas,N,North Carolina,REG (Non-Conf),W 69-67,*,19,3,9,0.333,1,5,0.2,2,4,0.5,0.389,3,4,0.75,1,5,6,0,2,0,0,4,10,7.1,N,1,1,greg-brown-9,Greg Brown,2021
5,5,5,2020-12-06,Texas,,Villanova,REG (Non-Conf),L 64-68,*,23,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,2,4,6,0,0,2,3,3,7,3.8,H,0,1,greg-brown-9,Greg Brown,2021
6,6,6,2020-12-09,Texas,,Texas State,REG (Non-Conf),W 74-53,*,22,7,14,0.5,3,7,0.429,4,7,0.571,0.607,1,1,1.0,0,2,2,0,0,3,1,2,18,11.9,H,1,1,greg-brown-9,Greg Brown,2021
7,7,7,2020-12-16,Texas,,Sam Houston State,REG (Non-Conf),W 79-63,*,22,5,11,0.455,2,7,0.286,3,4,0.75,0.545,5,7,0.714,3,7,10,0,2,2,3,4,17,13.5,H,1,1,greg-brown-9,Greg Brown,2021
8,8,8,2020-12-20,Texas,,Oklahoma State,REG (Conf),W 77-74,*,26,7,14,0.5,3,7,0.429,4,7,0.571,0.607,7,11,0.636,5,9,14,0,0,3,3,3,24,19.5,H,1,1,greg-brown-9,Greg Brown,2021
9,9,9,2021-01-02,Texas,@,Kansas,REG (Conf),W 84-59,*,16,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,,0,5,5,0,2,0,4,3,5,-0.1,A,1,1,greg-brown-9,Greg Brown,2021
10,10,10,2021-01-05,Texas,,Iowa State,REG (Conf),W 78-72,*,22,6,10,0.6,3,4,0.75,3,6,0.5,0.75,0,0,,1,7,8,0,1,1,2,3,15,11.7,H,1,1,greg-brown-9,Greg Brown,2021
11,11,11,2021-01-09,Texas,@,West Virginia,REG (Conf),W 72-70,*,33,4,10,0.4,0,4,0.0,4,6,0.667,0.4,4,8,0.5,2,12,14,0,0,0,1,3,12,7.8,A,1,1,greg-brown-9,Greg Brown,2021
12,12,12,2021-01-13,Texas,,Texas Tech,REG (Conf),L 77-79,*,22,2,5,0.4,2,3,0.667,0,2,0.0,0.6,3,5,0.6,3,6,9,0,0,4,2,3,9,9.0,H,0,1,greg-brown-9,Greg Brown,2021
13,13,14,2021-01-26,Texas,,Oklahoma,REG (Conf),L 79-80,*,31,5,12,0.417,1,4,0.25,4,8,0.5,0.458,3,3,1.0,2,6,8,0,1,0,2,5,14,7.8,H,0,1,greg-brown-9,Greg Brown,2021
14,14,15,2021-02-02,Texas,,Baylor,REG (Conf),L 69-83,*,19,2,5,0.4,1,1,1.0,1,4,0.25,0.5,0,3,0.0,0,1,1,1,0,0,2,3,5,-1.1,H,0,1,greg-brown-9,Greg Brown,2021
15,15,16,2021-02-06,Texas,@,Oklahoma State,REG (Conf),L 67-75 (2OT),*,20,2,8,0.25,0,3,0.0,2,5,0.4,0.25,1,2,0.5,3,7,10,1,0,2,4,2,5,1.3,A,0,1,greg-brown-9,Greg Brown,2021
16,16,17,2021-02-09,Texas,@,Kansas State,REG (Conf),W 80-77,*,24,6,8,0.75,4,5,0.8,2,3,0.667,1.0,1,1,1.0,0,7,7,2,1,0,2,4,17,14.7,A,1,1,greg-brown-9,Greg Brown,2021
17,17,18,2021-02-13,Texas,,TCU,REG (Conf),W 70-55,*,30,4,8,0.5,3,3,1.0,1,5,0.2,0.688,2,2,1.0,0,6,6,0,2,0,4,2,13,8.0,H,1,1,greg-brown-9,Greg Brown,2021
18,18,19,2021-02-20,Texas,,West Virginia,REG (Conf),L 82-84,*,24,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,8,8,0,1,1,0,4,0,-0.3,H,0,1,greg-brown-9,Greg Brown,2021
