rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2020-11-25,UCLA,@,San Diego State,REG (Non-Conf),L 58-73,*,36,6,10,0.6,3,5,0.6,3,5,0.6,0.75,2,3,0.667,2,4,6,0,0,0,4,3,17,9.4,A,0,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
2,33,2,2020-11-27,UCLA,N,Pepperdine,REG (Non-Conf),W 107-98 (3OT),*,55,5,13,0.385,1,7,0.143,4,6,0.667,0.423,5,11,0.455,3,8,11,5,1,1,1,4,16,13.6,N,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
3,34,3,2020-12-03,UCLA,,Seattle,REG (Non-Conf),W 78-52,*,28,3,3,1.0,1,1,1.0,2,2,1.0,1.167,2,3,0.667,0,3,3,2,1,0,0,1,9,10.6,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
4,35,4,2020-12-06,UCLA,,California,REG (Conf),W 76-56,*,32,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,3,0.0,0,6,6,2,1,0,3,0,12,7.7,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
5,36,5,2020-12-09,UCLA,,San Diego,REG (Non-Conf),W 83-56,*,29,6,9,0.667,3,4,0.75,3,5,0.6,0.833,2,2,1.0,1,3,4,1,1,4,2,3,17,16.0,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
6,37,6,2020-12-11,UCLA,,Marquette,REG (Non-Conf),W 69-60,*,28,7,12,0.583,1,3,0.333,6,9,0.667,0.625,3,3,1.0,2,4,6,1,1,0,0,4,18,15.1,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
7,38,7,2020-12-19,UCLA,N,Ohio State,REG (Non-Conf),L 70-77,*,32,2,9,0.222,1,2,0.5,1,7,0.143,0.278,2,2,1.0,3,3,6,2,1,0,1,3,7,4.7,N,0,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
8,39,8,2020-12-31,UCLA,,Utah,REG (Conf),W 72-70,*,34,3,9,0.333,2,3,0.667,1,6,0.167,0.444,2,4,0.5,3,2,5,1,1,0,0,2,10,7.7,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
9,40,9,2021-01-02,UCLA,,Colorado,REG (Conf),W 65-62,*,38,6,12,0.5,1,3,0.333,5,9,0.556,0.542,1,1,1.0,1,4,5,0,1,1,1,2,14,9.8,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
10,41,10,2021-01-07,UCLA,@,Arizona State,REG (Conf),W 81-75 (OT),*,43,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,1,0.0,1,4,5,0,0,1,2,2,8,3.0,A,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
11,42,11,2021-01-09,UCLA,@,Arizona,REG (Conf),W 81-76,*,30,4,9,0.444,1,2,0.5,3,7,0.429,0.5,4,5,0.8,2,7,9,1,1,0,2,1,13,10.7,A,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
12,43,12,2021-01-14,UCLA,,Washington State,REG (Conf),W 91-61,*,24,4,7,0.571,1,3,0.333,3,4,0.75,0.643,7,7,1.0,0,4,4,2,2,0,1,0,16,16.3,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
13,44,13,2021-01-16,UCLA,,Washington,REG (Conf),W 81-76,*,36,7,14,0.5,0,0,,7,14,0.5,0.5,1,2,0.5,1,4,5,2,2,0,0,2,15,12.1,H,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
14,45,14,2021-01-21,UCLA,@,California,REG (Conf),W 61-57,*,38,3,8,0.375,0,1,0.0,3,7,0.429,0.375,1,2,0.5,4,3,7,0,3,0,0,2,7,8.1,A,1,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
15,46,15,2021-01-23,UCLA,@,Stanford,REG (Conf),L 72-73 (OT),*,38,5,13,0.385,2,7,0.286,3,6,0.5,0.462,2,2,1.0,2,2,4,1,1,2,4,2,14,7.2,A,0,1,jaime-jaquezjr-1,Jaime Jaquez Jr.,2021
