rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,82,1,2020-11-25,Ohio State,,Illinois State,REG (Non-Conf),W 94-67,*,19,3,5,0.6,0,0,,3,5,0.6,0.6,2,3,0.667,1,7,8,1,0,0,0,3,8,7.6,H,1,1,kyle-young-3,Kyle Young,2021
2,83,2,2020-11-29,Ohio State,,UMass Lowell,REG (Non-Conf),W 74-64,*,30,2,8,0.25,0,1,0.0,2,7,0.286,0.25,2,2,1.0,2,6,8,0,0,0,0,2,6,3.6,H,1,1,kyle-young-3,Kyle Young,2021
3,84,3,2020-12-02,Ohio State,,Morehead State,REG (Non-Conf),W 77-44,*,28,3,6,0.5,1,3,0.333,2,3,0.667,0.583,3,4,0.75,3,6,9,1,2,1,1,2,10,12.1,H,1,1,kyle-young-3,Kyle Young,2021
4,85,4,2020-12-08,Ohio State,@,Notre Dame,REG (Non-Conf),W 90-85,*,24,1,5,0.2,0,2,0.0,1,3,0.333,0.2,1,2,0.5,2,2,4,1,1,0,0,3,3,2.0,A,1,1,kyle-young-3,Kyle Young,2021
5,86,5,2020-12-13,Ohio State,,Cleveland State,REG (Non-Conf),W 67-61,*,17,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,1,2,2,1,1,0,2,0,1.9,H,1,1,kyle-young-3,Kyle Young,2021
6,87,6,2020-12-16,Ohio State,@,Purdue,REG (Conf),L 60-67,,24,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,0,,3,5,8,2,0,1,0,3,6,6.8,A,0,1,kyle-young-3,Kyle Young,2021
7,88,7,2020-12-19,Ohio State,N,UCLA,REG (Non-Conf),W 77-70,*,23,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,5,0.6,2,2,4,0,0,0,1,3,7,4.0,N,1,1,kyle-young-3,Kyle Young,2021
8,89,8,2020-12-23,Ohio State,,Rutgers,REG (Conf),W 80-68,*,31,7,9,0.778,0,0,,7,9,0.778,0.778,3,4,0.75,5,7,12,0,0,1,0,1,17,19.0,H,1,1,kyle-young-3,Kyle Young,2021
9,90,9,2020-12-26,Ohio State,@,Northwestern,REG (Conf),L 70-71,*,26,5,9,0.556,0,1,0.0,5,8,0.625,0.556,4,4,1.0,2,6,8,0,0,0,0,1,14,12.5,A,0,1,kyle-young-3,Kyle Young,2021
10,91,10,2020-12-30,Ohio State,,Nebraska,REG (Conf),W 90-54,*,19,3,4,0.75,0,0,,3,4,0.75,0.75,0,1,0.0,0,4,4,2,0,0,1,2,6,4.8,H,1,1,kyle-young-3,Kyle Young,2021
