rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,67,2,2020-12-04,Oregon,N,Seton Hall,REG (Non-Conf),W 83-70,,26,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,3,6,9,2,4,1,1,1,6,13.3,N,1,1,lj-figueroa-1,LJ Figueroa,2021
2,68,3,2020-12-07,Oregon,,Eastern Washington,REG (Non-Conf),W 69-52,,31,5,9,0.556,2,6,0.333,3,3,1.0,0.667,0,0,,2,8,10,3,0,0,2,5,12,9.6,H,1,1,lj-figueroa-1,LJ Figueroa,2021
3,69,4,2020-12-09,Oregon,,Florida A&M,REG (Non-Conf),W 87-66,,25,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,1,0.0,1,3,4,2,1,0,0,2,2,3.1,H,1,1,lj-figueroa-1,LJ Figueroa,2021
4,70,5,2020-12-12,Oregon,@,Washington,REG (Conf),W 74-71,,29,4,12,0.333,0,4,0.0,4,8,0.5,0.333,1,1,1.0,2,3,5,0,0,0,0,2,9,3.7,A,1,1,lj-figueroa-1,LJ Figueroa,2021
5,71,6,2020-12-17,Oregon,,San Francisco,REG (Non-Conf),W 74-64,,31,3,8,0.375,0,4,0.0,3,4,0.75,0.375,2,3,0.667,3,6,9,0,3,0,1,3,8,7.9,H,1,1,lj-figueroa-1,LJ Figueroa,2021
6,72,7,2020-12-19,Oregon,,Portland,REG (Non-Conf),W 80-41,*,22,6,11,0.545,0,3,0.0,6,8,0.75,0.545,3,5,0.6,3,3,6,2,1,2,0,3,15,14.5,H,1,1,lj-figueroa-1,LJ Figueroa,2021
7,73,8,2020-12-31,Oregon,,California,REG (Conf),W 82-69,*,31,4,14,0.286,2,4,0.5,2,10,0.2,0.357,1,2,0.5,0,5,5,2,1,1,0,3,11,5.8,H,1,1,lj-figueroa-1,LJ Figueroa,2021
8,74,9,2021-01-02,Oregon,,Stanford,REG (Conf),W 73-56,*,36,6,14,0.429,1,5,0.2,5,9,0.556,0.464,0,0,,2,10,12,1,2,1,1,2,13,11.6,H,1,1,lj-figueroa-1,LJ Figueroa,2021
9,75,10,2021-01-07,Oregon,@,Colorado,REG (Conf),L 72-79,*,27,4,7,0.571,2,3,0.667,2,4,0.5,0.714,0,0,,1,1,2,0,1,0,3,3,10,4.5,A,0,1,lj-figueroa-1,LJ Figueroa,2021
10,76,11,2021-01-09,Oregon,@,Utah,REG (Conf),W 79-73,*,29,6,11,0.545,2,5,0.4,4,6,0.667,0.636,1,1,1.0,0,3,3,1,2,0,0,1,15,12.9,A,1,1,lj-figueroa-1,LJ Figueroa,2021
11,77,13,2021-02-04,Oregon,,Washington State,REG (Conf),L 71-74,*,36,4,13,0.308,1,5,0.2,3,8,0.375,0.346,3,4,0.75,6,5,11,1,1,0,1,4,12,8.9,H,0,1,lj-figueroa-1,LJ Figueroa,2021
12,78,14,2021-02-06,Oregon,,Washington,REG (Conf),W 86-74,*,35,3,14,0.214,1,7,0.143,2,7,0.286,0.25,0,0,,2,7,9,2,2,1,1,3,7,3.8,H,1,1,lj-figueroa-1,LJ Figueroa,2021
13,79,15,2021-02-11,Oregon,@,Arizona State,REG (Conf),W 75-64,*,33,6,11,0.545,4,7,0.571,2,4,0.5,0.727,0,0,,2,1,3,3,2,0,0,4,16,14.9,A,1,1,lj-figueroa-1,LJ Figueroa,2021
