rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,44,1,2020-11-25,Brigham Young,,Westminster (UT),REG (Non-Conf),W 108-59,,14,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,3,4,7,1,0,0,1,2,4,5.6,H,1,1,richard-harward-1,Richard Harward,2021
2,45,2,2020-11-26,Brigham Young,,New Orleans,REG (Non-Conf),W 86-61,,19,3,6,0.5,0,0,,3,6,0.5,0.5,5,13,0.385,7,3,10,2,0,0,2,3,11,8.8,H,1,1,richard-harward-1,Richard Harward,2021
3,46,3,2020-11-28,Brigham Young,,Utah Valley,REG (Non-Conf),W 82-60,,17,2,2,1.0,0,0,,2,2,1.0,1.0,2,2,1.0,1,3,4,1,2,0,1,2,6,7.9,H,1,1,richard-harward-1,Richard Harward,2021
4,47,4,2020-12-01,Brigham Young,N,Southern California,REG (Non-Conf),L 53-79,,13,0,3,0.0,0,0,,0,3,0.0,0.0,2,2,1.0,2,0,2,0,0,0,3,0,2,-1.7,N,0,1,richard-harward-1,Richard Harward,2021
5,48,5,2020-12-02,Brigham Young,N,St. John's (NY),REG (Non-Conf),W 74-68,,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,1,0,0,0.3,N,1,1,richard-harward-1,Richard Harward,2021
6,49,6,2020-12-05,Brigham Young,@,Utah State,REG (Non-Conf),W 67-64,,8,0,0,,0,0,,0,0,,,1,2,0.5,1,2,3,2,0,0,0,4,1,1.7,A,1,1,richard-harward-1,Richard Harward,2021
7,50,7,2020-12-09,Brigham Young,,Boise State,REG (Non-Conf),L 70-74,,12,4,5,0.8,0,0,,4,5,0.8,0.8,0,2,0.0,2,0,2,1,0,0,0,3,8,6.2,H,0,1,richard-harward-1,Richard Harward,2021
8,51,8,2020-12-12,Brigham Young,,Utah,REG (Non-Conf),W 82-64,,20,7,7,1.0,0,0,,7,7,1.0,1.0,1,1,1.0,3,4,7,1,0,0,0,0,15,16.9,H,1,1,richard-harward-1,Richard Harward,2021
9,52,9,2020-12-18,Brigham Young,@,San Diego State,REG (Non-Conf),W 72-62,,17,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,3,4,2,0,0,4,1,2,-1.1,A,1,1,richard-harward-1,Richard Harward,2021
10,53,10,2020-12-21,Brigham Young,,Texas Southern,REG (Non-Conf),W 87-71,,20,5,7,0.714,0,0,,5,7,0.714,0.714,3,5,0.6,0,5,5,4,0,0,0,2,13,12.8,H,1,1,richard-harward-1,Richard Harward,2021
11,54,11,2020-12-23,Brigham Young,,Weber State,REG (Non-Conf),W 87-79,,20,4,7,0.571,0,0,,4,7,0.571,0.571,3,6,0.5,2,3,5,1,0,0,0,2,11,8.7,H,1,1,richard-harward-1,Richard Harward,2021
12,55,12,2021-01-07,Brigham Young,@,Gonzaga,REG (Conf),L 69-86,,16,5,7,0.714,0,0,,5,7,0.714,0.714,2,2,1.0,2,2,4,0,0,1,0,2,12,11.0,A,0,1,richard-harward-1,Richard Harward,2021
13,56,13,2021-01-14,Brigham Young,@,St. Mary's (CA),REG (Conf),W 62-52,,21,2,7,0.286,0,1,0.0,2,6,0.333,0.286,0,1,0.0,2,3,5,0,2,0,3,3,4,-0.4,A,1,1,richard-harward-1,Richard Harward,2021
14,57,14,2021-01-16,Brigham Young,@,San Francisco,REG (Conf),W 72-63,,19,5,8,0.625,0,0,,5,8,0.625,0.625,3,5,0.6,5,6,11,1,0,1,3,0,13,12.3,A,1,1,richard-harward-1,Richard Harward,2021
15,58,15,2021-01-21,Brigham Young,,Portland,REG (Conf),W 95-67,,16,5,5,1.0,0,0,,5,5,1.0,1.0,2,4,0.5,2,4,6,0,1,0,2,3,12,10.1,H,1,1,richard-harward-1,Richard Harward,2021
16,59,16,2021-01-23,Brigham Young,,Pepperdine,REG (Conf),W 65-54,,18,2,5,0.4,0,0,,2,5,0.4,0.4,3,6,0.5,4,5,9,0,0,0,2,2,7,4.6,H,1,1,richard-harward-1,Richard Harward,2021
17,60,17,2021-01-27,Brigham Young,@,Pepperdine,REG (Conf),L 73-76,,15,3,4,0.75,0,0,,3,4,0.75,0.75,4,4,1.0,3,1,4,1,0,1,2,3,10,9.0,A,0,1,richard-harward-1,Richard Harward,2021
