rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2020-11-25,Houston,,Lamar,REG (Non-Conf),W 89-45,,17,5,8,0.625,2,3,0.667,3,5,0.6,0.75,10,13,0.769,2,6,8,2,1,0,2,3,22,19.6,H,1,1,tramon-mark-1,Tramon Mark,2021
2,2,2,2020-11-27,Houston,,Boise State,REG (Non-Conf),W 68-58,,24,2,6,0.333,1,2,0.5,1,4,0.25,0.417,4,4,1.0,0,2,2,1,0,0,1,3,9,4.7,H,1,1,tramon-mark-1,Tramon Mark,2021
3,3,3,2020-11-29,Houston,N,Texas Tech,REG (Non-Conf),W 64-53,,18,3,5,0.6,0,2,0.0,3,3,1.0,0.6,5,7,0.714,0,2,2,0,0,0,2,4,11,4.9,N,1,1,tramon-mark-1,Tramon Mark,2021
4,4,4,2020-12-05,Houston,,South Carolina,REG (Non-Conf),W 77-67,*,35,4,12,0.333,1,8,0.125,3,4,0.75,0.375,9,12,0.75,0,4,4,1,2,1,0,1,18,14.2,H,1,1,tramon-mark-1,Tramon Mark,2021
5,5,5,2020-12-20,Houston,,Alcorn State,REG (Non-Conf),W 88-55,,31,4,11,0.364,0,2,0.0,4,9,0.444,0.364,1,2,0.5,1,3,4,4,1,0,1,2,9,6.1,H,1,1,tramon-mark-1,Tramon Mark,2021
6,6,6,2020-12-22,Houston,,Temple,REG (Conf),W 76-50,*,30,4,9,0.444,1,4,0.25,3,5,0.6,0.5,3,4,0.75,0,2,2,4,3,0,4,5,12,7.3,H,1,1,tramon-mark-1,Tramon Mark,2021
7,7,7,2020-12-26,Houston,@,UCF,REG (Conf),W 63-54,,8,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,1,0,1,2,0,-2.2,A,1,1,tramon-mark-1,Tramon Mark,2021
8,8,8,2020-12-29,Houston,@,Tulsa,REG (Conf),L 64-65,,11,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,2,0.0,1,2,3,0,1,0,0,1,0,-1.7,A,0,1,tramon-mark-1,Tramon Mark,2021
9,9,9,2021-01-03,Houston,@,SMU,REG (Conf),W 74-60,,15,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,,0,1,1,0,2,0,2,0,5,1.9,A,1,1,tramon-mark-1,Tramon Mark,2021
10,10,10,2021-01-06,Houston,,Wichita State,REG (Conf),W 70-63,,17,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,0,0,0,0,1,0,0,1,1,-0.2,H,1,1,tramon-mark-1,Tramon Mark,2021
11,11,11,2021-01-09,Houston,,Tulane,REG (Conf),W 71-50,,24,1,8,0.125,0,3,0.0,1,5,0.2,0.125,1,2,0.5,0,5,5,3,0,0,2,0,3,-1.0,H,1,1,tramon-mark-1,Tramon Mark,2021
12,12,12,2021-01-17,Houston,,UCF,REG (Conf),W 75-58,,17,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,1,1.0,1,1,2,2,0,0,2,2,5,1.2,H,1,1,tramon-mark-1,Tramon Mark,2021
13,13,13,2021-01-20,Houston,,Tulsa,REG (Conf),W 86-59,,19,4,9,0.444,2,4,0.5,2,5,0.4,0.556,1,2,0.5,2,4,6,0,3,0,3,1,11,8.1,H,1,1,tramon-mark-1,Tramon Mark,2021
14,14,14,2021-01-23,Houston,@,Temple,REG (Conf),W 68-51,,17,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,2,2,2,1,0,0,1,5,5.6,A,1,1,tramon-mark-1,Tramon Mark,2021
15,15,15,2021-01-28,Houston,@,Tulane,REG (Conf),W 83-60,*,32,6,12,0.5,1,5,0.2,5,7,0.714,0.542,3,3,1.0,2,3,5,3,1,0,1,4,16,12.8,A,1,1,tramon-mark-1,Tramon Mark,2021
16,16,16,2021-01-31,Houston,,SMU,REG (Conf),W 70-48,,17,1,7,0.143,0,1,0.0,1,6,0.167,0.143,4,4,1.0,1,1,2,0,0,0,2,4,6,-1.1,H,1,1,tramon-mark-1,Tramon Mark,2021
17,17,17,2021-02-03,Houston,@,East Carolina,REG (Conf),L 73-82,,17,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,1,1,2,0,0,1,1,2,1.3,A,0,1,tramon-mark-1,Tramon Mark,2021
18,18,18,2021-02-06,Houston,,Our Lady,REG (Non-Conf),W 112-46,*,22,9,12,0.75,2,3,0.667,7,9,0.778,0.833,2,2,1.0,1,5,6,6,3,1,3,3,22,23.1,H,1,1,tramon-mark-1,Tramon Mark,2021
19,19,19,2021-02-10,Houston,@,South Florida,REG (Conf),W 82-65,,14,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1.0,1,1,2,0,2,0,1,2,4,3.5,A,1,1,tramon-mark-1,Tramon Mark,2021
20,20,20,2021-02-18,Houston,@,Wichita State,REG (Conf),L 63-68,,16,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,0,,1,4,5,2,0,0,1,0,4,2.9,A,0,1,tramon-mark-1,Tramon Mark,2021
