rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2020-11-25,Texas Southern,@,Washington State,REG (Non-Conf),L 52-56,,18,3,6,0.5,1,1,1.0,2,5,0.4,0.583,0,0,,0,1,1,0,1,0,2,5,7,1.3,A,0,1,yahuza-rasas-1,Yahuza Rasas,2021
2,33,2,2020-11-28,Texas Southern,@,Oklahoma State,REG (Non-Conf),L 65-85,*,22,3,11,0.273,1,3,0.333,2,8,0.25,0.318,0,0,,0,3,3,1,0,0,1,2,7,0.3,A,0,1,yahuza-rasas-1,Yahuza Rasas,2021
3,34,3,2020-11-30,Texas Southern,@,Wyoming,REG (Non-Conf),W 76-74,*,22,4,9,0.444,0,0,,4,9,0.444,0.444,1,2,0.5,1,3,4,0,1,2,1,1,9,6.5,A,1,1,yahuza-rasas-1,Yahuza Rasas,2021
4,35,5,2020-12-11,Texas Southern,,LeTourneau,REG (Non-Conf),W 103-60,*,16,5,8,0.625,0,0,,5,8,0.625,0.625,0,1,0.0,1,4,5,0,0,0,3,1,10,4.5,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
5,36,6,2020-12-15,Texas Southern,@,Auburn,REG (Non-Conf),L 63-80,,16,2,7,0.286,1,3,0.333,1,4,0.25,0.357,2,2,1.0,1,4,5,1,0,0,2,0,7,3.5,A,0,1,yahuza-rasas-1,Yahuza Rasas,2021
6,37,7,2020-12-21,Texas Southern,@,Brigham Young,REG (Non-Conf),L 71-87,,29,6,13,0.462,1,3,0.333,5,10,0.5,0.5,2,2,1.0,4,8,12,1,1,0,3,3,15,11.0,A,0,1,yahuza-rasas-1,Yahuza Rasas,2021
7,38,8,2021-01-11,Texas Southern,@,Prairie View A&M,REG (Conf),L 67-73,,17,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,1,0,1,1,1,0,0,0,6,5.7,A,0,1,yahuza-rasas-1,Yahuza Rasas,2021
8,39,9,2021-01-16,Texas Southern,,Grambling State,REG (Conf),L 72-78,*,28,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,0,,2,5,7,2,0,0,1,3,6,4.4,H,0,1,yahuza-rasas-1,Yahuza Rasas,2021
9,40,10,2021-01-23,Texas Southern,@,Arkansas–Pine Bluff,REG (Conf),W 66-57,*,22,5,9,0.556,0,0,,5,9,0.556,0.556,0,1,0.0,4,5,9,0,0,0,2,1,10,7.2,A,1,1,yahuza-rasas-1,Yahuza Rasas,2021
10,41,11,2021-01-30,Texas Southern,,Alabama State,REG (Conf),W 80-73,*,15,3,7,0.429,1,1,1.0,2,6,0.333,0.5,2,2,1.0,2,5,7,0,0,0,2,2,9,5.4,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
11,42,12,2021-02-01,Texas Southern,,Alabama A&M,REG (Conf),W 66-49,*,25,0,7,0.0,0,0,,0,7,0.0,0.0,5,8,0.625,3,6,9,0,1,0,0,0,5,3.8,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
12,43,13,2021-02-06,Texas Southern,,Texas–Rio Grande Valley,REG (Non-Conf),W 77-75,,20,2,2,1.0,0,0,,2,2,1.0,1.0,0,1,0.0,1,2,3,0,0,1,3,1,4,1.6,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
13,44,14,2021-02-13,Texas Southern,@,Grambling State,REG (Conf),W 75-73,,17,3,4,0.75,1,2,0.5,2,2,1.0,0.875,2,2,1.0,0,4,4,0,2,0,1,0,9,9.6,A,1,1,yahuza-rasas-1,Yahuza Rasas,2021
14,45,15,2021-02-21,Texas Southern,,Prairie View A&M,REG (Conf),L 75-77,,12,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,2,3,1,0,0,2,1,2,-0.1,H,0,1,yahuza-rasas-1,Yahuza Rasas,2021
15,46,16,2021-02-23,Texas Southern,,Mississippi Valley State,REG (Conf),W 82-45,,24,3,6,0.5,0,2,0.0,3,4,0.75,0.5,0,0,,0,6,6,1,3,0,0,1,6,8.1,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
16,47,17,2021-02-25,Texas Southern,,Arkansas–Pine Bluff,REG (Conf),W 79-65,*,21,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1.0,0,2,2,1,0,0,1,1,4,2.2,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
17,48,18,2021-02-27,Texas Southern,@,Alabama State,REG (Conf),W 86-76,,18,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,2,4,6,0,0,0,2,0,4,1.2,A,1,1,yahuza-rasas-1,Yahuza Rasas,2021
18,49,19,2021-03-01,Texas Southern,@,Alabama A&M,REG (Conf),W 68-58,*,33,4,12,0.333,0,2,0.0,4,10,0.4,0.333,0,0,,5,5,10,1,0,0,3,2,8,3.1,A,1,1,yahuza-rasas-1,Yahuza Rasas,2021
19,50,20,2021-03-04,Texas Southern,,Alcorn State,REG (Conf),W 80-78,*,23,1,5,0.2,0,0,,1,5,0.2,0.2,2,4,0.5,1,4,5,1,0,1,1,1,4,2.0,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
20,51,21,2021-03-06,Texas Southern,,Southern,REG (Conf),W 80-74,,18,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,1,3,4,0,0,1,2,1,1,-0.2,H,1,1,yahuza-rasas-1,Yahuza Rasas,2021
21,52,22,2021-03-11,Texas Southern,N,Alcorn State,CTOURN,W 78-55,,7,2,2,1.0,0,0,,2,2,1.0,1.0,2,3,0.667,2,0,2,0,0,0,0,1,6,6.0,N,1,0,yahuza-rasas-1,Yahuza Rasas,2021
