rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,52,1,2021-11-09,Illinois,,Jackson State,REG (Non-Conf),W 71-47,*,36,3,7,0.429,1,4,0.25,2,3,0.667,0.5,2,2,1.0,1,3,4,4,3,0,3,0,9,9.7,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
2,53,2,2021-11-12,Illinois,,Arkansas State,REG (Non-Conf),W 92-53,,27,3,10,0.3,2,7,0.286,1,3,0.333,0.4,0,0,,1,1,2,0,0,0,2,1,8,0.8,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
3,54,3,2021-11-15,Illinois,@,Marquette,REG (Non-Conf),L 66-67,,13,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,2,2,0,0,0,2,1,2,-1.5,A,0,1,alfonso-plummer-1,Alfonso Plummer,2022
4,55,4,2021-11-22,Illinois,N,Cincinnati,REG (Non-Conf),L 51-71,,19,2,6,0.333,2,5,0.4,0,1,0.0,0.5,0,0,,2,0,2,0,0,0,0,1,6,3.6,N,0,1,alfonso-plummer-1,Alfonso Plummer,2022
5,56,5,2021-11-23,Illinois,N,Kansas State,REG (Non-Conf),W 72-64,,19,7,10,0.7,7,9,0.778,0,1,0.0,1.05,0,0,,0,0,0,0,0,0,2,1,21,14.4,N,1,1,alfonso-plummer-1,Alfonso Plummer,2022
6,57,6,2021-11-26,Illinois,,Texas–Rio Grande Valley,REG (Non-Conf),W 94-85,*,38,8,14,0.571,6,11,0.545,2,3,0.667,0.786,8,8,1.0,0,2,2,1,1,0,3,1,30,22.3,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
7,58,7,2021-11-29,Illinois,,Notre Dame,REG (Non-Conf),W 82-72,*,35,5,15,0.333,3,11,0.273,2,4,0.5,0.433,8,8,1.0,0,0,0,1,0,0,1,2,21,11.4,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
8,59,8,2021-12-03,Illinois,,Rutgers,REG (Conf),W 86-51,*,31,8,15,0.533,3,8,0.375,5,7,0.714,0.633,5,5,1.0,1,2,3,1,0,0,2,0,24,16.7,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
9,60,9,2021-12-06,Illinois,@,Iowa,REG (Conf),W 87-83,*,33,6,11,0.545,4,8,0.5,2,3,0.667,0.727,5,5,1.0,0,2,2,1,0,0,2,4,21,13.4,A,1,1,alfonso-plummer-1,Alfonso Plummer,2022
10,61,10,2021-12-11,Illinois,,Arizona,REG (Non-Conf),L 79-83,*,37,8,16,0.5,6,14,0.429,2,2,1.0,0.688,3,3,1.0,2,2,4,1,0,0,5,3,25,13.5,H,0,1,alfonso-plummer-1,Alfonso Plummer,2022
11,62,11,2021-12-18,Illinois,,Saint Francis (PA),REG (Non-Conf),W 106-48,*,22,6,11,0.545,5,10,0.5,1,1,1.0,0.773,2,2,1.0,0,3,3,0,0,0,1,4,19,12.0,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
12,63,12,2021-12-22,Illinois,N,Missouri,REG (Non-Conf),W 88-63,*,31,8,12,0.667,3,5,0.6,5,7,0.714,0.792,3,4,0.75,1,2,3,3,1,0,3,0,22,17.8,N,1,1,alfonso-plummer-1,Alfonso Plummer,2022
13,64,13,2022-01-04,Illinois,@,Minnesota,REG (Conf),W 76-53,*,29,3,8,0.375,0,3,0.0,3,5,0.6,0.375,4,4,1.0,0,5,5,1,0,0,1,0,10,6.8,A,1,1,alfonso-plummer-1,Alfonso Plummer,2022
14,65,14,2022-01-06,Illinois,,Maryland,REG (Conf),W 76-64,*,35,4,14,0.286,2,8,0.25,2,6,0.333,0.357,2,2,1.0,1,3,4,3,0,0,1,1,12,6.1,H,1,1,alfonso-plummer-1,Alfonso Plummer,2022
