rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,8,1,2021-11-09,Wisconsin,,St. Francis Brooklyn,REG (Non-Conf),W 81-58,,19,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,2,3,5,0,0,0,0,0,4,5.0,H,1,1,ben-carlson-1,Ben Carlson,2022
2,9,2,2021-11-12,Wisconsin,,Green Bay,REG (Non-Conf),W 72-34,,18,2,6,0.333,0,1,0.0,2,5,0.4,0.333,1,1,1.0,1,6,7,1,0,0,0,0,5,4.8,H,1,1,ben-carlson-1,Ben Carlson,2022
3,10,3,2021-11-15,Wisconsin,,Providence,REG (Non-Conf),L 58-63,*,19,1,7,0.143,0,3,0.0,1,4,0.25,0.143,0,0,,2,1,3,0,0,1,1,0,2,-1.1,H,0,1,ben-carlson-1,Ben Carlson,2022
4,11,4,2021-11-22,Wisconsin,N,Texas A&M,REG (Non-Conf),W 69-58,,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,2,1,0,-3.1,N,1,1,ben-carlson-1,Ben Carlson,2022
5,12,5,2021-11-23,Wisconsin,N,Houston,REG (Non-Conf),W 65-63,,12,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,2,2,2,0,0,0,0,4,4.7,N,1,1,ben-carlson-1,Ben Carlson,2022
6,13,6,2021-11-24,Wisconsin,N,St. Mary's (CA),REG (Non-Conf),W 61-55,,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,1,0.0,1,3,4,0,0,0,1,1,0,-0.9,N,1,1,ben-carlson-1,Ben Carlson,2022
7,14,7,2021-12-01,Wisconsin,@,Georgia Tech,REG (Non-Conf),W 70-66,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,ben-carlson-1,Ben Carlson,2022
8,15,8,2021-12-04,Wisconsin,,Marquette,REG (Non-Conf),W 89-76,,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,2,1.7,H,1,1,ben-carlson-1,Ben Carlson,2022
9,16,9,2021-12-08,Wisconsin,,Indiana,REG (Conf),W 64-59,,20,1,4,0.25,0,2,0.0,1,2,0.5,0.25,1,2,0.5,2,2,4,0,0,0,0,1,3,1.8,H,1,1,ben-carlson-1,Ben Carlson,2022
10,17,10,2021-12-11,Wisconsin,@,Ohio State,REG (Conf),L 55-73,,13,0,3,0.0,0,2,0.0,0,1,0.0,0.0,1,2,0.5,0,2,2,0,0,0,0,1,1,-1.3,A,0,1,ben-carlson-1,Ben Carlson,2022
11,18,11,2021-12-15,Wisconsin,,Nicholls State,REG (Non-Conf),W 71-68,,9,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,2,2,4,0,0,0,0,0,4,3.3,H,1,1,ben-carlson-1,Ben Carlson,2022
12,19,13,2022-01-03,Wisconsin,@,Purdue,REG (Conf),W 74-69,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,ben-carlson-1,Ben Carlson,2022
13,20,14,2022-01-06,Wisconsin,,Iowa,REG (Conf),W 87-78,,1,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,H,1,1,ben-carlson-1,Ben Carlson,2022
14,21,15,2022-01-09,Wisconsin,@,Maryland,REG (Conf),W 70-69,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,ben-carlson-1,Ben Carlson,2022
15,22,16,2022-01-13,Wisconsin,,Ohio State,REG (Conf),W 78-68,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,H,1,1,ben-carlson-1,Ben Carlson,2022
16,23,17,2022-01-18,Wisconsin,@,Northwestern,REG (Conf),W 82-76,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,ben-carlson-1,Ben Carlson,2022
17,24,18,2022-01-21,Wisconsin,,Michigan State,REG (Conf),L 74-86,*,23,2,6,0.333,1,3,0.333,1,3,0.333,0.417,1,1,1.0,1,1,2,0,1,0,2,2,6,1.8,H,0,1,ben-carlson-1,Ben Carlson,2022
18,25,19,2022-01-27,Wisconsin,@,Nebraska,REG (Conf),W 73-65,,22,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,0,,4,1,5,0,0,0,0,0,6,5.4,A,1,1,ben-carlson-1,Ben Carlson,2022
19,26,20,2022-01-30,Wisconsin,,Minnesota,REG (Conf),W 66-60,,10,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,H,1,1,ben-carlson-1,Ben Carlson,2022
20,27,21,2022-02-02,Wisconsin,@,Illinois,REG (Conf),L 67-80,,9,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,1,1,2,0,0,0,0,0,2,1.3,A,0,1,ben-carlson-1,Ben Carlson,2022
21,28,22,2022-02-05,Wisconsin,,Penn State,REG (Conf),W 51-49,,8,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,0,1,0,0,0,0,0,0,0.0,H,1,1,ben-carlson-1,Ben Carlson,2022
