rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,111,1,2021-11-09,Murray State,,Cumberland (TN),REG (Non-Conf),W 109-77,*,27,2,4,0.5,2,4,0.5,0,0,,0.75,2,2,1.0,0,3,3,4,1,0,1,2,8,8.9,H,1,1,carter-collins-1,Carter Collins,2022
2,112,2,2021-11-13,Murray State,,Bellarmine,REG (Non-Conf),W 78-59,*,26,2,9,0.222,1,8,0.125,1,1,1.0,0.278,0,1,0.0,1,2,3,0,1,0,1,1,5,0.0,H,1,1,carter-collins-1,Carter Collins,2022
3,113,3,2021-11-16,Murray State,@,Illinois State,REG (Non-Conf),W 77-65,*,27,3,6,0.5,0,2,0.0,3,4,0.75,0.5,0,0,,1,6,7,2,3,0,2,1,6,7.5,A,1,1,carter-collins-1,Carter Collins,2022
4,114,4,2021-11-22,Murray State,N,East Tennessee State,REG (Non-Conf),L 58-66,*,16,0,5,0.0,0,2,0.0,0,3,0.0,0.0,0,0,,0,1,1,0,1,0,1,0,0,-3.2,N,0,1,carter-collins-1,Carter Collins,2022
5,115,5,2021-11-23,Murray State,N,Long Beach State,REG (Non-Conf),W 80-43,*,28,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,0,,0,3,3,2,1,0,1,1,6,5.2,N,1,1,carter-collins-1,Carter Collins,2022
6,116,6,2021-11-24,Murray State,N,James Madison,REG (Non-Conf),W 74-62,*,11,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,3,0,-2.6,N,1,1,carter-collins-1,Carter Collins,2022
7,117,7,2021-11-29,Murray State,,Campbellsville,REG (Non-Conf),W 98-61,*,24,3,8,0.375,0,4,0.0,3,4,0.75,0.375,0,0,,1,2,3,0,0,0,0,2,6,2.1,H,1,1,carter-collins-1,Carter Collins,2022
8,118,8,2021-12-04,Murray State,,Middle Tennessee,REG (Non-Conf),W 93-87,*,22,3,7,0.429,1,2,0.5,2,5,0.4,0.5,0,0,,2,1,3,0,2,0,1,2,7,5.2,H,1,1,carter-collins-1,Carter Collins,2022
9,119,9,2021-12-10,Murray State,@,Memphis,REG (Non-Conf),W 74-72,*,34,4,7,0.571,3,6,0.5,1,1,1.0,0.786,2,2,1.0,0,0,0,1,1,0,1,3,13,9.2,A,1,1,carter-collins-1,Carter Collins,2022
10,120,10,2021-12-15,Murray State,,Tennessee Wesleyan,REG (Non-Conf),W 118-48,*,15,0,5,0.0,0,4,0.0,0,1,0.0,0.0,0,0,,0,0,0,2,0,0,1,1,0,-3.5,H,1,1,carter-collins-1,Carter Collins,2022
