rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,119,1,2021-11-09,Villanova,,Mount St. Mary's,REG (Non-Conf),W 91-51,*,30,5,12,0.417,3,8,0.375,2,4,0.5,0.542,0,0,,0,0,0,5,2,0,0,0,13,12.1,H,1,1,collin-gillespie-1,Collin Gillespie,2022
2,120,2,2021-11-12,Villanova,@,UCLA,REG (Non-Conf),L 77-86 (OT),*,42,6,12,0.5,4,6,0.667,2,6,0.333,0.667,2,3,0.667,0,2,2,3,2,0,2,3,18,13.1,A,0,1,collin-gillespie-1,Collin Gillespie,2022
3,121,3,2021-11-16,Villanova,,Howard,REG (Non-Conf),W 100-81,*,27,6,13,0.462,5,12,0.417,1,1,1.0,0.654,4,4,1.0,0,2,2,3,1,0,1,2,21,16.2,H,1,1,collin-gillespie-1,Collin Gillespie,2022
4,122,4,2021-11-20,Villanova,N,Tennessee,REG (Non-Conf),W 71-53,*,32,3,10,0.3,2,7,0.286,1,3,0.333,0.4,6,8,0.75,1,2,3,4,2,0,1,2,14,11.7,N,1,1,collin-gillespie-1,Collin Gillespie,2022
5,123,5,2021-11-21,Villanova,N,Purdue,REG (Non-Conf),L 74-80,*,40,4,12,0.333,4,8,0.5,0,4,0.0,0.5,2,3,0.667,1,3,4,5,2,0,2,1,14,11.5,N,0,1,collin-gillespie-1,Collin Gillespie,2022
6,124,6,2021-11-28,Villanova,N,La Salle,REG (Non-Conf),W 72-46,*,29,4,10,0.4,3,8,0.375,1,2,0.5,0.55,2,2,1.0,1,5,6,5,1,0,2,1,13,11.9,N,1,1,collin-gillespie-1,Collin Gillespie,2022
7,125,7,2021-12-01,Villanova,@,Pennsylvania,REG (Non-Conf),W 71-56,*,35,9,15,0.6,4,8,0.5,5,7,0.714,0.733,4,4,1.0,0,3,3,0,0,0,0,1,26,19.6,A,1,1,collin-gillespie-1,Collin Gillespie,2022
8,126,8,2021-12-04,Villanova,,Saint Joseph's,REG (Non-Conf),W 81-52,*,31,7,12,0.583,5,7,0.714,2,5,0.4,0.792,4,4,1.0,0,4,4,3,0,0,2,0,23,18.7,H,1,1,collin-gillespie-1,Collin Gillespie,2022
9,127,9,2021-12-07,Villanova,N,Syracuse,REG (Non-Conf),W 67-53,*,38,5,14,0.357,4,12,0.333,1,2,0.5,0.5,0,0,,1,2,3,5,3,0,2,2,14,11.2,N,1,1,collin-gillespie-1,Collin Gillespie,2022
10,128,10,2021-12-12,Villanova,@,Baylor,REG (Non-Conf),L 36-57,*,37,2,7,0.286,2,7,0.286,0,0,,0.429,0,0,,1,4,5,1,1,0,3,3,6,1.3,A,0,1,collin-gillespie-1,Collin Gillespie,2022
11,129,11,2021-12-17,Villanova,@,Creighton,REG (Conf),L 59-79,*,35,6,17,0.353,1,8,0.125,5,9,0.556,0.382,3,3,1.0,2,3,5,2,2,0,0,2,16,11.4,A,0,1,collin-gillespie-1,Collin Gillespie,2022
12,130,12,2021-12-21,Villanova,,Xavier,REG (Conf),W 71-58,*,37,7,11,0.636,1,5,0.2,6,6,1.0,0.682,0,0,,0,2,2,4,2,0,1,2,15,13.7,H,1,1,collin-gillespie-1,Collin Gillespie,2022
13,131,13,2022-01-01,Villanova,@,Seton Hall,REG (Conf),W 73-67,*,30,6,12,0.5,4,8,0.5,2,4,0.5,0.667,5,6,0.833,1,3,4,2,1,0,3,5,21,13.6,A,1,1,collin-gillespie-1,Collin Gillespie,2022
14,132,14,2022-01-05,Villanova,,Creighton,REG (Conf),W 75-41,*,24,4,7,0.571,3,5,0.6,1,2,0.5,0.786,0,0,,0,3,3,5,1,0,1,3,11,10.9,H,1,1,collin-gillespie-1,Collin Gillespie,2022
15,133,15,2022-01-08,Villanova,@,DePaul,REG (Conf),W 79-64,*,38,9,17,0.529,3,8,0.375,6,9,0.667,0.618,7,7,1.0,1,3,4,4,0,0,1,2,28,22.3,A,1,1,collin-gillespie-1,Collin Gillespie,2022
16,134,16,2022-01-12,Villanova,@,Xavier,REG (Conf),W 64-60,*,35,7,20,0.35,2,11,0.182,5,9,0.556,0.4,5,5,1.0,1,2,3,2,1,0,4,2,21,8.7,A,1,1,collin-gillespie-1,Collin Gillespie,2022
17,135,17,2022-01-16,Villanova,,Butler,REG (Conf),W 82-42,*,29,6,7,0.857,5,6,0.833,1,1,1.0,1.214,0,0,,0,5,5,3,1,0,2,0,17,17.1,H,1,1,collin-gillespie-1,Collin Gillespie,2022
18,136,18,2022-01-19,Villanova,,Marquette,REG (Conf),L 54-57,*,38,4,13,0.308,1,6,0.167,3,7,0.429,0.346,1,1,1.0,1,7,8,4,2,0,1,0,10,9.1,H,0,1,collin-gillespie-1,Collin Gillespie,2022
19,137,19,2022-01-22,Villanova,@,Georgetown,REG (Conf),W 85-74,*,35,8,14,0.571,6,9,0.667,2,5,0.4,0.786,6,6,1.0,0,1,1,1,0,0,2,2,28,19.6,A,1,1,collin-gillespie-1,Collin Gillespie,2022
20,138,20,2022-01-25,Villanova,,DePaul,REG (Conf),W 67-43,*,32,4,10,0.4,4,6,0.667,0,4,0.0,0.6,2,2,1.0,0,2,2,2,1,0,1,2,14,9.8,H,1,1,collin-gillespie-1,Collin Gillespie,2022
21,139,21,2022-01-29,Villanova,,St. John's (NY),REG (Conf),W 73-62,*,32,5,7,0.714,3,5,0.6,2,2,1.0,0.929,4,5,0.8,0,3,3,0,0,0,1,2,17,12.8,H,1,1,collin-gillespie-1,Collin Gillespie,2022
22,140,22,2022-02-02,Villanova,@,Marquette,REG (Conf),L 73-83,*,36,5,15,0.333,4,12,0.333,1,3,0.333,0.467,2,2,1.0,1,1,2,4,0,0,4,3,16,6.1,A,0,1,collin-gillespie-1,Collin Gillespie,2022
23,141,23,2022-02-05,Villanova,,Connecticut,REG (Conf),W 85-74,*,27,6,13,0.462,4,7,0.571,2,6,0.333,0.615,3,3,1.0,0,3,3,1,0,0,1,0,19,12.9,H,1,1,collin-gillespie-1,Collin Gillespie,2022
24,142,24,2022-02-08,Villanova,@,St. John's (NY),REG (Conf),W 75-69,*,25,0,5,0.0,0,3,0.0,0,2,0.0,0.0,0,0,,0,10,10,0,2,0,0,4,0,-0.1,A,1,1,collin-gillespie-1,Collin Gillespie,2022
25,143,25,2022-02-12,Villanova,,Seton Hall,REG (Conf),W 73-67,*,36,3,6,0.5,2,3,0.667,1,3,0.333,0.667,2,2,1.0,1,4,5,4,1,0,3,1,10,9.3,H,1,1,collin-gillespie-1,Collin Gillespie,2022
26,144,26,2022-02-15,Villanova,@,Providence,REG (Conf),W 89-84,*,37,10,17,0.588,5,8,0.625,5,9,0.556,0.735,8,8,1.0,0,4,4,2,1,0,1,2,33,26.9,A,1,1,collin-gillespie-1,Collin Gillespie,2022
27,145,27,2022-02-19,Villanova,,Georgetown,REG (Conf),W 74-66,*,36,2,10,0.2,1,6,0.167,1,4,0.25,0.25,4,4,1.0,1,9,10,5,0,0,3,3,9,5.5,H,1,1,collin-gillespie-1,Collin Gillespie,2022
28,146,28,2022-02-22,Villanova,@,Connecticut,REG (Conf),L 69-71,*,34,4,9,0.444,2,5,0.4,2,4,0.5,0.556,7,8,0.875,0,2,2,4,1,0,5,4,17,9.7,A,0,1,collin-gillespie-1,Collin Gillespie,2022
29,147,29,2022-03-01,Villanova,,Providence,REG (Conf),W 76-74,*,37,4,12,0.333,3,7,0.429,1,5,0.2,0.458,3,4,0.75,0,4,4,5,3,0,0,3,14,13.3,H,1,1,collin-gillespie-1,Collin Gillespie,2022
30,148,30,2022-03-05,Villanova,@,Butler,REG (Conf),W 78-59,*,32,4,8,0.5,3,5,0.6,1,3,0.333,0.688,0,0,,0,2,2,4,0,0,2,1,11,8.0,A,1,1,collin-gillespie-1,Collin Gillespie,2022
31,149,31,2022-03-10,Villanova,N,St. John's (NY),CTOURN,W 66-65,*,37,5,11,0.455,2,6,0.333,3,5,0.6,0.545,2,4,0.5,1,5,6,3,0,0,4,3,14,6.6,N,1,0,collin-gillespie-1,Collin Gillespie,2022
32,150,32,2022-03-11,Villanova,N,Connecticut,CTOURN,W 63-60,*,38,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,0,0,0,10,0,0,1,3,5,6.7,N,1,0,collin-gillespie-1,Collin Gillespie,2022
33,151,33,2022-03-12,Villanova,N,Creighton,CTOURN,W 54-48,*,36,5,14,0.357,3,8,0.375,2,6,0.333,0.464,4,4,1.0,0,7,7,5,2,0,1,1,17,15.4,N,1,0,collin-gillespie-1,Collin Gillespie,2022
34,152,34,2022-03-18,Villanova,N,Delaware,ROUND-64,W 80-60,*,32,5,11,0.455,4,9,0.444,1,2,0.5,0.636,0,0,,0,4,4,4,0,0,1,0,14,11.3,N,1,0,collin-gillespie-1,Collin Gillespie,2022
35,153,35,2022-03-20,Villanova,N,Ohio State,ROUND-32,W 71-61,*,38,5,14,0.357,2,9,0.222,3,5,0.6,0.429,8,8,1.0,0,1,1,4,1,0,1,1,20,14.9,N,1,0,collin-gillespie-1,Collin Gillespie,2022
36,154,36,2022-03-24,Villanova,N,Michigan,ROUND-16,W 63-55,*,39,4,14,0.286,4,10,0.4,0,4,0.0,0.429,0,0,,0,6,6,2,1,0,1,1,12,6.6,N,1,0,collin-gillespie-1,Collin Gillespie,2022
37,155,37,2022-03-26,Villanova,N,Houston,ROUND-8,W 50-44,*,36,1,6,0.167,0,4,0.0,1,2,0.5,0.167,4,4,1.0,1,4,5,1,0,0,1,3,6,2.6,N,1,0,collin-gillespie-1,Collin Gillespie,2022
38,156,38,2022-04-02,Villanova,N,Kansas,NATIONAL-SEMI,L 65-81,*,39,6,11,0.545,5,8,0.625,1,3,0.333,0.773,0,0,,0,2,2,0,2,0,2,2,17,11.5,N,0,0,collin-gillespie-1,Collin Gillespie,2022
