rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,23,1,2021-11-09,Davidson,,Delaware,REG (Non-Conf),W 93-71,,26,2,3,0.667,0,1,0.0,2,2,1.0,0.667,2,2,1.0,0,1,1,2,3,0,3,2,6,5.6,H,1,1,grant-huffman-1,Grant Huffman,2022
2,24,2,2021-11-13,Davidson,@,San Francisco,REG (Non-Conf),L 60-65,,17,2,2,1.0,1,1,1.0,1,1,1.0,1.25,1,2,0.5,1,1,2,0,1,0,1,0,6,6.0,A,0,1,grant-huffman-1,Grant Huffman,2022
3,25,3,2021-11-18,Davidson,N,New Mexico State,REG (Non-Conf),L 64-75,,15,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,1,1,2,0,0,0,1,2,1.9,N,0,1,grant-huffman-1,Grant Huffman,2022
4,26,4,2021-11-19,Davidson,N,Pennsylvania,REG (Non-Conf),W 72-60,,17,0,3,0.0,0,1,0.0,0,2,0.0,0.0,2,2,1.0,0,0,0,1,1,0,1,0,2,0.6,N,1,1,grant-huffman-1,Grant Huffman,2022
5,27,5,2021-11-21,Davidson,N,East Carolina,REG (Non-Conf),W 76-67,,21,1,4,0.25,0,2,0.0,1,2,0.5,0.25,1,1,1.0,0,2,2,3,1,0,1,3,3,2.1,N,1,1,grant-huffman-1,Grant Huffman,2022
6,28,6,2021-11-27,Davidson,,Robert Morris,REG (Non-Conf),W 88-70,,21,3,4,0.75,0,0,,3,4,0.75,0.75,2,4,0.5,0,5,5,2,1,0,1,1,8,8.1,H,1,1,grant-huffman-1,Grant Huffman,2022
7,29,7,2021-11-30,Davidson,@,Charlotte,REG (Non-Conf),W 75-58,,24,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,1,2,1,3,0,2,1,4,3.6,A,1,1,grant-huffman-1,Grant Huffman,2022
8,30,8,2021-12-04,Davidson,,William & Mary,REG (Non-Conf),W 70-46,,22,3,8,0.375,0,3,0.0,3,5,0.6,0.375,0,2,0.0,0,3,3,1,2,0,2,2,6,1.6,H,1,1,grant-huffman-1,Grant Huffman,2022
9,31,9,2021-12-12,Davidson,@,Northeastern,REG (Non-Conf),W 79-69,,17,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,1,1,2,0,0,1,2,3,2.6,A,1,1,grant-huffman-1,Grant Huffman,2022
10,32,10,2021-12-18,Davidson,,Radford,REG (Non-Conf),W 74-54,,23,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,2,0.0,0,2,2,1,0,0,0,2,0,-2.4,H,1,1,grant-huffman-1,Grant Huffman,2022
11,33,11,2021-12-21,Davidson,N,Alabama,REG (Non-Conf),W 79-78,,18,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,0,1,2,0.9,N,1,1,grant-huffman-1,Grant Huffman,2022
12,34,12,2021-12-22,Davidson,,Johnson/Wales-NC,REG (Non-Conf),W 106-64,*,19,2,7,0.286,1,2,0.5,1,5,0.2,0.357,0,0,,0,4,4,4,1,0,1,1,5,4.5,H,1,1,grant-huffman-1,Grant Huffman,2022
13,35,13,2022-01-05,Davidson,@,Saint Joseph's,REG (Conf),W 88-73,,17,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,3,0,0,0,1,2,3.7,A,1,1,grant-huffman-1,Grant Huffman,2022
14,36,14,2022-01-08,Davidson,,Rhode Island,REG (Conf),W 72-68,,20,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,1,1,0,0,0,0,0,2,0.6,H,1,1,grant-huffman-1,Grant Huffman,2022
15,37,15,2022-01-11,Davidson,,Massachusetts,REG (Conf),W 77-67,,13,1,4,0.25,1,1,1.0,0,3,0.0,0.375,0,0,,0,1,1,1,0,0,1,0,3,0.6,H,1,1,grant-huffman-1,Grant Huffman,2022
16,38,16,2022-01-14,Davidson,@,Richmond,REG (Conf),W 87-84,,13,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,0,0,0,0,0,0,1,4,3.0,A,1,1,grant-huffman-1,Grant Huffman,2022
17,39,17,2022-01-18,Davidson,@,VCU,REG (Conf),W 63-61,,8,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,0,0,0,0,0,0,1,0,5,2.3,A,1,1,grant-huffman-1,Grant Huffman,2022
18,40,21,2022-02-01,Davidson,@,St. Bonaventure,REG (Conf),W 81-76,,10,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,0,0,0,0,0,0,0,2,1,-0.9,A,1,1,grant-huffman-1,Grant Huffman,2022
19,41,22,2022-02-05,Davidson,@,George Washington,REG (Conf),W 78-73,,17,3,3,1.0,1,1,1.0,2,2,1.0,1.167,0,0,,0,4,4,2,0,0,0,0,7,8.7,A,1,1,grant-huffman-1,Grant Huffman,2022
20,42,23,2022-02-09,Davidson,,Saint Joseph's,REG (Conf),W 73-67 (OT),,15,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,2,3,0,0,0,0,1,0,0.2,H,1,1,grant-huffman-1,Grant Huffman,2022
21,43,24,2022-02-12,Davidson,@,Rhode Island,REG (Conf),L 65-72,,21,1,5,0.2,1,2,0.5,0,3,0.0,0.3,1,2,0.5,1,2,3,0,1,0,0,1,4,2.4,A,0,1,grant-huffman-1,Grant Huffman,2022
22,44,25,2022-02-14,Davidson,,Duquesne,REG (Conf),W 72-61,,17,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,0,0,1,1,0,0,3,0,-1.6,H,1,1,grant-huffman-1,Grant Huffman,2022
23,45,26,2022-02-19,Davidson,,Saint Louis,REG (Conf),W 79-58,*,27,3,5,0.6,1,3,0.333,2,2,1.0,0.7,2,4,0.5,1,5,6,4,1,0,3,2,9,8.1,H,1,1,grant-huffman-1,Grant Huffman,2022
24,46,27,2022-02-23,Davidson,@,Duquesne,REG (Conf),W 74-50,*,32,4,5,0.8,1,1,1.0,3,4,0.75,0.9,0,0,,0,3,3,4,4,0,1,1,9,13.4,A,1,1,grant-huffman-1,Grant Huffman,2022
25,47,28,2022-02-26,Davidson,,Fordham,REG (Conf),W 66-45,*,22,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,5,5,1,1,0,6,4,0,-5.1,H,1,1,grant-huffman-1,Grant Huffman,2022
26,48,29,2022-03-02,Davidson,,George Mason,REG (Conf),W 73-62,,34,4,7,0.571,0,2,0.0,4,5,0.8,0.571,3,4,0.75,0,3,3,3,0,0,0,0,11,10.3,H,1,1,grant-huffman-1,Grant Huffman,2022
27,49,30,2022-03-05,Davidson,@,Dayton,REG (Conf),L 76-82,*,20,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0.0,1,3,4,1,0,0,0,1,2,2.5,A,0,1,grant-huffman-1,Grant Huffman,2022
28,50,31,2022-03-11,Davidson,N,Fordham,CTOURN,W 74-56,,29,3,4,0.75,3,4,0.75,0,0,,1.125,0,0,,0,5,5,2,1,0,3,2,9,7.5,N,1,0,grant-huffman-1,Grant Huffman,2022
29,51,32,2022-03-12,Davidson,N,Saint Louis,CTOURN,W 84-69,,22,4,4,1.0,2,2,1.0,2,2,1.0,1.25,2,2,1.0,0,1,1,2,2,0,0,4,12,12.9,N,1,0,grant-huffman-1,Grant Huffman,2022
