rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,96,1,2021-11-09,UCLA,,Cal State Bakersfield,REG (Non-Conf),W 95-58,*,17,6,10,0.6,4,8,0.5,2,2,1.0,0.8,3,5,0.6,1,2,3,1,1,0,2,1,19,14.2,H,1,1,jules-bernard-1,Jules Bernard,2022
2,97,2,2021-11-12,UCLA,,Villanova,REG (Non-Conf),W 86-77 (OT),*,38,5,11,0.455,2,5,0.4,3,6,0.5,0.545,4,4,1.0,0,9,9,3,0,0,2,1,16,12.7,H,1,1,jules-bernard-1,Jules Bernard,2022
3,98,3,2021-11-15,UCLA,,Long Beach State,REG (Non-Conf),W 100-79,*,36,8,11,0.727,4,5,0.8,4,6,0.667,0.909,2,2,1.0,2,3,5,7,1,0,0,2,22,24.9,H,1,1,jules-bernard-1,Jules Bernard,2022
4,99,4,2021-11-17,UCLA,,North Florida,REG (Non-Conf),W 98-63,*,20,5,12,0.417,0,2,0.0,5,10,0.5,0.417,5,5,1.0,1,3,4,1,0,0,0,1,15,10.5,H,1,1,jules-bernard-1,Jules Bernard,2022
5,100,5,2021-11-22,UCLA,N,Bellarmine,REG (Non-Conf),W 75-62,*,18,2,8,0.25,1,5,0.2,1,3,0.333,0.313,0,0,,1,2,3,3,0,0,0,1,5,3.2,N,1,1,jules-bernard-1,Jules Bernard,2022
6,101,6,2021-11-23,UCLA,N,Gonzaga,REG (Non-Conf),L 63-83,*,32,3,11,0.273,0,3,0.0,3,8,0.375,0.273,1,2,0.5,0,3,3,1,1,0,0,2,7,1.9,N,0,1,jules-bernard-1,Jules Bernard,2022
7,102,7,2021-11-27,UCLA,@,UNLV,REG (Non-Conf),W 73-51,*,34,6,9,0.667,3,4,0.75,3,5,0.6,0.833,3,5,0.6,0,4,4,4,0,2,1,1,18,17.3,A,1,1,jules-bernard-1,Jules Bernard,2022
8,103,8,2021-12-01,UCLA,,Colorado,REG (Conf),W 73-61,*,32,3,9,0.333,2,4,0.5,1,5,0.2,0.444,2,2,1.0,1,3,4,1,1,1,2,1,10,6.5,H,1,1,jules-bernard-1,Jules Bernard,2022
9,104,9,2021-12-11,UCLA,@,Marquette,REG (Non-Conf),W 67-56,*,29,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,4,4,0,0,0,1,4,5,0.9,A,1,1,jules-bernard-1,Jules Bernard,2022
10,105,10,2022-01-06,UCLA,,Long Beach State,REG (Non-Conf),W 96-78,*,28,7,12,0.583,4,7,0.571,3,5,0.6,0.75,4,7,0.571,1,3,4,5,1,0,2,0,22,19.3,H,1,1,jules-bernard-1,Jules Bernard,2022
11,106,11,2022-01-08,UCLA,@,California,REG (Conf),W 60-52,*,32,0,6,0.0,0,5,0.0,0,1,0.0,0.0,4,6,0.667,1,6,7,0,1,1,1,1,4,1.8,A,1,1,jules-bernard-1,Jules Bernard,2022
12,107,12,2022-01-13,UCLA,,Oregon,REG (Conf),L 81-84 (OT),*,29,3,13,0.231,1,8,0.125,2,5,0.4,0.269,6,6,1.0,2,5,7,1,0,0,1,1,13,7.3,H,0,1,jules-bernard-1,Jules Bernard,2022
13,108,13,2022-01-15,UCLA,,Oregon State,REG (Conf),W 81-65,*,33,6,11,0.545,0,4,0.0,6,7,0.857,0.545,4,5,0.8,0,4,4,3,0,0,1,1,16,12.2,H,1,1,jules-bernard-1,Jules Bernard,2022
14,109,14,2022-01-20,UCLA,@,Utah,REG (Conf),W 63-58,*,30,2,8,0.25,2,5,0.4,0,3,0.0,0.375,8,10,0.8,3,4,7,1,0,1,1,1,14,11.7,A,1,1,jules-bernard-1,Jules Bernard,2022
15,110,15,2022-01-22,UCLA,@,Colorado,REG (Conf),W 71-65,*,32,2,8,0.25,1,3,0.333,1,5,0.2,0.313,4,4,1.0,0,3,3,1,3,0,2,3,9,5.6,A,1,1,jules-bernard-1,Jules Bernard,2022
16,111,16,2022-01-25,UCLA,,Arizona,REG (Conf),W 75-59,*,32,7,11,0.636,1,4,0.25,6,7,0.857,0.682,0,0,,0,7,7,3,2,0,0,3,15,15.1,H,1,1,jules-bernard-1,Jules Bernard,2022
17,112,17,2022-01-27,UCLA,,California,REG (Conf),W 81-57,*,32,3,7,0.429,2,4,0.5,1,3,0.333,0.571,4,4,1.0,1,4,5,2,3,0,3,1,12,11.2,H,1,1,jules-bernard-1,Jules Bernard,2022
18,113,18,2022-01-29,UCLA,,Stanford,REG (Conf),W 66-43,*,36,5,15,0.333,1,8,0.125,4,7,0.571,0.367,5,6,0.833,1,8,9,0,2,0,1,2,16,10.4,H,1,1,jules-bernard-1,Jules Bernard,2022
19,114,19,2022-02-03,UCLA,@,Arizona,REG (Conf),L 66-76,*,36,6,15,0.4,1,3,0.333,5,12,0.417,0.433,2,4,0.5,2,4,6,0,2,0,1,3,15,8.5,A,0,1,jules-bernard-1,Jules Bernard,2022
20,115,20,2022-02-05,UCLA,@,Arizona State,REG (Conf),L 84-87 (3OT),*,30,2,10,0.2,1,6,0.167,1,4,0.25,0.25,1,2,0.5,3,5,8,1,0,0,0,2,6,2.9,A,0,1,jules-bernard-1,Jules Bernard,2022
21,116,21,2022-02-08,UCLA,@,Stanford,REG (Conf),W 79-70,*,17,4,7,0.571,0,0,,4,7,0.571,0.571,2,2,1.0,1,0,1,0,0,1,0,3,10,6.9,A,1,1,jules-bernard-1,Jules Bernard,2022
22,117,22,2022-02-12,UCLA,@,Southern California,REG (Conf),L 64-67,*,23,1,9,0.111,0,5,0.0,1,4,0.25,0.111,0,0,,0,2,2,0,1,0,0,1,2,-2.7,A,0,1,jules-bernard-1,Jules Bernard,2022
23,118,23,2022-02-17,UCLA,,Washington State,REG (Conf),W 76-56,*,26,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,0,,0,4,4,2,0,0,2,3,8,3.0,H,1,1,jules-bernard-1,Jules Bernard,2022
24,119,24,2022-02-19,UCLA,,Washington,REG (Conf),W 76-50,*,27,3,14,0.214,0,3,0.0,3,11,0.273,0.214,0,2,0.0,0,3,3,2,2,0,1,1,6,-0.5,H,1,1,jules-bernard-1,Jules Bernard,2022
25,120,25,2022-02-21,UCLA,,Arizona State,REG (Conf),W 66-52,*,35,4,10,0.4,1,5,0.2,3,5,0.6,0.45,7,7,1.0,1,3,4,2,1,0,2,2,16,11.8,H,1,1,jules-bernard-1,Jules Bernard,2022
26,121,26,2022-02-24,UCLA,@,Oregon,REG (Conf),L 63-68,,30,4,11,0.364,0,3,0.0,4,8,0.5,0.364,0,0,,0,3,3,1,1,0,0,2,8,3.7,A,0,1,jules-bernard-1,Jules Bernard,2022
27,122,27,2022-02-26,UCLA,@,Oregon State,REG (Conf),W 94-55,*,26,5,9,0.556,3,5,0.6,2,4,0.5,0.722,3,3,1.0,1,4,5,1,2,0,0,2,16,15.5,A,1,1,jules-bernard-1,Jules Bernard,2022
28,123,28,2022-02-28,UCLA,@,Washington,REG (Conf),W 77-66,*,29,2,7,0.286,2,5,0.4,0,2,0.0,0.429,6,6,1.0,1,2,3,2,0,0,3,4,12,6.0,A,1,1,jules-bernard-1,Jules Bernard,2022
29,124,29,2022-03-05,UCLA,,Southern California,REG (Conf),W 75-68,*,35,6,11,0.545,2,4,0.5,4,7,0.571,0.636,5,6,0.833,0,3,3,2,1,0,0,1,19,16.2,H,1,1,jules-bernard-1,Jules Bernard,2022
30,125,30,2022-03-10,UCLA,N,Washington State,CTOURN,W 75-65,*,31,7,12,0.583,4,8,0.5,3,4,0.75,0.75,1,1,1.0,0,5,5,1,1,0,1,1,19,15.2,N,1,0,jules-bernard-1,Jules Bernard,2022
31,126,31,2022-03-11,UCLA,N,Southern California,CTOURN,W 69-59,*,29,3,7,0.429,2,4,0.5,1,3,0.333,0.571,7,7,1.0,1,7,8,1,1,0,1,3,15,13.6,N,1,0,jules-bernard-1,Jules Bernard,2022
32,127,32,2022-03-12,UCLA,N,Arizona,CTOURN,L 76-84,*,34,6,13,0.462,2,7,0.286,4,6,0.667,0.538,5,6,0.833,0,3,3,2,1,0,1,3,19,13.0,N,0,0,jules-bernard-1,Jules Bernard,2022
33,128,33,2022-03-17,UCLA,N,Akron,ROUND-64,W 57-53,*,36,4,11,0.364,2,6,0.333,2,5,0.4,0.455,0,0,,2,2,4,1,2,1,2,0,10,7.3,N,1,0,jules-bernard-1,Jules Bernard,2022
34,129,34,2022-03-19,UCLA,N,St. Mary's (CA),ROUND-32,W 72-56,*,31,5,9,0.556,3,5,0.6,2,4,0.5,0.722,1,2,0.5,1,4,5,4,1,0,0,1,14,14.6,N,1,0,jules-bernard-1,Jules Bernard,2022
35,130,35,2022-03-25,UCLA,N,North Carolina,ROUND-16,L 66-73,*,38,7,11,0.636,2,5,0.4,5,6,0.833,0.727,0,0,,1,4,5,1,2,0,0,0,16,15.7,N,0,0,jules-bernard-1,Jules Bernard,2022
