rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2021-11-09,Tennessee,,UT Martin,REG (Non-Conf),W 90-62,*,22,7,10,0.7,4,4,1.0,3,6,0.5,0.9,2,2,1.0,1,0,1,4,0,0,3,0,20,16.3,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
2,2,2,2021-11-14,Tennessee,,East Tennessee State,REG (Non-Conf),W 94-62,*,26,6,9,0.667,2,3,0.667,4,6,0.667,0.778,2,2,1.0,1,4,5,6,3,1,1,2,16,20.1,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
3,3,3,2021-11-20,Tennessee,N,Villanova,REG (Non-Conf),L 53-71,*,25,1,9,0.111,0,2,0.0,1,7,0.143,0.111,4,4,1.0,0,3,3,2,0,1,3,3,6,-1.1,N,0,1,kennedy-chandler-1,Kennedy Chandler,2022
4,4,4,2021-11-21,Tennessee,N,North Carolina,REG (Non-Conf),W 89-72,*,32,6,13,0.462,2,3,0.667,4,10,0.4,0.538,0,0,,0,5,5,8,1,1,2,2,14,13.3,N,1,1,kennedy-chandler-1,Kennedy Chandler,2022
5,5,5,2021-11-26,Tennessee,,Tennessee Tech,REG (Non-Conf),W 80-69,*,34,6,13,0.462,1,4,0.25,5,9,0.556,0.5,2,2,1.0,0,2,2,4,5,1,4,0,15,13.4,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
6,6,6,2021-11-30,Tennessee,,Presbyterian,REG (Non-Conf),W 86-44,*,26,7,14,0.5,1,4,0.25,6,10,0.6,0.536,0,0,,0,1,1,7,7,1,0,1,15,20.5,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
7,7,7,2021-12-04,Tennessee,@,Colorado,REG (Non-Conf),W 69-54,*,36,13,20,0.65,1,6,0.167,12,14,0.857,0.675,0,2,0.0,0,3,3,2,1,0,2,3,27,17.5,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
8,8,8,2021-12-07,Tennessee,N,Texas Tech,REG (Non-Conf),L 52-57 (OT),*,41,4,13,0.308,1,5,0.2,3,8,0.375,0.346,0,1,0.0,1,2,3,5,0,0,5,4,9,-0.7,N,0,1,kennedy-chandler-1,Kennedy Chandler,2022
9,9,9,2021-12-11,Tennessee,,UNC Greensboro,REG (Non-Conf),W 76-36,*,27,2,9,0.222,1,4,0.25,1,5,0.2,0.278,4,4,1.0,2,0,2,6,1,0,1,0,9,9.1,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
10,10,10,2021-12-14,Tennessee,,USC Upstate,REG (Non-Conf),W 96-52,*,25,6,11,0.545,3,5,0.6,3,6,0.5,0.682,0,1,0.0,1,4,5,10,1,0,1,1,15,17.8,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
11,11,11,2021-12-22,Tennessee,,Arizona,REG (Non-Conf),W 77-73,*,34,2,14,0.143,0,3,0.0,2,11,0.182,0.143,4,6,0.667,1,2,3,4,3,0,2,2,8,2.5,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
12,12,13,2022-01-05,Tennessee,,Ole Miss,REG (Conf),W 66-60 (OT),*,28,3,8,0.375,0,4,0.0,3,4,0.75,0.375,0,0,,0,2,2,7,4,0,5,2,6,5.3,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
13,13,14,2022-01-08,Tennessee,@,Louisiana State,REG (Conf),L 67-79,*,37,6,12,0.5,1,3,0.333,5,9,0.556,0.542,6,10,0.6,1,3,4,3,4,0,6,3,19,11.9,A,0,1,kennedy-chandler-1,Kennedy Chandler,2022
14,14,15,2022-01-11,Tennessee,,South Carolina,REG (Conf),W 66-46,*,25,2,7,0.286,1,2,0.5,1,5,0.2,0.357,3,8,0.375,1,4,5,3,2,0,1,0,8,6.9,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
15,15,16,2022-01-15,Tennessee,@,Kentucky,REG (Conf),L 79-107,*,30,7,11,0.636,2,4,0.5,5,7,0.714,0.727,1,4,0.25,0,3,3,3,2,0,3,4,17,11.3,A,0,1,kennedy-chandler-1,Kennedy Chandler,2022
16,16,17,2022-01-18,Tennessee,@,Vanderbilt,REG (Conf),W 68-60,*,31,6,13,0.462,0,4,0.0,6,9,0.667,0.462,1,1,1.0,2,2,4,4,5,1,5,4,13,10.2,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
17,17,18,2022-01-22,Tennessee,,Louisiana State,REG (Conf),W 64-50,*,32,4,13,0.308,1,5,0.2,3,8,0.375,0.346,0,1,0.0,0,2,2,6,0,0,1,3,9,3.7,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
18,18,19,2022-01-26,Tennessee,,Florida,REG (Conf),W 78-71,*,30,5,13,0.385,1,3,0.333,4,10,0.4,0.423,6,6,1.0,1,0,1,5,0,0,3,3,17,9.9,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
19,19,20,2022-01-29,Tennessee,@,Texas,REG (Non-Conf),L 51-52,*,30,4,11,0.364,0,2,0.0,4,9,0.444,0.364,0,0,,2,0,2,0,4,0,3,0,8,4.3,A,0,1,kennedy-chandler-1,Kennedy Chandler,2022
20,20,21,2022-02-01,Tennessee,,Texas A&M,REG (Conf),W 90-80,*,30,5,11,0.455,1,4,0.25,4,7,0.571,0.5,5,6,0.833,0,2,2,7,3,0,4,3,16,13.2,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
21,21,22,2022-02-05,Tennessee,@,South Carolina,REG (Conf),W 81-57,*,33,4,11,0.364,2,3,0.667,2,8,0.25,0.455,1,2,0.5,0,3,3,10,3,0,1,2,11,13.6,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
22,22,23,2022-02-09,Tennessee,@,Mississippi State,REG (Conf),W 72-63,*,34,8,13,0.615,1,3,0.333,7,10,0.7,0.654,1,2,0.5,2,3,5,3,5,0,4,1,18,16.7,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
23,23,24,2022-02-12,Tennessee,,Vanderbilt,REG (Conf),W 73-64,*,24,3,8,0.375,0,2,0.0,3,6,0.5,0.375,0,2,0.0,1,5,6,2,0,0,4,4,6,-1.2,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
24,24,25,2022-02-15,Tennessee,,Kentucky,REG (Conf),W 76-63,*,36,5,9,0.556,3,5,0.6,2,4,0.5,0.722,4,4,1.0,0,5,5,6,2,0,0,0,17,20.4,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
25,25,26,2022-02-19,Tennessee,@,Arkansas,REG (Conf),L 48-58,*,28,5,15,0.333,1,5,0.2,4,10,0.4,0.367,0,0,,0,3,3,2,1,2,2,4,11,3.6,A,0,1,kennedy-chandler-1,Kennedy Chandler,2022
26,26,27,2022-02-22,Tennessee,@,Missouri,REG (Conf),W 80-61,*,37,9,12,0.75,2,4,0.5,7,8,0.875,0.833,3,7,0.429,2,6,8,6,2,0,0,1,23,25.6,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
27,27,28,2022-02-26,Tennessee,,Auburn,REG (Conf),W 67-62,*,33,5,12,0.417,0,2,0.0,5,10,0.5,0.417,3,6,0.5,0,2,2,2,1,0,4,4,13,2.8,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
28,28,29,2022-03-01,Tennessee,@,Georgia,REG (Conf),W 75-68,*,35,6,13,0.462,2,5,0.4,4,8,0.5,0.538,2,3,0.667,0,1,1,2,4,0,4,0,16,10.6,A,1,1,kennedy-chandler-1,Kennedy Chandler,2022
29,29,30,2022-03-05,Tennessee,,Arkansas,REG (Conf),W 78-74,*,25,5,6,0.833,5,6,0.833,0,0,,1.25,0,3,0.0,0,2,2,3,0,0,2,4,15,10.7,H,1,1,kennedy-chandler-1,Kennedy Chandler,2022
30,30,31,2022-03-11,Tennessee,N,Mississippi State,CTOURN,W 72-59,*,27,4,7,0.571,1,2,0.5,3,5,0.6,0.643,2,2,1.0,1,0,1,6,2,0,0,0,11,14.6,N,1,0,kennedy-chandler-1,Kennedy Chandler,2022
31,31,32,2022-03-12,Tennessee,N,Kentucky,CTOURN,W 69-62,*,34,8,16,0.5,1,3,0.333,7,13,0.538,0.531,2,3,0.667,1,2,3,2,1,0,3,2,19,10.5,N,1,0,kennedy-chandler-1,Kennedy Chandler,2022
32,32,33,2022-03-13,Tennessee,N,Texas A&M,CTOURN,W 65-50,*,37,5,9,0.556,4,7,0.571,1,2,0.5,0.778,0,1,0.0,0,4,4,7,1,0,0,2,14,15.6,N,1,0,kennedy-chandler-1,Kennedy Chandler,2022
33,33,34,2022-03-17,Tennessee,N,Longwood,ROUND-64,W 88-56,*,27,4,8,0.5,3,4,0.75,1,4,0.25,0.688,2,4,0.5,1,4,5,5,4,0,3,2,13,13.8,N,1,0,kennedy-chandler-1,Kennedy Chandler,2022
34,34,35,2022-03-19,Tennessee,N,Michigan,ROUND-32,L 68-76,*,37,9,19,0.474,1,3,0.333,8,16,0.5,0.5,0,0,,1,3,4,9,2,0,3,3,19,15.0,N,0,0,kennedy-chandler-1,Kennedy Chandler,2022
