rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,30,1,2021-11-09,North Carolina,,Loyola (MD),REG (Non-Conf),W 83-67,,27,4,7,0.571,3,6,0.5,1,1,1.0,0.786,0,0,,0,1,1,1,1,0,1,2,11,7.9,H,1,1,kerwin-walton-1,Kerwin Walton,2022
2,31,2,2021-11-12,North Carolina,,Brown,REG (Non-Conf),W 94-87,,16,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,0,1,5,3.2,H,1,1,kerwin-walton-1,Kerwin Walton,2022
3,32,3,2021-11-16,North Carolina,@,College of Charleston,REG (Non-Conf),W 94-83,,28,5,8,0.625,4,6,0.667,1,2,0.5,0.875,0,0,,0,3,3,1,1,0,3,3,14,8.8,A,1,1,kerwin-walton-1,Kerwin Walton,2022
4,33,4,2021-11-20,North Carolina,N,Purdue,REG (Non-Conf),L 84-93,*,31,2,9,0.222,2,6,0.333,0,3,0.0,0.333,0,0,,2,0,2,0,0,1,1,2,6,0.8,N,0,1,kerwin-walton-1,Kerwin Walton,2022
5,34,5,2021-11-21,North Carolina,N,Tennessee,REG (Non-Conf),L 72-89,,24,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,0,0,0,1,1,1,1,0,-2.5,N,0,1,kerwin-walton-1,Kerwin Walton,2022
6,35,6,2021-11-23,North Carolina,,UNC Asheville,REG (Non-Conf),W 72-53,,15,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,2,2,2,0,0,2,1,4,2.3,H,1,1,kerwin-walton-1,Kerwin Walton,2022
7,36,7,2021-12-01,North Carolina,,Michigan,REG (Non-Conf),W 72-51,,17,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,2,2,1,0,0,0,1,0,-1.9,H,1,1,kerwin-walton-1,Kerwin Walton,2022
8,37,8,2021-12-05,North Carolina,@,Georgia Tech,REG (Conf),W 79-62,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,A,1,1,kerwin-walton-1,Kerwin Walton,2022
9,38,9,2021-12-11,North Carolina,,Elon,REG (Non-Conf),W 80-63,,10,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,2,2,2,0,0,1,1,0,-0.1,H,1,1,kerwin-walton-1,Kerwin Walton,2022
10,39,10,2021-12-14,North Carolina,,Furman,REG (Non-Conf),W 74-61,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,H,1,1,kerwin-walton-1,Kerwin Walton,2022
