rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,58,1,2021-11-09,Longwood,@,Iowa,REG (Non-Conf),L 73-106,,20,8,9,0.889,0,0,,8,9,0.889,0.889,1,2,0.5,3,1,4,0,0,0,1,2,17,14.1,A,0,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
2,59,2,2021-11-12,Longwood,,VU Lynchburg,REG (Non-Conf),W 80-46,,26,3,5,0.6,0,0,,3,5,0.6,0.6,2,4,0.5,5,5,10,0,0,2,0,1,8,10.9,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
3,60,3,2021-11-14,Longwood,,Mid-Atl Christian,REG (Non-Conf),W 93-47,,18,5,6,0.833,0,0,,5,6,0.833,0.833,4,4,1.0,1,3,4,0,0,1,3,1,14,10.7,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
4,61,4,2021-11-19,Longwood,,American,REG (Non-Conf),W 82-42,,19,7,10,0.7,0,0,,7,10,0.7,0.7,1,1,1.0,3,1,4,0,1,1,2,1,15,12.5,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
5,62,5,2021-11-20,Longwood,,UMBC,REG (Non-Conf),W 82-55,,20,6,7,0.857,0,0,,6,7,0.857,0.857,0,0,,3,1,4,0,0,0,3,2,12,8.1,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
6,63,6,2021-11-21,Longwood,,Western Carolina,REG (Non-Conf),L 53-64,,24,8,11,0.727,0,0,,8,11,0.727,0.727,1,5,0.2,3,3,6,0,2,0,0,1,17,15.5,H,0,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
7,64,7,2021-11-26,Longwood,@,Old Dominion,REG (Non-Conf),L 61-62,,21,3,7,0.429,0,0,,3,7,0.429,0.429,1,2,0.5,2,2,4,1,0,0,1,3,7,3.4,A,0,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
8,65,9,2021-12-04,Longwood,,Delaware State,REG (Non-Conf),W 78-58,,20,3,8,0.375,0,0,,3,8,0.375,0.375,1,3,0.333,3,0,3,0,0,0,1,1,7,2.5,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
9,66,10,2021-12-11,Longwood,,Morgan State,REG (Non-Conf),W 93-55,,19,1,4,0.25,0,0,,1,4,0.25,0.25,5,10,0.5,0,3,3,0,1,0,2,1,7,2.1,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
10,67,11,2021-12-14,Longwood,,Piedmont,REG (Non-Conf),W 98-56,,16,4,6,0.667,0,0,,4,6,0.667,0.667,9,13,0.692,0,4,4,0,2,1,1,1,17,15.3,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
11,68,12,2021-12-22,Longwood,@,Abilene Christian,REG (Non-Conf),L 58-74,,20,3,4,0.75,0,1,0.0,3,3,1.0,0.75,4,10,0.4,1,4,5,1,3,0,5,0,10,6.6,A,0,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
12,69,13,2022-01-05,Longwood,,Pfeiffer,REG (Non-Conf),W 109-69,,16,2,4,0.5,0,0,,2,4,0.5,0.5,2,3,0.667,3,2,5,0,0,2,1,1,6,6.3,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
13,70,14,2022-01-12,Longwood,@,Radford,REG (Conf),W 83-75 (OT),,28,2,7,0.286,0,0,,2,7,0.286,0.286,7,12,0.583,2,2,4,1,1,0,4,2,11,3.8,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
14,71,15,2022-01-15,Longwood,,Gardner-Webb,REG (Conf),W 66-60,,16,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,4,2,6,1,1,2,1,4,2,2.1,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
15,72,16,2022-01-19,Longwood,,Campbell,REG (Conf),W 72-64,,22,5,8,0.625,0,0,,5,8,0.625,0.625,2,2,1.0,1,4,5,1,2,0,1,2,12,11.2,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
16,73,17,2022-01-22,Longwood,@,Presbyterian,REG (Conf),W 71-70,,22,2,5,0.4,0,0,,2,5,0.4,0.4,3,3,1.0,1,0,1,1,1,0,2,5,7,2.7,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
17,74,18,2022-01-24,Longwood,@,Hampton,REG (Conf),W 73-49,,16,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,0,2,2,1,0,0,0,3,3,2.4,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
18,75,19,2022-01-26,Longwood,,North Carolina A&T,REG (Conf),W 79-71,,21,7,13,0.538,0,0,,7,13,0.538,0.538,10,12,0.833,2,3,5,0,1,0,1,1,24,18.8,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
19,76,20,2022-01-29,Longwood,,Winthrop,REG (Conf),W 92-88,,12,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,2,2,4,0,2,2,5,5,2,0.1,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
20,77,21,2022-02-02,Longwood,@,UNC Asheville,REG (Conf),W 56-48,,17,4,6,0.667,0,0,,4,6,0.667,0.667,0,0,,2,0,2,0,1,1,1,2,8,6.7,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
21,78,24,2022-02-12,Longwood,@,North Carolina A&T,REG (Conf),L 62-70,,16,3,7,0.429,0,1,0.0,3,6,0.5,0.429,1,2,0.5,1,2,3,0,1,0,2,2,7,2.4,A,0,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
22,79,25,2022-02-15,Longwood,,High Point,REG (Conf),W 70-66,,20,2,3,0.667,0,0,,2,3,0.667,0.667,1,2,0.5,1,4,5,1,1,1,0,0,5,7.6,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
23,80,26,2022-02-17,Longwood,@,High Point,REG (Conf),W 78-71,,19,2,5,0.4,0,0,,2,5,0.4,0.4,3,3,1.0,1,3,4,0,0,0,0,3,7,4.7,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
24,81,27,2022-02-19,Longwood,,Hampton,REG (Conf),W 76-72,,15,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1.0,2,1,3,0,0,1,0,3,4,3.5,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
25,82,28,2022-02-23,Longwood,,Radford,REG (Conf),W 71-66,,17,2,6,0.333,0,0,,2,6,0.333,0.333,0,1,0.0,1,3,4,1,0,0,1,3,4,0.3,H,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
26,83,29,2022-02-26,Longwood,@,Campbell,REG (Conf),W 60-55,,16,1,3,0.333,0,0,,1,3,0.333,0.333,3,4,0.75,0,4,4,1,0,1,1,1,5,4.1,A,1,1,leslie-nkereuwem-1,Leslie Nkereuwem,2022
