rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,77,1,2021-11-09,St. Mary's (CA),,Prairie View A&M,REG (Non-Conf),W 87-68,*,18,2,4,0.5,0,2,0.0,2,2,1.0,0.5,4,6,0.667,1,3,4,5,1,0,1,4,8,8.7,H,1,1,logan-johnson-2,Logan Johnson,2022
2,78,2,2021-11-12,St. Mary's (CA),,Texas Southern,REG (Non-Conf),W 67-58,*,33,7,15,0.467,0,1,0.0,7,14,0.5,0.467,1,1,1.0,0,4,4,2,2,0,2,4,15,8.3,H,1,1,logan-johnson-2,Logan Johnson,2022
3,79,3,2021-11-15,St. Mary's (CA),,Southern Utah,REG (Non-Conf),W 70-51,*,31,5,17,0.294,1,5,0.2,4,12,0.333,0.324,2,2,1.0,1,5,6,1,3,0,1,1,13,7.6,H,1,1,logan-johnson-2,Logan Johnson,2022
4,80,4,2021-11-17,St. Mary's (CA),,Bellarmine,REG (Non-Conf),W 73-64,*,36,3,8,0.375,0,3,0.0,3,5,0.6,0.375,4,12,0.333,0,2,2,3,4,0,1,4,10,6.5,H,1,1,logan-johnson-2,Logan Johnson,2022
5,81,5,2021-11-22,St. Mary's (CA),N,Notre Dame,REG (Non-Conf),W 62-59,*,27,2,7,0.286,1,2,0.5,1,5,0.2,0.357,1,2,0.5,0,1,1,1,0,0,4,4,6,-3.1,N,1,1,logan-johnson-2,Logan Johnson,2022
6,82,6,2021-11-23,St. Mary's (CA),N,Oregon,REG (Non-Conf),W 62-50,*,39,5,12,0.417,1,3,0.333,4,9,0.444,0.458,0,0,,0,3,3,5,4,0,3,3,11,8.8,N,1,1,logan-johnson-2,Logan Johnson,2022
7,83,7,2021-11-24,St. Mary's (CA),N,Wisconsin,REG (Non-Conf),L 55-61,*,35,6,12,0.5,0,1,0.0,6,11,0.545,0.5,0,0,,2,3,5,1,1,0,3,4,12,5.4,N,0,1,logan-johnson-2,Logan Johnson,2022
8,84,8,2021-11-29,St. Mary's (CA),,UC Riverside,REG (Non-Conf),W 67-50,*,26,4,9,0.444,0,3,0.0,4,6,0.667,0.444,0,0,,0,2,2,3,1,0,2,2,8,4.2,H,1,1,logan-johnson-2,Logan Johnson,2022
9,85,9,2021-12-02,St. Mary's (CA),@,Utah State,REG (Non-Conf),W 60-58,*,28,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,,0,5,5,2,1,0,2,4,7,3.6,A,1,1,logan-johnson-2,Logan Johnson,2022
10,86,10,2021-12-04,St. Mary's (CA),@,Colorado State,REG (Non-Conf),L 58-74,*,28,4,6,0.667,1,2,0.5,3,4,0.75,0.75,0,3,0.0,0,4,4,1,1,0,3,1,9,4.7,A,0,1,logan-johnson-2,Logan Johnson,2022
11,87,11,2021-12-11,St. Mary's (CA),,UC Santa Barbara,REG (Non-Conf),W 80-59,*,25,1,10,0.1,0,1,0.0,1,9,0.111,0.1,0,0,,1,3,4,4,1,0,2,3,2,-2.4,H,1,1,logan-johnson-2,Logan Johnson,2022
12,88,12,2021-12-14,St. Mary's (CA),,Cal St Stanislaus,REG (Non-Conf),W 76-39,*,29,4,9,0.444,0,1,0.0,4,8,0.5,0.444,2,2,1.0,0,3,3,1,5,0,3,1,10,8.5,H,1,1,logan-johnson-2,Logan Johnson,2022
13,89,13,2021-12-17,St. Mary's (CA),N,San Diego State,REG (Non-Conf),L 53-63,*,23,2,6,0.333,0,0,,2,6,0.333,0.333,0,2,0.0,1,6,7,0,0,0,1,4,4,-0.3,N,0,1,logan-johnson-2,Logan Johnson,2022
14,90,14,2021-12-22,St. Mary's (CA),,Missouri State,REG (Non-Conf),W 75-58,*,32,5,11,0.455,1,2,0.5,4,9,0.444,0.5,2,2,1.0,0,4,4,5,1,0,0,2,13,12.2,H,1,1,logan-johnson-2,Logan Johnson,2022
