rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,54,1,2021-11-09,Texas Southern,@,Oregon,REG (Non-Conf),L 66-83,,29,4,9,0.444,1,2,0.5,3,7,0.429,0.5,1,1,1.0,2,2,4,3,1,0,0,3,10,9.2,A,0,1,pj-henry-1,PJ Henry,2022
2,55,2,2021-11-12,Texas Southern,@,St. Mary's (CA),REG (Non-Conf),L 58-67,*,30,5,11,0.455,2,3,0.667,3,8,0.375,0.545,1,2,0.5,0,5,5,5,1,0,2,2,13,10.1,A,0,1,pj-henry-1,PJ Henry,2022
3,56,3,2021-11-15,Texas Southern,@,Washington,REG (Non-Conf),L 65-72,*,33,5,15,0.333,0,3,0.0,5,12,0.417,0.333,0,0,,2,2,4,3,0,0,1,5,10,2.6,A,0,1,pj-henry-1,PJ Henry,2022
4,57,4,2021-11-17,Texas Southern,@,Air Force,REG (Non-Conf),L 57-61,*,27,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,3,3,0,1,0,2,1,2,-0.2,A,0,1,pj-henry-1,PJ Henry,2022
5,58,5,2021-11-21,Texas Southern,@,NC State,REG (Non-Conf),L 57-65,*,34,5,9,0.556,2,2,1.0,3,7,0.429,0.667,0,3,0.0,0,2,2,1,1,0,3,5,12,3.8,A,0,1,pj-henry-1,PJ Henry,2022
6,59,6,2021-11-24,Texas Southern,@,Brigham Young,REG (Non-Conf),L 64-81,*,34,8,16,0.5,3,7,0.429,5,9,0.556,0.594,2,3,0.667,1,3,4,2,0,0,1,2,21,13.8,A,0,1,pj-henry-1,PJ Henry,2022
7,60,7,2021-12-01,Texas Southern,@,Louisiana Tech,REG (Non-Conf),L 60-87,*,26,0,4,0.0,0,1,0.0,0,3,0.0,0.0,1,2,0.5,0,5,5,1,0,0,4,2,1,-4.8,A,0,1,pj-henry-1,PJ Henry,2022
8,61,8,2021-12-06,Texas Southern,@,Florida,REG (Non-Conf),W 69-54,,27,7,14,0.5,2,4,0.5,5,10,0.5,0.571,0,1,0.0,1,1,2,3,0,0,4,3,16,6.5,A,1,1,pj-henry-1,PJ Henry,2022
9,62,10,2022-01-03,Texas Southern,@,Southern,REG (Conf),L 50-63,,30,4,9,0.444,2,6,0.333,2,3,0.667,0.556,1,2,0.5,0,0,0,3,3,0,4,3,11,5.8,A,0,1,pj-henry-1,PJ Henry,2022
10,63,11,2022-01-05,Texas Southern,@,Grambling State,REG (Conf),W 67-61,*,22,5,9,0.556,2,3,0.667,3,6,0.5,0.667,4,4,1.0,0,1,1,1,0,0,1,3,16,10.5,A,1,1,pj-henry-1,PJ Henry,2022
