rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,85,1,2021-11-09,North Carolina,,Loyola (MD),REG (Non-Conf),W 83-67,*,21,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,3,4,4,0,0,1,0,2,4.4,H,1,1,rechon-black-1,Leaky Black,2022
2,86,2,2021-11-12,North Carolina,,Brown,REG (Non-Conf),W 94-87,*,19,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,4,0.75,1,3,4,3,0,1,1,3,7,6.8,H,1,1,rechon-black-1,Leaky Black,2022
3,87,3,2021-11-16,North Carolina,@,College of Charleston,REG (Non-Conf),W 94-83,*,33,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,4,4,3,0,2,2,1,4,4.3,A,1,1,rechon-black-1,Leaky Black,2022
4,88,5,2021-11-21,North Carolina,N,Tennessee,REG (Non-Conf),L 72-89,*,19,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,2,2,1,2,0,0,3,2,2.4,N,0,1,rechon-black-1,Leaky Black,2022
5,89,6,2021-11-23,North Carolina,,UNC Asheville,REG (Non-Conf),W 72-53,*,24,2,5,0.4,0,0,,2,5,0.4,0.4,5,6,0.833,4,7,11,0,0,0,1,2,9,9.0,H,1,1,rechon-black-1,Leaky Black,2022
6,90,7,2021-12-01,North Carolina,,Michigan,REG (Non-Conf),W 72-51,*,33,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,1,1.0,2,3,5,3,1,1,0,0,5,9.1,H,1,1,rechon-black-1,Leaky Black,2022
7,91,8,2021-12-05,North Carolina,@,Georgia Tech,REG (Conf),W 79-62,*,28,2,2,1.0,0,0,,2,2,1.0,1.0,1,1,1.0,0,2,2,1,1,0,1,2,5,4.9,A,1,1,rechon-black-1,Leaky Black,2022
8,92,9,2021-12-11,North Carolina,,Elon,REG (Non-Conf),W 80-63,*,26,0,0,,0,0,,0,0,,,2,2,1.0,3,5,8,3,1,1,2,1,2,7.0,H,1,1,rechon-black-1,Leaky Black,2022
9,93,10,2021-12-14,North Carolina,,Furman,REG (Non-Conf),W 74-61,*,31,4,5,0.8,1,1,1.0,3,4,0.75,0.9,0,0,,0,5,5,1,1,0,0,1,9,9.9,H,1,1,rechon-black-1,Leaky Black,2022
10,94,11,2021-12-18,North Carolina,N,Kentucky,REG (Non-Conf),L 69-98,*,27,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,1,1,1,0,0,0,0,2,0.6,N,0,1,rechon-black-1,Leaky Black,2022
