rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,109,1,2021-11-09,Houston,,Hofstra,REG (Non-Conf),W 83-75 (OT),*,35,4,5,0.8,4,4,1.0,0,1,0.0,1.2,0,0,,1,2,3,3,1,0,1,2,12,12.7,H,1,1,taze-moore-1,Taze Moore,2022
2,110,2,2021-11-12,Houston,,Rice,REG (Non-Conf),W 79-46,*,24,1,6,0.167,0,4,0.0,1,2,0.5,0.167,0,0,,1,6,7,1,2,0,0,4,2,1.8,H,1,1,taze-moore-1,Taze Moore,2022
3,111,3,2021-11-16,Houston,,Virginia,REG (Non-Conf),W 67-47,*,33,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,2,3,5,3,2,0,3,4,5,2.7,H,1,1,taze-moore-1,Taze Moore,2022
4,112,4,2021-11-22,Houston,N,Butler,REG (Non-Conf),W 70-52,*,26,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,2,2,4,1,2,1,1,1,7,8.0,N,1,1,taze-moore-1,Taze Moore,2022
5,113,5,2021-11-23,Houston,N,Wisconsin,REG (Non-Conf),L 63-65,*,16,0,6,0.0,0,4,0.0,0,2,0.0,0.0,0,0,,1,2,3,0,0,1,1,1,0,-3.6,N,0,1,taze-moore-1,Taze Moore,2022
6,114,6,2021-11-24,Houston,N,Oregon,REG (Non-Conf),W 78-49,,14,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,2,3,0,1,0,0,1,2,3.6,N,1,1,taze-moore-1,Taze Moore,2022
7,115,7,2021-11-30,Houston,,Northwestern State,REG (Non-Conf),W 99-58,,24,8,13,0.615,1,4,0.25,7,9,0.778,0.654,0,0,,3,2,5,2,1,3,2,4,17,14.7,H,1,1,taze-moore-1,Taze Moore,2022
8,116,8,2021-12-03,Houston,,Bryant,REG (Non-Conf),W 111-44,,22,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,2,1.0,1,4,5,4,3,2,0,0,7,14.1,H,1,1,taze-moore-1,Taze Moore,2022
9,117,9,2021-12-06,Houston,,Alcorn State,REG (Non-Conf),W 77-45,,11,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,2,2,1,0,0,1,0,2,0.6,H,1,1,taze-moore-1,Taze Moore,2022
10,118,10,2021-12-11,Houston,@,Alabama,REG (Non-Conf),L 82-83,,12,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,0,0,2,2,1,0,3,3,4.9,A,0,1,taze-moore-1,Taze Moore,2022
11,119,11,2021-12-14,Houston,,Louisiana,REG (Non-Conf),W 71-56,*,36,5,12,0.417,1,5,0.2,4,7,0.571,0.458,3,5,0.6,6,4,10,4,2,0,0,1,14,16.6,H,1,1,taze-moore-1,Taze Moore,2022
12,120,15,2022-01-02,Houston,@,Temple,REG (Conf),W 66-61,*,38,4,13,0.308,0,4,0.0,4,9,0.444,0.308,2,3,0.667,2,2,4,1,2,2,1,1,10,6.8,A,1,1,taze-moore-1,Taze Moore,2022
13,121,16,2022-01-05,Houston,@,South Florida,REG (Conf),W 83-66,*,36,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,1,5,6,5,1,1,0,2,5,10.3,A,1,1,taze-moore-1,Taze Moore,2022
