rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,88,1,2021-11-09,Longwood,@,Iowa,REG (Non-Conf),L 73-106,*,15,1,2,0.5,0,0,1,2,0.5,0.5,2,2,1.0,0,1,1,0,0,0,1,4,4,0.7,A,0,1,zac-watson-1,Zac Watson,2022
2,89,2,2021-11-12,Longwood,,VU Lynchburg,REG (Non-Conf),W 80-46,*,9,2,2,1.0,0,0,2,2,1.0,1.0,2,2,1.0,1,0,1,0,1,0,0,2,6,6.3,H,1,1,zac-watson-1,Zac Watson,2022
3,90,3,2021-11-14,Longwood,,Mid-Atl Christian,REG (Non-Conf),W 93-47,*,15,7,8,0.875,0,0,7,8,0.875,0.875,0,0,,2,5,7,1,1,0,2,1,14,13.4,H,1,1,zac-watson-1,Zac Watson,2022
4,91,4,2021-11-19,Longwood,,American,REG (Non-Conf),W 82-42,*,17,2,4,0.5,0,0,2,4,0.5,0.5,0,0,,1,2,3,0,2,1,0,1,4,5.6,H,1,1,zac-watson-1,Zac Watson,2022
5,92,5,2021-11-20,Longwood,,UMBC,REG (Non-Conf),W 82-55,*,17,1,6,0.167,0,0,1,6,0.167,0.167,1,2,0.5,2,3,5,2,0,0,1,1,3,1.1,H,1,1,zac-watson-1,Zac Watson,2022
6,93,6,2021-11-21,Longwood,,Western Carolina,REG (Non-Conf),L 53-64,*,15,2,5,0.4,0,0,2,5,0.4,0.4,5,6,0.833,3,0,3,0,0,0,1,1,9,6.6,H,0,1,zac-watson-1,Zac Watson,2022
7,94,7,2021-11-26,Longwood,@,Old Dominion,REG (Non-Conf),L 61-62,*,19,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,1,1,1,0,1,3,5,2,-2.3,A,0,1,zac-watson-1,Zac Watson,2022
8,95,8,2021-11-30,Longwood,@,Georgetown,REG (Non-Conf),L 83-91,*,24,5,7,0.714,0,0,5,7,0.714,0.714,2,3,0.667,3,4,7,1,0,1,2,3,12,10.2,A,0,1,zac-watson-1,Zac Watson,2022
9,96,9,2021-12-04,Longwood,,Delaware State,REG (Non-Conf),W 78-58,*,19,4,6,0.667,0,0,4,6,0.667,0.667,0,0,,1,2,3,0,2,1,1,2,8,7.6,H,1,1,zac-watson-1,Zac Watson,2022
10,97,10,2021-12-11,Longwood,,Morgan State,REG (Non-Conf),W 93-55,*,18,2,6,0.333,0,0,2,6,0.333,0.333,2,3,0.667,1,4,5,1,1,0,0,1,6,5.4,H,1,1,zac-watson-1,Zac Watson,2022
11,98,11,2021-12-14,Longwood,,Piedmont,REG (Non-Conf),W 98-56,*,17,3,5,0.6,0,0,3,5,0.6,0.6,2,2,1.0,3,1,4,1,1,1,1,0,8,9.5,H,1,1,zac-watson-1,Zac Watson,2022
12,99,12,2021-12-22,Longwood,@,Abilene Christian,REG (Non-Conf),L 58-74,*,19,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,0,0,1,0,0,2,3,2,-1.5,A,0,1,zac-watson-1,Zac Watson,2022
13,100,13,2022-01-05,Longwood,,Pfeiffer,REG (Non-Conf),W 109-69,*,18,7,10,0.7,0,0,7,10,0.7,0.7,2,2,1.0,0,5,5,0,0,1,2,1,16,11.6,H,1,1,zac-watson-1,Zac Watson,2022
14,101,14,2022-01-12,Longwood,@,Radford,REG (Conf),W 83-75 (OT),*,17,4,4,1.0,0,0,4,4,1.0,1.0,1,2,0.5,1,1,2,0,0,0,2,2,9,5.6,A,1,1,zac-watson-1,Zac Watson,2022
15,102,15,2022-01-15,Longwood,,Gardner-Webb,REG (Conf),W 66-60,*,21,4,6,0.667,0,0,4,6,0.667,0.667,1,2,0.5,2,0,2,2,0,0,0,2,9,8.0,H,1,1,zac-watson-1,Zac Watson,2022
16,103,16,2022-01-19,Longwood,,Campbell,REG (Conf),W 72-64,*,18,2,2,1.0,0,0,2,2,1.0,1.0,0,2,0.0,1,1,2,1,1,0,2,1,4,2.9,H,1,1,zac-watson-1,Zac Watson,2022
17,104,17,2022-01-22,Longwood,@,Presbyterian,REG (Conf),W 71-70,*,18,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,2,2,0,0,1,3,4,4,0.1,A,1,1,zac-watson-1,Zac Watson,2022
18,105,18,2022-01-24,Longwood,@,Hampton,REG (Conf),W 73-49,*,17,1,3,0.333,0,0,1,3,0.333,0.333,4,4,1.0,2,3,5,0,1,1,1,1,6,6.9,A,1,1,zac-watson-1,Zac Watson,2022
19,106,19,2022-01-26,Longwood,,North Carolina A&T,REG (Conf),W 79-71,*,19,2,3,0.667,0,0,2,3,0.667,0.667,1,2,0.5,0,2,2,0,0,1,0,1,5,4.2,H,1,1,zac-watson-1,Zac Watson,2022
20,107,20,2022-01-29,Longwood,,Winthrop,REG (Conf),W 92-88,*,25,4,6,0.667,0,0,4,6,0.667,0.667,4,4,1.0,1,1,2,1,0,1,2,4,12,8.2,H,1,1,zac-watson-1,Zac Watson,2022
21,108,21,2022-02-02,Longwood,@,UNC Asheville,REG (Conf),W 56-48,*,21,4,7,0.571,0,0,4,7,0.571,0.571,4,4,1.0,3,3,6,1,0,0,0,2,12,11.6,A,1,1,zac-watson-1,Zac Watson,2022
22,109,22,2022-02-05,Longwood,@,Charleston Southern,REG (Conf),W 69-67,*,28,3,5,0.6,0,0,3,5,0.6,0.6,4,5,0.8,2,4,6,1,1,1,1,0,10,11.3,A,1,1,zac-watson-1,Zac Watson,2022
23,110,23,2022-02-10,Longwood,,USC Upstate,REG (Conf),W 85-72,*,28,6,7,0.857,0,0,6,7,0.857,0.857,4,5,0.8,2,4,6,0,0,1,2,1,16,14.0,H,1,1,zac-watson-1,Zac Watson,2022
24,111,24,2022-02-12,Longwood,@,North Carolina A&T,REG (Conf),L 62-70,*,24,1,3,0.333,0,0,1,3,0.333,0.333,5,7,0.714,1,4,5,1,2,0,2,4,7,5.5,A,0,1,zac-watson-1,Zac Watson,2022
25,112,25,2022-02-15,Longwood,,High Point,REG (Conf),W 70-66,*,20,3,6,0.5,0,0,3,6,0.5,0.5,4,4,1.0,3,2,5,1,1,0,0,2,10,10.6,H,1,1,zac-watson-1,Zac Watson,2022
26,113,26,2022-02-17,Longwood,@,High Point,REG (Conf),W 78-71,*,20,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,1,2,3,0,0,1,2,3,2,-0.2,A,1,1,zac-watson-1,Zac Watson,2022
27,114,27,2022-02-19,Longwood,,Hampton,REG (Conf),W 76-72,*,24,1,9,0.111,0,0,1,9,0.111,0.111,6,6,1.0,3,3,6,2,1,1,2,0,8,6.2,H,1,1,zac-watson-1,Zac Watson,2022
28,115,28,2022-02-23,Longwood,,Radford,REG (Conf),W 71-66,*,23,2,2,1.0,0,0,2,2,1.0,1.0,4,4,1.0,1,1,2,3,1,1,1,1,8,10.8,H,1,1,zac-watson-1,Zac Watson,2022
29,116,29,2022-02-26,Longwood,@,Campbell,REG (Conf),W 60-55,*,24,2,7,0.286,0,0,2,7,0.286,0.286,0,0,,2,0,2,2,0,0,1,0,4,1.7,A,1,1,zac-watson-1,Zac Watson,2022
30,117,30,2022-03-04,Longwood,N,North Carolina A&T,CTOURN,W 79-65 (OT),*,26,4,5,0.8,0,0,4,5,0.8,0.8,4,8,0.5,3,4,7,0,1,1,1,2,12,11.7,N,1,0,zac-watson-1,Zac Watson,2022
31,118,31,2022-03-05,Longwood,N,USC Upstate,CTOURN,W 79-70,*,22,3,7,0.429,0,0,3,7,0.429,0.429,4,4,1.0,3,4,7,1,0,0,1,3,10,8.1,N,1,0,zac-watson-1,Zac Watson,2022
32,119,32,2022-03-06,Longwood,N,Winthrop,CTOURN,W 79-58,*,22,2,4,0.5,0,0,2,4,0.5,0.5,2,2,1.0,1,0,1,0,1,0,0,4,6,4.1,N,1,0,zac-watson-1,Zac Watson,2022
33,120,33,2022-03-17,Longwood,N,Tennessee,ROUND-64,L 56-88,*,21,3,9,0.333,0,0,3,9,0.333,0.333,1,1,1.0,2,1,3,2,1,1,2,0,7,4.7,N,0,0,zac-watson-1,Zac Watson,2022
