rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,51,1,2022-11-07,Iona,,Pennsylvania,REG (Non-Conf),W 78-50,*,34,8,16,0.5,1,2,0.5,7,14,0.5,0.531,2,2,1.0,2,4,6,5,3,0,2,2,19,17.3,H,1,1,daniss-jenkins-1,Daniss Jenkins,2023
2,52,2,2022-11-11,Iona,@,Hofstra,REG (Non-Conf),L 78-83,*,38,6,13,0.462,1,4,0.25,5,9,0.556,0.5,0,0,,1,1,2,3,0,0,2,3,13,6.2,A,0,1,daniss-jenkins-1,Daniss Jenkins,2023
3,53,3,2022-11-18,Iona,N,Vermont,REG (Non-Conf),W 71-50,*,39,8,18,0.444,2,4,0.5,6,14,0.429,0.5,2,3,0.667,2,6,8,3,1,0,2,1,20,14.1,N,1,1,daniss-jenkins-1,Daniss Jenkins,2023
4,54,4,2022-11-27,Iona,N,Santa Clara,REG (Non-Conf),L 76-86,*,37,8,18,0.444,0,4,0.0,8,14,0.571,0.444,0,2,0.0,0,1,1,4,1,0,5,4,16,3.3,N,0,1,daniss-jenkins-1,Daniss Jenkins,2023
5,55,5,2022-12-02,Iona,,Niagara,REG (Conf),W 78-56,*,33,12,18,0.667,3,3,1.0,9,15,0.6,0.75,4,4,1.0,0,4,4,5,3,3,0,0,31,33.0,H,1,1,daniss-jenkins-1,Daniss Jenkins,2023
6,56,6,2022-12-04,Iona,,Canisius,REG (Conf),W 90-60,*,30,4,8,0.5,1,1,1.0,3,7,0.429,0.563,1,2,0.5,1,2,3,9,1,2,1,1,10,14.2,H,1,1,daniss-jenkins-1,Daniss Jenkins,2023
7,57,7,2022-12-06,Iona,,Saint Louis,REG (Non-Conf),W 84-62,*,35,7,16,0.438,2,5,0.4,5,11,0.455,0.5,5,5,1.0,1,3,4,5,3,2,2,1,21,19.7,H,1,1,daniss-jenkins-1,Daniss Jenkins,2023
8,58,8,2022-12-11,Iona,N,St. Bonaventure,REG (Non-Conf),W 72-57,*,29,4,13,0.308,2,6,0.333,2,7,0.286,0.385,1,2,0.5,1,3,4,7,0,1,5,2,11,4.5,N,1,1,daniss-jenkins-1,Daniss Jenkins,2023
9,59,9,2022-12-13,Iona,N,Princeton,REG (Non-Conf),W 70-64,*,37,7,16,0.438,2,5,0.4,5,11,0.455,0.5,4,6,0.667,0,3,3,3,0,1,2,2,20,11.7,N,1,1,daniss-jenkins-1,Daniss Jenkins,2023
10,60,10,2022-12-18,Iona,@,New Mexico,REG (Non-Conf),L 74-82,*,27,2,13,0.154,0,6,0.0,2,7,0.286,0.154,1,2,0.5,1,2,3,2,0,0,1,3,5,-3.2,A,0,1,daniss-jenkins-1,Daniss Jenkins,2023
