rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,116,1,2022-11-07,Memphis,@,Vanderbilt,REG (Non-Conf),W 76-67,,23,3,6,0.5,1,4,0.25,2,2,1.0,0.583,1,1,1.0,0,1,1,0,0,0,0,3,8,4.1,A,1,1,elijah-mccadden-1,Elijah McCadden,2023
2,117,2,2022-11-15,Memphis,@,Saint Louis,REG (Non-Conf),L 84-90,,21,2,4,0.5,1,3,0.333,1,1,1.0,0.625,1,2,0.5,1,5,6,2,0,1,0,1,6,7.5,A,0,1,elijah-mccadden-1,Elijah McCadden,2023
3,118,3,2022-11-20,Memphis,,VCU,REG (Non-Conf),W 62-47,,18,1,4,0.25,1,1,1.0,0,3,0.0,0.375,1,2,0.5,0,2,2,0,0,0,3,0,4,-1.2,H,1,1,elijah-mccadden-1,Elijah McCadden,2023
4,119,4,2022-11-24,Memphis,N,Seton Hall,REG (Non-Conf),L 69-70,,20,1,1,1.0,0,0,,1,1,1.0,1.0,0,2,0.0,0,1,1,1,2,0,1,2,2,2.1,N,0,1,elijah-mccadden-1,Elijah McCadden,2023
5,120,5,2022-11-25,Memphis,N,Nebraska,REG (Non-Conf),W 73-61,,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,0,0,1,0,2,1.0,N,1,1,elijah-mccadden-1,Elijah McCadden,2023
6,121,6,2022-11-27,Memphis,N,Stanford,REG (Non-Conf),W 56-48,,13,0,4,0.0,0,0,,0,4,0.0,0.0,0,0,,1,1,2,1,0,0,0,0,0,-1.1,N,1,1,elijah-mccadden-1,Elijah McCadden,2023
7,122,7,2022-11-30,Memphis,,North Alabama,REG (Non-Conf),W 87-68,,20,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,1,1,2,2,0,0,0,2,8,6.3,H,1,1,elijah-mccadden-1,Elijah McCadden,2023
8,123,8,2022-12-03,Memphis,,Ole Miss,REG (Non-Conf),W 68-57,,8,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,H,1,1,elijah-mccadden-1,Elijah McCadden,2023
9,124,9,2022-12-06,Memphis,,Little Rock,REG (Non-Conf),W 87-71,,16,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,1,0.0,1,2,3,2,0,0,3,1,5,2.6,H,1,1,elijah-mccadden-1,Elijah McCadden,2023
10,125,10,2022-12-10,Memphis,N,Auburn,REG (Non-Conf),W 82-73,,21,2,3,0.667,0,0,,2,3,0.667,0.667,0,2,0.0,4,2,6,1,1,0,1,2,4,5.2,N,1,1,elijah-mccadden-1,Elijah McCadden,2023
11,126,11,2022-12-13,Memphis,@,Alabama,REG (Non-Conf),L 88-91,,21,3,4,0.75,0,1,0.0,3,3,1.0,0.75,2,2,1.0,0,0,0,0,1,0,1,5,8,4.4,A,0,1,elijah-mccadden-1,Elijah McCadden,2023
12,127,12,2022-12-17,Memphis,,Texas A&M,REG (Non-Conf),W 83-79,,13,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,1,2,3,2,0,0,2,0,6,5.1,H,1,1,elijah-mccadden-1,Elijah McCadden,2023
