rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,126,1,2022-11-07,West Virginia,,Mount St. Mary's,REG (Non-Conf),W 76-58,*,18,4,6,0.667,1,3,0.333,3,3,1.0,0.75,1,2,0.5,0,3,3,2,2,0,2,4,10,7.7,H,1,1,erik-stevenson-1,Erik Stevenson,2023
2,127,2,2022-11-11,West Virginia,@,Pittsburgh,REG (Non-Conf),W 81-56,*,26,7,12,0.583,2,5,0.4,5,7,0.714,0.667,0,0,,0,1,1,1,0,0,3,2,16,7.6,A,1,1,erik-stevenson-1,Erik Stevenson,2023
3,128,3,2022-11-15,West Virginia,,Morehead State,REG (Non-Conf),W 75-57,*,22,3,10,0.3,1,3,0.333,2,7,0.286,0.35,2,2,1.0,0,1,1,3,1,0,2,1,9,4.2,H,1,1,erik-stevenson-1,Erik Stevenson,2023
4,129,4,2022-11-18,West Virginia,,Pennsylvania,REG (Non-Conf),W 92-58,*,16,8,9,0.889,4,4,1.0,4,5,0.8,1.111,1,2,0.5,0,0,0,0,1,0,1,1,21,17.1,H,1,1,erik-stevenson-1,Erik Stevenson,2023
5,130,5,2022-11-24,West Virginia,N,Purdue,REG (Non-Conf),L 68-80,*,24,6,16,0.375,1,6,0.167,5,10,0.5,0.406,4,6,0.667,1,2,3,1,0,0,2,3,17,6.2,N,0,1,erik-stevenson-1,Erik Stevenson,2023
6,131,6,2022-11-25,West Virginia,N,Portland State,REG (Non-Conf),W 89-71,*,20,3,6,0.5,2,4,0.5,1,2,0.5,0.667,3,4,0.75,0,2,2,4,2,1,3,3,11,9.5,N,1,1,erik-stevenson-1,Erik Stevenson,2023
7,132,7,2022-11-27,West Virginia,N,Florida,REG (Non-Conf),W 84-55,*,21,6,8,0.75,3,4,0.75,3,4,0.75,0.938,0,0,,0,7,7,1,2,1,3,2,15,13.5,N,1,1,erik-stevenson-1,Erik Stevenson,2023
8,133,8,2022-12-03,West Virginia,@,Xavier,REG (Non-Conf),L 74-84,*,29,5,13,0.385,3,7,0.429,2,6,0.333,0.5,3,4,0.75,0,3,3,2,2,1,3,3,16,9.3,A,0,1,erik-stevenson-1,Erik Stevenson,2023
9,134,9,2022-12-07,West Virginia,,Navy,REG (Non-Conf),W 85-64,*,27,5,9,0.556,3,7,0.429,2,2,1.0,0.722,0,0,,1,6,7,5,1,0,1,4,13,13.1,H,1,1,erik-stevenson-1,Erik Stevenson,2023
10,135,10,2022-12-10,West Virginia,,UAB,REG (Non-Conf),W 81-70,*,16,1,4,0.25,0,3,0.0,1,1,1.0,0.25,6,7,0.857,1,0,1,3,2,0,1,4,8,7.4,H,1,1,erik-stevenson-1,Erik Stevenson,2023
11,136,11,2022-12-18,West Virginia,,Buffalo,REG (Non-Conf),W 96-78,*,29,8,13,0.615,5,8,0.625,3,5,0.6,0.808,1,2,0.5,0,4,4,4,0,0,1,1,22,18.3,H,1,1,erik-stevenson-1,Erik Stevenson,2023
