rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,55,1,2022-11-07,Florida Atlantic,,Lynn,REG (Non-Conf),W 81-46,,21,2,3,0.667,0,0,2,3,0.667,0.667,4,4,1.0,6,4,10,1,1,0,1,1,8,12.4,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
2,56,2,2022-11-11,Florida Atlantic,@,Ole Miss,REG (Non-Conf),L 67-80,,20,1,5,0.2,0,0,1,5,0.2,0.2,1,2,0.5,3,0,3,4,0,0,0,1,3,4.0,A,0,1,giancarlo-rosado-1,Giancarlo Rosado,2023
3,57,3,2022-11-14,Florida Atlantic,@,Florida,REG (Non-Conf),W 76-74,,21,2,6,0.333,0,0,2,6,0.333,0.333,0,0,,2,3,5,2,0,0,1,0,4,3.3,A,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
4,58,4,2022-11-17,Florida Atlantic,,Bryant,REG (Non-Conf),W 85-74,,15,2,2,1.0,0,0,2,2,1.0,1.0,4,7,0.571,1,3,4,0,0,0,1,2,8,6.0,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
5,59,5,2022-11-19,Florida Atlantic,,Detroit Mercy,REG (Non-Conf),W 76-55,,13,2,4,0.5,0,0,2,4,0.5,0.5,1,2,0.5,1,2,3,0,2,0,3,4,5,1.3,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
6,60,6,2022-11-26,Florida Atlantic,@,Albany (NY),REG (Non-Conf),W 73-56,,12,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,3,4,7,1,1,0,3,3,2,1.1,A,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
7,61,7,2022-11-30,Florida Atlantic,,South Alabama,REG (Non-Conf),W 84-59,,18,4,7,0.571,0,0,4,7,0.571,0.571,0,0,,2,1,3,3,1,0,0,2,8,8.7,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
8,62,8,2022-12-04,Florida Atlantic,@,Eastern Michigan,REG (Non-Conf),W 101-73,,15,3,4,0.75,0,0,3,4,0.75,0.75,0,1,0.0,0,1,1,2,1,0,3,4,6,2.1,A,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
9,63,9,2022-12-07,Florida Atlantic,,Florida Gulf Coast,REG (Non-Conf),W 85-53,,15,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,1,4,5,2,0,1,0,2,6,6.9,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
10,64,10,2022-12-14,Florida Atlantic,,St. Thomas (FL),REG (Non-Conf),W 97-74,,22,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,1,2,3,7,1,1,2,2,4,7.8,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
11,65,11,2022-12-17,Florida Atlantic,,Florida International,REG (Conf),W 79-53,,17,2,2,1.0,0,0,2,2,1.0,1.0,4,4,1.0,2,2,4,1,1,1,1,0,8,10.8,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
12,66,12,2022-12-21,Florida Atlantic,,Northern Kentucky,REG (Non-Conf),W 67-52,,16,2,2,1.0,0,0,2,2,1.0,1.0,1,1,1.0,2,2,4,3,0,0,3,1,5,5.1,H,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
13,67,13,2022-12-29,Florida Atlantic,@,North Texas,REG (Conf),W 50-46,,14,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,2,0,2,0,0,0,1,3,4,1.9,A,1,1,giancarlo-rosado-1,Giancarlo Rosado,2023
