rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2022-11-07,Michigan State,,Northern Arizona,REG (Non-Conf),W 73-55,,16,3,5,0.6,0,1,0.0,3,4,0.75,0.6,0,0,,2,7,9,1,0,1,2,1,6,6.2,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
2,2,2,2022-11-11,Michigan State,N,Gonzaga,REG (Non-Conf),L 63-64,,11,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,1,2,0,-1.5,N,0,1,jaxon-kohler-1,Jaxon Kohler,2023
3,3,3,2022-11-15,Michigan State,N,Kentucky,REG (Non-Conf),W 86-77 (2OT),,9,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,2,3,0,0,1,0,1,0,0.9,N,1,1,jaxon-kohler-1,Jaxon Kohler,2023
4,4,4,2022-11-18,Michigan State,,Villanova,REG (Non-Conf),W 73-71,,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,1,0,0,0,0,0.3,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
5,5,5,2022-11-24,Michigan State,N,Alabama,REG (Non-Conf),L 70-81,,19,3,8,0.375,0,0,,3,8,0.375,0.375,0,2,0.0,4,3,7,1,0,1,0,3,6,4.7,N,0,1,jaxon-kohler-1,Jaxon Kohler,2023
6,6,6,2022-11-26,Michigan State,N,Oregon,REG (Non-Conf),W 74-70,,16,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,1,2,3,1,0,0,0,1,6,4.6,N,1,1,jaxon-kohler-1,Jaxon Kohler,2023
7,7,7,2022-11-27,Michigan State,@,Portland,REG (Non-Conf),W 78-77,,11,0,4,0.0,0,0,,0,4,0.0,0.0,0,0,,1,1,2,0,0,1,0,2,0,-1.9,A,1,1,jaxon-kohler-1,Jaxon Kohler,2023
8,8,8,2022-11-30,Michigan State,@,Notre Dame,REG (Non-Conf),L 52-70,,7,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,1,1,2,-0.1,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
9,9,9,2022-12-04,Michigan State,,Northwestern,REG (Conf),L 63-70,,13,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,2,2,4,0,0,0,1,1,4,3.3,H,0,1,jaxon-kohler-1,Jaxon Kohler,2023
10,10,10,2022-12-07,Michigan State,@,Penn State,REG (Conf),W 67-58,,12,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,0,0,0,1,0,1,0,1,6,4.0,A,1,1,jaxon-kohler-1,Jaxon Kohler,2023
11,11,11,2022-12-10,Michigan State,,Brown,REG (Non-Conf),W 68-50,,16,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,2,5,7,1,0,2,1,1,2,3.2,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
12,12,12,2022-12-21,Michigan State,,Oakland,REG (Non-Conf),W 67-54,,14,2,5,0.4,0,0,,2,5,0.4,0.4,0,2,0.0,2,3,5,0,0,1,1,2,4,1.7,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
13,13,13,2022-12-30,Michigan State,,Buffalo,REG (Non-Conf),W 89-68,,11,3,5,0.6,0,0,,3,5,0.6,0.6,1,1,1.0,2,2,4,0,0,1,1,4,7,4.8,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
14,14,14,2023-01-03,Michigan State,,Nebraska,REG (Conf),W 74-56,,14,5,5,1.0,0,0,,5,5,1.0,1.0,0,1,0.0,1,2,3,1,1,0,1,2,10,9.3,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
15,15,15,2023-01-07,Michigan State,,Michigan,REG (Conf),W 59-53,,10,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,1,0,2,0,0.5,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
16,16,16,2023-01-10,Michigan State,@,Wisconsin,REG (Conf),W 69-65,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,jaxon-kohler-1,Jaxon Kohler,2023
17,17,17,2023-01-13,Michigan State,@,Illinois,REG (Conf),L 66-75,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
18,18,18,2023-01-16,Michigan State,,Purdue,REG (Conf),L 63-64,,7,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,1,1,2,0.3,H,0,1,jaxon-kohler-1,Jaxon Kohler,2023
19,19,19,2023-01-19,Michigan State,,Rutgers,REG (Conf),W 70-57,,23,6,9,0.667,0,1,0.0,6,8,0.75,0.667,0,0,,2,9,11,1,0,3,1,1,12,13.6,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
20,20,20,2023-01-22,Michigan State,@,Indiana,REG (Conf),L 69-82,,18,4,8,0.5,0,0,,4,8,0.5,0.5,1,2,0.5,3,3,6,0,0,0,0,4,9,6.0,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
21,21,21,2023-01-26,Michigan State,,Iowa,REG (Conf),W 63-61,,7,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,1,0,0,2,0,-0.5,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
22,22,22,2023-01-29,Michigan State,@,Purdue,REG (Conf),L 61-77,,9,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,0,1,0,0.9,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
23,23,23,2023-02-04,Michigan State,@,Rutgers,REG (Conf),L 55-61,,15,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,3,3,1,0,0,0,2,2,1.1,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
24,24,24,2023-02-07,Michigan State,,Maryland,REG (Conf),W 63-58,,10,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,2,2,0,0,0,1,1,0,-2.2,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
25,25,25,2023-02-12,Michigan State,@,Ohio State,REG (Conf),W 62-41,,13,3,3,1.0,0,0,,3,3,1.0,1.0,0,0,,0,1,1,0,0,0,2,1,6,3.0,A,1,1,jaxon-kohler-1,Jaxon Kohler,2023
26,26,27,2023-02-18,Michigan State,@,Michigan,REG (Conf),L 72-84,,8,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,3,3,0,0,1,0,1,4,4.6,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
27,27,28,2023-02-21,Michigan State,,Indiana,REG (Conf),W 80-65,,19,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,5,2,7,1,0,1,2,2,4,4.7,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
28,28,29,2023-02-25,Michigan State,@,Iowa,REG (Conf),L 106-112 (OT),,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,0,0,0,1,1,2,0.6,A,0,1,jaxon-kohler-1,Jaxon Kohler,2023
29,29,30,2023-02-28,Michigan State,@,Nebraska,REG (Conf),W 80-67,,15,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,2,2,4,0,1,2,0,1,4,7.4,A,1,1,jaxon-kohler-1,Jaxon Kohler,2023
30,30,31,2023-03-04,Michigan State,,Ohio State,REG (Conf),W 84-78,,7,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,0,0,0,2,1,0,-2.4,H,1,1,jaxon-kohler-1,Jaxon Kohler,2023
31,31,32,2023-03-10,Michigan State,N,Ohio State,CTOURN,L 58-68,,6,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,0,1,0,0,0,1,2,0,-2.5,N,0,0,jaxon-kohler-1,Jaxon Kohler,2023
32,32,33,2023-03-17,Michigan State,N,Southern California,ROUND-64,W 72-62,,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,1,0,2,1.4,N,1,0,jaxon-kohler-1,Jaxon Kohler,2023
33,33,34,2023-03-19,Michigan State,N,Marquette,ROUND-32,W 69-60,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,N,1,0,jaxon-kohler-1,Jaxon Kohler,2023
34,34,35,2023-03-23,Michigan State,N,Kansas State,ROUND-16,L 93-98 (OT),,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,0,0,0,2,1.6,N,0,0,jaxon-kohler-1,Jaxon Kohler,2023
