rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,29,1,2022-11-07,Louisiana,,Centenary (LA),REG (Non-Conf),W 106-55,,21,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,4,7,11,0,0,1,1,3,6,6.4,H,1,1,joe-charles-2,Joe Charles,2023
2,30,2,2022-11-11,Louisiana,N,Harvard,REG (Non-Conf),W 75-61,,25,2,6,0.333,2,4,0.5,0,2,0.0,0.5,0,2,0.0,2,0,2,0,1,0,0,4,6,2.6,N,1,1,joe-charles-2,Joe Charles,2023
3,31,3,2022-11-13,Louisiana,N,East Tennessee State,REG (Non-Conf),W 81-77,,8,3,4,0.75,3,4,0.75,0,0,,1.125,0,0,,0,2,2,0,1,0,0,2,9,8.2,N,1,1,joe-charles-2,Joe Charles,2023
4,32,4,2022-11-17,Louisiana,,Louisiana Tech,REG (Non-Conf),W 94-88,,10,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,2,2,0,0,0,2,0,2,-1.1,H,1,1,joe-charles-2,Joe Charles,2023
5,33,5,2022-11-22,Louisiana,@,SMU,REG (Non-Conf),W 76-72 (OT),,23,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,1,0.0,4,4,8,2,1,2,1,1,7,10.0,A,1,1,joe-charles-2,Joe Charles,2023
6,34,6,2022-11-26,Louisiana,@,Drake,REG (Non-Conf),L 64-76,,19,2,7,0.286,0,3,0.0,2,4,0.5,0.286,1,1,1.0,1,1,2,1,4,0,1,5,5,3.6,A,0,1,joe-charles-2,Joe Charles,2023
7,35,7,2022-11-29,Louisiana,,Loyola (LA),REG (Non-Conf),W 104-70,,13,4,5,0.8,4,5,0.8,0,0,,1.2,0,0,,3,2,5,0,0,0,0,0,12,12.8,H,1,1,joe-charles-2,Joe Charles,2023
8,36,9,2022-12-10,Louisiana,,Samford,REG (Non-Conf),W 75-58,,19,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,2,2,0,2,1,3,1,0,-2.9,H,1,1,joe-charles-2,Joe Charles,2023
9,37,10,2022-12-12,Louisiana,,La. Christian,REG (Non-Conf),W 98-63,,23,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,1,1.0,2,3,5,1,0,1,0,1,3,4.6,H,1,1,joe-charles-2,Joe Charles,2023
10,38,11,2022-12-15,Louisiana,@,McNeese State,REG (Non-Conf),W 78-70,,16,3,6,0.5,0,3,0.0,3,3,1.0,0.5,0,1,0.0,2,1,3,0,2,0,1,2,6,4.5,A,1,1,joe-charles-2,Joe Charles,2023
11,39,12,2022-12-21,Louisiana,@,Texas,REG (Non-Conf),L 72-100,,22,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,1,1.0,0,2,2,1,1,0,2,2,5,1.1,A,0,1,joe-charles-2,Joe Charles,2023
12,40,13,2022-12-29,Louisiana,@,Coastal Carolina,REG (Conf),L 76-77,,12,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,0,1,0,0,4,0,-1.7,A,0,1,joe-charles-2,Joe Charles,2023
13,41,14,2022-12-31,Louisiana,@,Old Dominion,REG (Conf),L 66-70,,18,1,8,0.125,1,6,0.167,0,2,0.0,0.188,0,0,,1,2,3,2,0,0,2,2,3,-2.3,A,0,1,joe-charles-2,Joe Charles,2023
14,42,15,2023-01-05,Louisiana,,Southern Mississippi,REG (Conf),W 75-61,,21,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,2,2,4,1,2,0,0,1,7,8.3,H,1,1,joe-charles-2,Joe Charles,2023
15,43,16,2023-01-07,Louisiana,,Georgia State,REG (Conf),W 78-70,,24,4,7,0.571,0,2,0.0,4,5,0.8,0.571,0,0,,1,3,4,1,2,2,2,3,8,7.2,H,1,1,joe-charles-2,Joe Charles,2023
