rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,58,1,2022-11-07,Florida Atlantic,,Lynn,REG (Non-Conf),W 81-46,*,24,5,8,0.625,2,5,0.4,3,3,1.0,0.75,3,4,0.75,0,5,5,3,3,0,3,2,15,13.8,H,1,1,johnell-davis-1,Johnell Davis,2023
2,59,2,2022-11-11,Florida Atlantic,@,Ole Miss,REG (Non-Conf),L 67-80,*,23,4,9,0.444,2,3,0.667,2,6,0.333,0.556,0,0,,1,2,3,2,1,0,1,3,10,6.8,A,0,1,johnell-davis-1,Johnell Davis,2023
3,60,3,2022-11-14,Florida Atlantic,@,Florida,REG (Non-Conf),W 76-74,*,32,7,15,0.467,4,6,0.667,3,9,0.333,0.6,0,0,,0,10,10,3,0,0,0,1,18,15.0,A,1,1,johnell-davis-1,Johnell Davis,2023
4,61,4,2022-11-17,Florida Atlantic,,Bryant,REG (Non-Conf),W 85-74,*,8,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,2,0.0,0,2,2,1,1,0,2,2,3,0.0,H,1,1,johnell-davis-1,Johnell Davis,2023
5,62,7,2022-11-30,Florida Atlantic,,South Alabama,REG (Non-Conf),W 84-59,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,1.7,H,1,1,johnell-davis-1,Johnell Davis,2023
6,63,8,2022-12-04,Florida Atlantic,@,Eastern Michigan,REG (Non-Conf),W 101-73,,15,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,,2,2,4,1,0,0,1,5,9,5.4,A,1,1,johnell-davis-1,Johnell Davis,2023
7,64,9,2022-12-07,Florida Atlantic,,Florida Gulf Coast,REG (Non-Conf),W 85-53,,17,2,8,0.25,0,3,0.0,2,5,0.4,0.25,2,2,1.0,1,3,4,1,2,0,1,1,6,4.1,H,1,1,johnell-davis-1,Johnell Davis,2023
8,65,10,2022-12-14,Florida Atlantic,,St. Thomas (FL),REG (Non-Conf),W 97-74,,22,6,10,0.6,0,2,0.0,6,8,0.75,0.6,1,2,0.5,0,6,6,2,2,0,1,0,13,12.2,H,1,1,johnell-davis-1,Johnell Davis,2023
9,66,11,2022-12-17,Florida Atlantic,,Florida International,REG (Conf),W 79-53,,26,5,11,0.455,2,5,0.4,3,6,0.5,0.545,1,1,1.0,2,8,10,3,0,0,0,0,13,13.2,H,1,1,johnell-davis-1,Johnell Davis,2023
10,67,12,2022-12-21,Florida Atlantic,,Northern Kentucky,REG (Non-Conf),W 67-52,,19,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,0,,0,4,4,0,1,0,1,1,6,3.1,H,1,1,johnell-davis-1,Johnell Davis,2023
11,68,13,2022-12-29,Florida Atlantic,@,North Texas,REG (Conf),W 50-46,,29,3,9,0.333,0,1,0.0,3,8,0.375,0.333,3,4,0.75,1,8,9,1,0,0,3,2,9,3.5,A,1,1,johnell-davis-1,Johnell Davis,2023
12,69,14,2023-01-05,Florida Atlantic,,UAB,REG (Conf),W 88-86,,29,11,17,0.647,4,6,0.667,7,11,0.636,0.765,10,11,0.909,1,5,6,0,0,1,1,3,36,28.8,H,1,1,johnell-davis-1,Johnell Davis,2023
13,70,15,2023-01-07,Florida Atlantic,,Charlotte,REG (Conf),W 71-67,,26,3,7,0.429,1,2,0.5,2,5,0.4,0.5,3,4,0.75,1,4,5,1,1,0,1,2,10,7.7,H,1,1,johnell-davis-1,Johnell Davis,2023
14,71,16,2023-01-11,Florida Atlantic,@,Florida International,REG (Conf),W 77-73 (OT),,31,6,13,0.462,2,5,0.4,4,8,0.5,0.538,3,3,1.0,2,3,5,1,1,0,1,3,17,12.1,A,1,1,johnell-davis-1,Johnell Davis,2023
15,72,17,2023-01-14,Florida Atlantic,,North Texas,REG (Conf),W 66-62,,28,6,9,0.667,2,4,0.5,4,5,0.8,0.778,2,2,1.0,1,2,3,1,3,0,4,1,16,12.7,H,1,1,johnell-davis-1,Johnell Davis,2023
16,73,18,2023-01-16,Florida Atlantic,@,Western Kentucky,REG (Conf),W 76-62,,28,5,10,0.5,2,4,0.5,3,6,0.5,0.6,2,2,1.0,1,5,6,4,2,0,3,1,14,12.6,A,1,1,johnell-davis-1,Johnell Davis,2023
17,74,19,2023-01-19,Florida Atlantic,@,UTSA,REG (Conf),W 83-64,,24,5,12,0.417,0,5,0.0,5,7,0.714,0.417,4,4,1.0,2,3,5,0,1,1,0,3,14,10.4,A,1,1,johnell-davis-1,Johnell Davis,2023
18,75,20,2023-01-21,Florida Atlantic,@,UTEP,REG (Conf),W 67-59,,29,6,9,0.667,2,3,0.667,4,6,0.667,0.778,6,6,1.0,1,5,6,0,0,0,4,1,20,13.9,A,1,1,johnell-davis-1,Johnell Davis,2023
19,76,21,2023-01-26,Florida Atlantic,,Middle Tennessee,REG (Conf),W 85-67,,29,7,12,0.583,3,4,0.75,4,8,0.5,0.708,8,8,1.0,1,5,6,0,5,1,1,1,25,25.9,H,1,1,johnell-davis-1,Johnell Davis,2023
20,77,22,2023-01-28,Florida Atlantic,,Western Kentucky,REG (Conf),W 70-63,,26,2,7,0.286,2,5,0.4,0,2,0.0,0.429,3,4,0.75,0,5,5,2,3,0,1,2,9,8.6,H,1,1,johnell-davis-1,Johnell Davis,2023
21,78,23,2023-02-02,Florida Atlantic,@,UAB,REG (Conf),L 77-86,,32,5,19,0.263,2,9,0.222,3,10,0.3,0.316,5,5,1.0,3,5,8,1,1,0,0,1,17,10.6,A,0,1,johnell-davis-1,Johnell Davis,2023
22,79,24,2023-02-04,Florida Atlantic,@,Charlotte,REG (Conf),W 67-52,,23,4,6,0.667,0,1,0.0,4,5,0.8,0.667,0,0,,0,4,4,1,0,0,3,2,8,3.5,A,1,1,johnell-davis-1,Johnell Davis,2023
