rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2022-11-07,Iona,,Pennsylvania,REG (Non-Conf),W 78-50,,10,2,6,0.333,1,2,0.5,1,4,0.25,0.417,0,0,,0,1,1,0,0,2,0,1,5,2.9,H,1,1,osborn-shema-1,Osborn Shema,2023
2,33,3,2022-11-18,Iona,N,Vermont,REG (Non-Conf),W 71-50,,9,0,0,,0,0,,0,0,,,1,2,0.5,0,1,1,0,0,0,1,1,1,-0.5,N,1,1,osborn-shema-1,Osborn Shema,2023
3,34,4,2022-11-27,Iona,N,Santa Clara,REG (Non-Conf),L 76-86,,19,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,1,4,5,2,0,1,0,2,0,0.4,N,0,1,osborn-shema-1,Osborn Shema,2023
4,35,5,2022-12-02,Iona,,Niagara,REG (Conf),W 78-56,*,22,3,7,0.429,1,2,0.5,2,5,0.4,0.5,0,0,,4,3,7,1,1,2,1,4,7,7.5,H,1,1,osborn-shema-1,Osborn Shema,2023
5,36,6,2022-12-04,Iona,,Canisius,REG (Conf),W 90-60,*,23,3,6,0.5,0,2,0.0,3,4,0.75,0.5,2,2,1.0,2,5,7,1,1,1,3,1,8,6.9,H,1,1,osborn-shema-1,Osborn Shema,2023
6,37,7,2022-12-06,Iona,,Saint Louis,REG (Non-Conf),W 84-62,*,36,4,7,0.571,1,1,1.0,3,6,0.5,0.643,0,0,,5,5,10,3,1,4,3,2,9,12.8,H,1,1,osborn-shema-1,Osborn Shema,2023
7,38,8,2022-12-11,Iona,N,St. Bonaventure,REG (Non-Conf),W 72-57,*,25,2,2,1.0,0,0,,2,2,1.0,1.0,2,3,0.667,0,5,5,2,1,1,3,2,6,5.8,N,1,1,osborn-shema-1,Osborn Shema,2023
8,39,9,2022-12-13,Iona,N,Princeton,REG (Non-Conf),W 70-64,*,16,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,2,1,3,3,1,1,0,3,2,5.3,N,1,1,osborn-shema-1,Osborn Shema,2023
9,40,10,2022-12-18,Iona,@,New Mexico,REG (Non-Conf),L 74-82,*,18,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,1,1,2,0,0,1,2,2,0.9,A,0,1,osborn-shema-1,Osborn Shema,2023
10,41,11,2022-12-22,Iona,N,SMU,REG (Non-Conf),L 81-85,,8,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,2,2,0,1,0,0,0,2,3.3,N,0,1,osborn-shema-1,Osborn Shema,2023
