rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,105,1,2022-11-07,Maryland,,Niagara,REG (Non-Conf),W 71-49,,14,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1.0,1,1,2,0,1,1,1,3,4,2.8,H,1,1,patrick-emilien-1,Patrick Emilien,2023
2,106,2,2022-11-10,Maryland,,Western Carolina,REG (Non-Conf),W 71-51,,19,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,0,0,0,0,1,2,0,0,1,2.3,H,1,1,patrick-emilien-1,Patrick Emilien,2023
3,107,3,2022-11-15,Maryland,,Binghamton,REG (Non-Conf),W 76-52,,19,1,2,0.5,0,1,0.0,1,1,1.0,0.5,1,1,1.0,0,4,4,1,1,1,0,3,3,4.4,H,1,1,patrick-emilien-1,Patrick Emilien,2023
4,108,4,2022-11-19,Maryland,N,Saint Louis,REG (Non-Conf),W 95-67,,21,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,6,7,0,0,1,0,2,0,1.7,N,1,1,patrick-emilien-1,Patrick Emilien,2023
5,109,5,2022-11-20,Maryland,N,Miami (FL),REG (Non-Conf),W 88-70,,17,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,2,2,4,0,1,1,1,0,2,4.4,N,1,1,patrick-emilien-1,Patrick Emilien,2023
6,110,7,2022-11-29,Maryland,@,Louisville,REG (Non-Conf),W 79-54,,15,2,3,0.667,0,0,,2,3,0.667,0.667,2,6,0.333,2,1,3,0,0,0,0,2,6,4.0,A,1,1,patrick-emilien-1,Patrick Emilien,2023
7,111,8,2022-12-02,Maryland,,Illinois,REG (Conf),W 71-66,,18,0,0,,0,0,,0,0,,,0,0,,2,2,4,0,0,0,1,4,0,-0.6,H,1,1,patrick-emilien-1,Patrick Emilien,2023
8,112,9,2022-12-06,Maryland,@,Wisconsin,REG (Conf),L 59-64,,14,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,1,1,0,1,1,1,2,2,0.5,A,0,1,patrick-emilien-1,Patrick Emilien,2023
9,113,10,2022-12-11,Maryland,N,Tennessee,REG (Non-Conf),L 53-56,,16,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,2,3,5,0,0,1,0,1,0,1.2,N,0,1,patrick-emilien-1,Patrick Emilien,2023
10,114,11,2022-12-14,Maryland,,UCLA,REG (Non-Conf),L 60-87,,16,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,0,0,0,1,0,0.9,H,0,1,patrick-emilien-1,Patrick Emilien,2023
11,115,12,2022-12-22,Maryland,,Saint Peter's,REG (Non-Conf),W 75-45,*,26,4,6,0.667,0,0,,4,6,0.667,0.667,2,2,1.0,1,3,4,1,0,3,0,0,10,11.8,H,1,1,patrick-emilien-1,Patrick Emilien,2023
12,116,13,2022-12-29,Maryland,,UMBC,REG (Non-Conf),W 80-64,*,17,0,0,,0,0,,0,0,,,4,4,1.0,0,2,2,0,0,0,2,1,4,2.2,H,1,1,patrick-emilien-1,Patrick Emilien,2023
13,117,14,2023-01-01,Maryland,@,Michigan,REG (Conf),L 46-81,,14,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,2,1,3,0,0,0,1,5,0,-2.0,A,0,1,patrick-emilien-1,Patrick Emilien,2023
14,118,15,2023-01-05,Maryland,@,Rutgers,REG (Conf),L 50-64,,14,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,2,1,3,0,0,0,1,1,1,-0.5,A,0,1,patrick-emilien-1,Patrick Emilien,2023
15,119,16,2023-01-08,Maryland,,Ohio State,REG (Conf),W 80-73,,20,1,1,1.0,0,0,,1,1,1.0,1.0,2,4,0.5,4,0,4,0,0,0,0,2,4,4.9,H,1,1,patrick-emilien-1,Patrick Emilien,2023
16,120,19,2023-01-22,Maryland,@,Purdue,REG (Conf),L 55-58,,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,0,1,patrick-emilien-1,Patrick Emilien,2023
17,121,20,2023-01-25,Maryland,,Wisconsin,REG (Conf),W 73-55,,17,1,1,1.0,0,0,,1,1,1.0,1.0,2,2,1.0,1,3,4,0,1,2,1,2,4,5.9,H,1,1,patrick-emilien-1,Patrick Emilien,2023
18,122,21,2023-01-28,Maryland,,Nebraska,REG (Conf),W 82-63,,25,3,4,0.75,0,1,0.0,3,3,1.0,0.75,4,4,1.0,3,4,7,0,1,1,0,3,10,12.2,H,1,1,patrick-emilien-1,Patrick Emilien,2023
19,123,22,2023-01-31,Maryland,,Indiana,REG (Conf),W 66-55,,13,0,0,,0,0,,0,0,,,2,4,0.5,1,2,3,1,0,1,0,1,2,3.5,H,1,1,patrick-emilien-1,Patrick Emilien,2023
20,124,23,2023-02-04,Maryland,@,Minnesota,REG (Conf),W 81-46,,25,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,2,2,0,0,0,0,2,2,1.5,A,1,1,patrick-emilien-1,Patrick Emilien,2023
21,125,24,2023-02-07,Maryland,@,Michigan State,REG (Conf),L 58-63,,22,1,2,0.5,0,0,,1,2,0.5,0.5,4,4,1.0,3,3,6,0,0,0,0,2,6,7.2,A,0,1,patrick-emilien-1,Patrick Emilien,2023
22,126,25,2023-02-11,Maryland,,Penn State,REG (Conf),W 74-68,,17,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,2,3,0,-1.9,H,1,1,patrick-emilien-1,Patrick Emilien,2023
23,127,26,2023-02-16,Maryland,,Purdue,REG (Conf),W 68-54,,15,3,3,1.0,1,1,1.0,2,2,1.0,1.167,2,2,1.0,1,2,3,0,0,1,1,1,9,8.7,H,1,1,patrick-emilien-1,Patrick Emilien,2023
24,128,27,2023-02-19,Maryland,@,Nebraska,REG (Conf),L 66-70 (OT),,23,2,5,0.4,0,0,,2,5,0.4,0.4,0,1,0.0,2,1,3,2,1,0,0,3,4,3.8,A,0,1,patrick-emilien-1,Patrick Emilien,2023
25,129,28,2023-02-22,Maryland,,Minnesota,REG (Conf),W 88-70,,14,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,0,0,0,0,3,0,3,3,3.6,H,1,1,patrick-emilien-1,Patrick Emilien,2023
26,130,29,2023-02-26,Maryland,,Northwestern,REG (Conf),W 75-59,,21,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,1,2,3,2,0,1,0,1,2,4.3,H,1,1,patrick-emilien-1,Patrick Emilien,2023
27,131,30,2023-03-01,Maryland,@,Ohio State,REG (Conf),L 62-73,,14,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,1,1,0,-0.7,A,0,1,patrick-emilien-1,Patrick Emilien,2023
28,132,31,2023-03-05,Maryland,@,Penn State,REG (Conf),L 64-65,,26,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,1,1,0,1,0,2.3,A,0,1,patrick-emilien-1,Patrick Emilien,2023
29,133,32,2023-03-09,Maryland,N,Minnesota,CTOURN,W 70-54,,14,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,1,4,2,-1.3,N,1,0,patrick-emilien-1,Patrick Emilien,2023
30,134,33,2023-03-10,Maryland,N,Indiana,CTOURN,L 60-70,,24,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,3,4,0,1,1,1,5,4,3.0,N,0,0,patrick-emilien-1,Patrick Emilien,2023
31,135,34,2023-03-16,Maryland,N,West Virginia,ROUND-64,W 67-65,,12,2,2,1.0,0,0,,2,2,1.0,1.0,1,1,1.0,0,0,0,0,0,0,0,1,5,4.0,N,1,0,patrick-emilien-1,Patrick Emilien,2023
32,136,35,2023-03-18,Maryland,N,Alabama,ROUND-32,L 51-73,,17,0,0,,0,0,,0,0,,,1,3,0.333,1,2,3,0,0,0,0,1,1,1.1,N,0,0,patrick-emilien-1,Patrick Emilien,2023
