rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2022-11-07,Houston,,Northern Colorado,REG (Non-Conf),W 83-36,,17,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,,2,2,4,0,2,0,1,0,7,7.7,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
2,2,2,2022-11-11,Houston,N,Saint Joseph's,REG (Non-Conf),W 81-55,,11,1,5,0.2,0,3,0.0,1,2,0.5,0.2,1,2,0.5,0,3,3,0,0,0,0,2,3,-0.4,N,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
3,3,3,2022-11-14,Houston,,Oral Roberts,REG (Non-Conf),W 83-45,,22,4,7,0.571,3,6,0.5,1,1,1.0,0.786,3,6,0.5,1,4,5,0,1,1,0,0,14,13.1,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
4,4,4,2022-11-16,Houston,,Texas Southern,REG (Non-Conf),W 83-48,,15,2,5,0.4,1,4,0.25,1,1,1.0,0.5,1,1,1.0,3,2,5,0,1,0,0,0,6,7.0,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
5,5,5,2022-11-20,Houston,@,Oregon,REG (Non-Conf),W 66-56,,19,6,11,0.545,3,5,0.6,3,6,0.5,0.682,0,1,0.0,3,2,5,1,3,0,0,1,15,15.3,A,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
6,6,6,2022-11-26,Houston,,Kent State,REG (Non-Conf),W 49-44,,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,6,6,1,0,0,0,1,0,0.7,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
7,7,7,2022-11-29,Houston,,Norfolk State,REG (Non-Conf),W 100-52,,24,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,0,3,3,0,0,1,1,2,7,2.4,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
8,8,8,2022-12-03,Houston,N,St. Mary's (CA),REG (Non-Conf),W 53-48,,13,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,3,4,0,0,0,1,1,2,1.2,N,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
9,9,9,2022-12-06,Houston,,North Florida,REG (Non-Conf),W 76-42,,22,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,1,5,6,1,1,0,1,0,2,1.1,H,1,1,terrance-arceneaux-1,Terrance Arceneaux,2023
10,10,10,2022-12-10,Houston,,Alabama,REG (Non-Conf),L 65-71,,8,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,1,0,0,-1.4,H,0,1,terrance-arceneaux-1,Terrance Arceneaux,2023
