rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,76,1,2022-11-07,Arizona State,,Tarleton State,REG (Non-Conf),W 62-59,*,13,0,0,,0,0,0,0,,,1,2,0.5,2,1,3,0,0,2,2,5,1,-0.3,H,1,1,warren-washington-1,Warren Washington,2023
2,77,2,2022-11-10,Arizona State,,Northern Arizona,REG (Non-Conf),W 84-68,*,26,5,6,0.833,0,0,5,6,0.833,0.833,2,5,0.4,2,2,4,0,0,1,1,2,12,9.5,H,1,1,warren-washington-1,Warren Washington,2023
3,78,3,2022-11-13,Arizona State,@,Texas Southern,REG (Non-Conf),L 66-67 (OT),*,29,4,10,0.4,0,0,4,10,0.4,0.4,2,2,1.0,5,9,14,0,0,4,1,2,10,11.8,A,0,1,warren-washington-1,Warren Washington,2023
4,79,4,2022-11-16,Arizona State,N,VCU,REG (Non-Conf),W 63-59,*,22,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,1,3,4,2,1,1,1,5,6,6.1,N,1,1,warren-washington-1,Warren Washington,2023
5,80,5,2022-11-17,Arizona State,N,Michigan,REG (Non-Conf),W 87-62,*,22,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,3,5,8,1,1,2,0,2,4,8.6,N,1,1,warren-washington-1,Warren Washington,2023
6,81,6,2022-11-22,Arizona State,,Grambling State,REG (Non-Conf),W 80-49,*,19,4,4,1.0,0,0,4,4,1.0,1.0,3,5,0.6,2,5,7,3,1,2,1,3,11,14.2,H,1,1,warren-washington-1,Warren Washington,2023
7,82,7,2022-11-27,Arizona State,,Alcorn State,REG (Non-Conf),W 76-54,*,21,5,5,1.0,0,0,5,5,1.0,1.0,4,6,0.667,2,5,7,1,0,2,0,1,14,16.3,H,1,1,warren-washington-1,Warren Washington,2023
8,83,8,2022-12-01,Arizona State,@,Colorado,REG (Conf),W 60-59,*,28,3,6,0.5,0,0,3,6,0.5,0.5,0,1,0.0,1,5,6,4,1,1,2,1,6,6.9,A,1,1,warren-washington-1,Warren Washington,2023
9,84,9,2022-12-04,Arizona State,,Stanford,REG (Conf),W 68-64,*,31,3,4,0.75,0,0,3,4,0.75,0.75,1,2,0.5,3,7,10,3,1,2,0,0,7,13.7,H,1,1,warren-washington-1,Warren Washington,2023
10,85,10,2022-12-07,Arizona State,@,SMU,REG (Non-Conf),W 75-57,*,25,3,9,0.333,0,0,3,9,0.333,0.333,0,2,0.0,4,3,7,1,1,1,1,3,6,4.0,A,1,1,warren-washington-1,Warren Washington,2023
11,86,11,2022-12-12,Arizona State,N,Creighton,REG (Non-Conf),W 73-71,*,19,2,4,0.5,0,0,2,4,0.5,0.5,3,5,0.6,4,6,10,0,0,2,3,4,7,5.6,N,1,1,warren-washington-1,Warren Washington,2023
12,87,12,2022-12-18,Arizona State,,San Diego,REG (Non-Conf),W 91-67,*,30,5,7,0.714,0,0,5,7,0.714,0.714,8,8,1.0,2,4,6,2,1,5,1,2,18,21.8,H,1,1,warren-washington-1,Warren Washington,2023
13,88,13,2022-12-21,Arizona State,@,San Francisco,REG (Non-Conf),L 60-97,*,20,1,2,0.5,0,0,1,2,0.5,0.5,0,2,0.0,2,4,6,0,0,1,2,0,2,1.5,A,0,1,warren-washington-1,Warren Washington,2023
14,89,14,2022-12-31,Arizona State,,Arizona,REG (Conf),L 60-69,*,26,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,1,6,7,4,0,3,0,2,6,11.0,H,0,1,warren-washington-1,Warren Washington,2023
15,90,15,2023-01-05,Arizona State,,Washington State,REG (Conf),W 77-71,*,28,9,10,0.9,0,0,9,10,0.9,0.9,0,1,0.0,0,2,2,4,1,1,2,3,18,16.1,H,1,1,warren-washington-1,Warren Washington,2023
16,91,16,2023-01-08,Arizona State,,Washington,REG (Conf),W 73-65,*,32,3,6,0.5,0,0,3,6,0.5,0.5,1,1,1.0,3,9,12,3,0,3,0,3,7,11.8,H,1,1,warren-washington-1,Warren Washington,2023
17,92,17,2023-01-12,Arizona State,@,Oregon,REG (Conf),W 90-73,*,27,3,3,1.0,0,0,3,3,1.0,1.0,4,5,0.8,2,6,8,2,0,2,0,3,10,13.5,A,1,1,warren-washington-1,Warren Washington,2023
18,93,18,2023-01-14,Arizona State,@,Oregon State,REG (Conf),W 74-69,*,27,1,5,0.2,0,0,1,5,0.2,0.2,0,0,,1,6,7,0,1,1,3,5,2,-1.9,A,1,1,warren-washington-1,Warren Washington,2023
19,94,19,2023-01-19,Arizona State,,UCLA,REG (Conf),L 62-74,*,33,2,4,0.5,0,0,2,4,0.5,0.5,5,6,0.833,1,6,7,2,0,3,1,2,9,10.8,H,0,1,warren-washington-1,Warren Washington,2023
20,95,20,2023-01-21,Arizona State,,Southern California,REG (Conf),L 69-77,*,35,7,12,0.583,0,0,7,12,0.583,0.583,7,9,0.778,5,3,8,2,2,2,3,1,21,20.4,H,0,1,warren-washington-1,Warren Washington,2023
21,96,21,2023-01-26,Arizona State,@,Washington,REG (Conf),L 66-69 (OT),*,38,1,6,0.167,0,0,1,6,0.167,0.167,0,2,0.0,0,8,8,2,1,2,0,2,2,2.8,A,0,1,warren-washington-1,Warren Washington,2023
22,97,22,2023-01-28,Arizona State,@,Washington State,REG (Conf),L 58-75,*,33,4,9,0.444,0,0,4,9,0.444,0.444,4,6,0.667,1,5,6,1,0,3,5,2,12,5.7,A,0,1,warren-washington-1,Warren Washington,2023
23,98,23,2023-02-02,Arizona State,,Oregon State,REG (Conf),W 68-57,*,28,4,8,0.5,0,0,4,8,0.5,0.5,0,1,0.0,0,4,4,2,0,0,2,2,8,3.4,H,1,1,warren-washington-1,Warren Washington,2023
24,99,24,2023-02-04,Arizona State,,Oregon,REG (Conf),L 70-75,*,25,4,10,0.4,0,0,4,10,0.4,0.4,0,0,,3,4,7,1,1,0,1,5,8,4.6,H,0,1,warren-washington-1,Warren Washington,2023
25,100,27,2023-02-16,Arizona State,,Colorado,REG (Conf),L 59-67,*,24,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,2,3,5,1,0,0,1,1,6,5.3,H,0,1,warren-washington-1,Warren Washington,2023
26,101,28,2023-02-18,Arizona State,,Utah,REG (Conf),W 67-59,*,32,7,9,0.778,0,0,7,9,0.778,0.778,4,6,0.667,1,3,4,0,0,4,1,3,18,15.9,H,1,1,warren-washington-1,Warren Washington,2023
27,102,29,2023-02-25,Arizona State,@,Arizona,REG (Conf),W 89-88,*,20,7,8,0.875,0,0,7,8,0.875,0.875,2,3,0.667,0,3,3,0,0,0,1,4,16,11.1,A,1,1,warren-washington-1,Warren Washington,2023
28,103,30,2023-03-02,Arizona State,@,UCLA,REG (Conf),L 61-79,*,30,5,6,0.833,0,0,5,6,0.833,0.833,2,2,1.0,1,5,6,1,1,1,4,2,12,9.6,A,0,1,warren-washington-1,Warren Washington,2023
29,104,31,2023-03-04,Arizona State,@,Southern California,REG (Conf),L 65-68,*,31,3,11,0.273,0,0,3,11,0.273,0.273,4,6,0.667,4,7,11,0,1,1,4,4,10,3.7,A,0,1,warren-washington-1,Warren Washington,2023
30,105,32,2023-03-08,Arizona State,N,Oregon State,CTOURN,W 63-57,*,25,4,10,0.4,0,0,4,10,0.4,0.4,7,9,0.778,5,4,9,2,0,1,2,2,15,12.8,N,1,0,warren-washington-1,Warren Washington,2023
31,106,33,2023-03-09,Arizona State,N,Southern California,CTOURN,W 77-72,*,28,0,4,0.0,0,0,0,4,0.0,0.0,2,4,0.5,3,5,8,2,0,2,1,1,2,3.4,N,1,0,warren-washington-1,Warren Washington,2023
