rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,79,1,2023-11-06,Texas A&M,,Texas A&M–Commerce,REG (Non-Conf),W 78-46,,21,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,2,3,1,1,0,0,1,0,1.2,H,1,1,andersson-garcia-1,Andersson Garcia,2024
2,80,2,2023-11-10,Texas A&M,@,Ohio State,REG (Non-Conf),W 73-66,,26,1,3,0.333,0,0,,1,3,0.333,0.333,2,2,1.0,7,6,13,0,0,1,1,5,4,6.7,A,1,1,andersson-garcia-1,Andersson Garcia,2024
3,81,3,2023-11-14,Texas A&M,@,SMU,REG (Non-Conf),W 79-66,,28,1,5,0.2,0,0,,1,5,0.2,0.2,4,4,1.0,4,2,6,2,0,1,0,2,6,7.6,A,1,1,andersson-garcia-1,Andersson Garcia,2024
4,82,4,2023-11-17,Texas A&M,,Oral Roberts,REG (Non-Conf),W 74-66,,23,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,2,1.0,3,4,7,1,0,2,0,2,2,3.8,H,1,1,andersson-garcia-1,Andersson Garcia,2024
5,83,5,2023-11-23,Texas A&M,N,Penn State,REG (Non-Conf),W 89-77,,28,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,4,1,5,4,1,0,0,2,2,7.8,N,1,1,andersson-garcia-1,Andersson Garcia,2024
6,84,6,2023-11-24,Texas A&M,N,Florida Atlantic,REG (Non-Conf),L 89-96,,31,0,0,,0,0,,0,0,,,2,2,1.0,6,7,13,0,2,1,2,5,2,7.0,N,0,1,andersson-garcia-1,Andersson Garcia,2024
7,85,7,2023-11-26,Texas A&M,N,Iowa State,REG (Non-Conf),W 73-69,,29,4,4,1.0,0,0,,4,4,1.0,1.0,1,4,0.25,3,3,6,2,4,0,1,2,9,13.2,N,1,1,andersson-garcia-1,Andersson Garcia,2024
8,86,8,2023-11-29,Texas A&M,@,Virginia,REG (Non-Conf),L 47-59,,28,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,4,5,1,2,0,2,2,2,3.5,A,0,1,andersson-garcia-1,Andersson Garcia,2024
9,87,9,2023-12-06,Texas A&M,,DePaul,REG (Non-Conf),W 89-64,,22,3,3,1.0,1,1,1.0,2,2,1.0,1.167,2,3,0.667,2,3,5,2,2,1,0,1,9,13.7,H,1,1,andersson-garcia-1,Andersson Garcia,2024
10,88,10,2023-12-10,Texas A&M,,Memphis,REG (Non-Conf),L 75-81,,26,1,2,0.5,0,1,0.0,1,1,1.0,0.5,4,6,0.667,7,7,14,2,2,1,2,4,6,11.7,H,0,1,andersson-garcia-1,Andersson Garcia,2024
11,89,11,2023-12-16,Texas A&M,N,Houston,REG (Non-Conf),L 66-70,,28,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,2,0.5,3,1,4,1,0,1,0,4,5,4.8,N,0,1,andersson-garcia-1,Andersson Garcia,2024
12,90,12,2023-12-22,Texas A&M,,Houston Christian,REG (Non-Conf),W 79-52,*,35,3,8,0.375,1,1,1.0,2,7,0.286,0.438,2,4,0.5,9,10,19,4,1,2,3,2,9,14.5,H,1,1,andersson-garcia-1,Andersson Garcia,2024
13,91,13,2023-12-30,Texas A&M,,Prairie View A&M,REG (Non-Conf),W 79-54,*,32,2,4,0.5,0,1,0.0,2,3,0.667,0.5,7,10,0.7,4,8,12,2,1,0,1,4,11,12.8,H,1,1,andersson-garcia-1,Andersson Garcia,2024
14,92,14,2024-01-06,Texas A&M,,Louisiana State,REG (Conf),L 53-68,*,32,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,3,2,5,1,0,0,3,4,5,0.7,H,0,1,andersson-garcia-1,Andersson Garcia,2024
15,93,15,2024-01-09,Texas A&M,@,Auburn,REG (Conf),L 55-66,,31,1,4,0.25,1,1,1.0,0,3,0.0,0.375,3,4,0.75,6,7,13,2,4,0,2,4,6,11.3,A,0,1,andersson-garcia-1,Andersson Garcia,2024
