rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,68,1,2023-11-06,Western Kentucky,,Ky. Wesleyan,REG (Non-Conf),W 90-64,,16,1,6,0.167,1,5,0.2,0,1,0.0,0.25,0,0,,0,0,0,0,1,1,1,3,3,-1.3,H,1,1,dontaie-allen-1,Dontaie Allen,2024
2,69,2,2023-11-09,Western Kentucky,@,Wichita State,REG (Non-Conf),L 61-71,,17,1,8,0.125,0,5,0.0,1,3,0.333,0.125,3,4,0.75,1,3,4,1,1,0,0,1,5,2.3,A,0,1,dontaie-allen-1,Dontaie Allen,2024
3,70,3,2023-11-14,Western Kentucky,@,Murray State,REG (Non-Conf),W 86-81,,24,6,9,0.667,4,5,0.8,2,4,0.5,0.889,2,2,1.0,0,5,5,0,1,1,2,2,18,14.5,A,1,1,dontaie-allen-1,Dontaie Allen,2024
4,71,4,2023-11-18,Western Kentucky,,Kentucky St.,REG (Non-Conf),W 95-75,,21,2,11,0.182,2,7,0.286,0,4,0.0,0.273,1,2,0.5,1,2,3,1,1,2,1,0,7,3.1,H,1,1,dontaie-allen-1,Dontaie Allen,2024
5,72,5,2023-11-24,Western Kentucky,N,Bowling Green,REG (Non-Conf),W 72-65,,23,3,5,0.6,2,3,0.667,1,2,0.5,0.8,2,2,1.0,1,4,5,0,1,2,1,3,10,9.8,N,1,1,dontaie-allen-1,Dontaie Allen,2024
6,73,6,2023-11-25,Western Kentucky,N,Canisius,REG (Non-Conf),L 77-85,,23,0,5,0.0,0,1,0.0,0,4,0.0,0.0,0,0,,2,4,6,3,0,1,1,5,0,-1.1,N,0,1,dontaie-allen-1,Dontaie Allen,2024
7,74,7,2023-11-26,Western Kentucky,N,UNC Asheville,REG (Non-Conf),L 67-77,,11,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,3,3,0,-7.0,N,0,1,dontaie-allen-1,Dontaie Allen,2024
8,75,8,2023-11-29,Western Kentucky,,Campbellsville,REG (Non-Conf),W 101-77,,14,3,9,0.333,2,7,0.286,1,2,0.5,0.444,2,2,1.0,1,2,3,1,0,0,1,1,10,5.5,H,1,1,dontaie-allen-1,Dontaie Allen,2024
9,76,9,2023-12-03,Western Kentucky,,Eastern Kentucky,REG (Non-Conf),W 79-69,,13,2,6,0.333,1,2,0.5,1,4,0.25,0.417,0,0,,0,0,0,0,1,0,2,1,5,0.2,H,1,1,dontaie-allen-1,Dontaie Allen,2024
10,77,10,2023-12-09,Western Kentucky,@,Buffalo,REG (Non-Conf),W 82-65,,16,2,8,0.25,2,7,0.286,0,1,0.0,0.375,1,2,0.5,0,2,2,0,1,0,0,1,7,3.0,A,1,1,dontaie-allen-1,Dontaie Allen,2024
11,78,11,2023-12-12,Western Kentucky,@,Wright State,REG (Non-Conf),W 91-84,,13,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,1,0.0,0,2,2,0,0,0,1,2,5,2.1,A,1,1,dontaie-allen-1,Dontaie Allen,2024
12,79,12,2023-12-16,Western Kentucky,,Austin Peay,REG (Non-Conf),W 65-64,,12,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,0,1,1,0,0,0,0,0,5,2.9,H,1,1,dontaie-allen-1,Dontaie Allen,2024
13,80,13,2023-12-19,Western Kentucky,@,California Baptist,REG (Non-Conf),W 73-70,,22,6,11,0.545,4,8,0.5,2,3,0.667,0.727,1,2,0.5,0,4,4,1,1,1,1,2,17,13.1,A,1,1,dontaie-allen-1,Dontaie Allen,2024
14,81,14,2023-12-30,Western Kentucky,,Abilene Christian,REG (Non-Conf),W 86-84,,23,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,0,3,3,0,1,0,0,0,8,6.2,H,1,1,dontaie-allen-1,Dontaie Allen,2024
15,82,15,2024-01-06,Western Kentucky,,Liberty,REG (Conf),W 70-68,,23,4,6,0.667,2,3,0.667,2,3,0.667,0.833,3,5,0.6,0,4,4,0,1,0,4,2,13,7.0,H,1,1,dontaie-allen-1,Dontaie Allen,2024
16,83,16,2024-01-10,Western Kentucky,@,Sam Houston State,REG (Conf),L 74-78,,20,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,0,2,2,0,1,0,1,2,6,3.8,A,0,1,dontaie-allen-1,Dontaie Allen,2024
