rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,108,1,2023-11-07,Creighton,,Florida A&M,REG (Non-Conf),W 105-54,,26,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,2,2,4,2,0,0,2,0,5,5.1,H,1,1,francisco-farabello-1,Francisco Farabello,2024
2,109,2,2023-11-11,Creighton,,North Dakota State,REG (Non-Conf),W 89-60,,22,3,5,0.6,2,4,0.5,1,1,1.0,0.8,0,0,,0,2,2,0,1,1,1,0,8,7.0,H,1,1,francisco-farabello-1,Francisco Farabello,2024
3,110,3,2023-11-14,Creighton,,Iowa,REG (Non-Conf),W 92-84,,25,4,6,0.667,3,4,0.75,1,2,0.5,0.917,3,3,1.0,0,3,3,0,0,0,0,2,14,11.5,H,1,1,francisco-farabello-1,Francisco Farabello,2024
4,111,4,2023-11-18,Creighton,,Texas Southern,REG (Non-Conf),W 82-50,,19,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,0,1,1,1,1,0,0,0,5,5.0,H,1,1,francisco-farabello-1,Francisco Farabello,2024
5,112,5,2023-11-22,Creighton,N,Loyola Chicago,REG (Non-Conf),W 88-65,,31,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,0,6,6,5,0,1,0,1,5,7.9,N,1,1,francisco-farabello-1,Francisco Farabello,2024
6,113,6,2023-11-23,Creighton,N,Colorado State,REG (Non-Conf),L 48-69,,26,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,1,2,3,1,0,0,0,1,0,-0.5,N,0,1,francisco-farabello-1,Francisco Farabello,2024
7,114,7,2023-11-30,Creighton,@,Oklahoma State,REG (Non-Conf),W 79-65,,18,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,1,2,0,-0.8,A,1,1,francisco-farabello-1,Francisco Farabello,2024
8,115,8,2023-12-03,Creighton,@,Nebraska,REG (Non-Conf),W 89-60,,28,3,4,0.75,2,3,0.667,1,1,1.0,1.0,0,0,,0,1,1,3,3,0,0,2,8,11.0,A,1,1,francisco-farabello-1,Francisco Farabello,2024
9,116,9,2023-12-09,Creighton,,Central Michigan,REG (Non-Conf),W 109-64,,19,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,3,3,5,2,0,1,0,2,6.4,H,1,1,francisco-farabello-1,Francisco Farabello,2024
10,117,10,2023-12-13,Creighton,@,UNLV,REG (Non-Conf),L 64-79,,27,2,5,0.4,2,5,0.4,0,0,,0.6,0,0,,0,2,2,3,1,0,2,1,6,4.6,A,0,1,francisco-farabello-1,Francisco Farabello,2024
11,118,11,2023-12-16,Creighton,,Alabama,REG (Non-Conf),W 85-82,,29,0,0,,0,0,,0,0,,,2,2,1.0,0,3,3,2,0,0,1,3,2,2.1,H,1,1,francisco-farabello-1,Francisco Farabello,2024
