rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,21,1,2023-11-06,North Carolina,,Radford,REG (Non-Conf),W 86-70,,10,3,3,1.0,0,0,,3,3,1.0,1.0,2,3,0.667,2,2,4,0,0,0,0,0,8,8.7,H,1,1,jalen-washington-1,Jalen Washington,2024
2,22,2,2023-11-12,North Carolina,,Lehigh,REG (Non-Conf),W 90-68,,9,1,1,1.0,0,0,,1,1,1.0,1.0,3,3,1.0,0,1,1,0,0,0,1,0,5,4.0,H,1,1,jalen-washington-1,Jalen Washington,2024
3,23,3,2023-11-17,North Carolina,,UC Riverside,REG (Non-Conf),W 77-52,,12,4,5,0.8,2,2,1.0,2,3,0.667,1.0,1,2,0.5,3,2,5,0,0,2,0,1,11,12.4,H,1,1,jalen-washington-1,Jalen Washington,2024
4,24,4,2023-11-22,North Carolina,N,Northern Iowa,REG (Non-Conf),W 91-69,,12,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,1,0,1,0,0,1,1,4,3,1.1,N,1,1,jalen-washington-1,Jalen Washington,2024
5,25,5,2023-11-23,North Carolina,N,Villanova,REG (Non-Conf),L 81-83 (OT),,6,0,0,,0,0,,0,0,,,0,1,0.0,1,0,1,0,0,2,1,0,0,0.7,N,0,1,jalen-washington-1,Jalen Washington,2024
6,26,6,2023-11-24,North Carolina,N,Arkansas,REG (Non-Conf),W 87-72,,11,1,1,1.0,0,0,,1,1,1.0,1.0,4,7,0.571,2,3,5,0,0,0,1,1,6,5.4,N,1,1,jalen-washington-1,Jalen Washington,2024
7,27,7,2023-11-29,North Carolina,,Tennessee,REG (Non-Conf),W 100-92,,8,3,3,1.0,1,1,1.0,2,2,1.0,1.167,0,0,,2,1,3,1,1,0,1,1,7,8.1,H,1,1,jalen-washington-1,Jalen Washington,2024
8,28,8,2023-12-02,North Carolina,,Florida State,REG (Conf),W 78-70,,7,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,2,3,0,0,1,0,3,2,1.8,H,1,1,jalen-washington-1,Jalen Washington,2024
9,29,9,2023-12-05,North Carolina,N,Connecticut,REG (Non-Conf),L 76-87,,6,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,N,0,1,jalen-washington-1,Jalen Washington,2024
10,30,10,2023-12-16,North Carolina,N,Kentucky,REG (Non-Conf),L 83-87,,8,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,1,1,0,0,0,0,3,2,-0.3,N,0,1,jalen-washington-1,Jalen Washington,2024
11,31,11,2023-12-20,North Carolina,N,Oklahoma,REG (Non-Conf),W 81-69,,5,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,1,1,2,0,0,0,0,1,4,4.0,N,1,1,jalen-washington-1,Jalen Washington,2024
12,32,12,2023-12-29,North Carolina,,Charleston Southern,REG (Non-Conf),W 105-60,,16,7,9,0.778,2,3,0.667,5,6,0.833,0.889,1,2,0.5,2,5,7,0,0,2,0,0,17,17.4,H,1,1,jalen-washington-1,Jalen Washington,2024
13,33,13,2024-01-02,North Carolina,@,Pittsburgh,REG (Conf),W 70-57,,8,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,3,0.667,0,2,2,1,0,2,0,1,2,2.5,A,1,1,jalen-washington-1,Jalen Washington,2024
14,34,14,2024-01-06,North Carolina,@,Clemson,REG (Conf),W 65-55,,8,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,2,2,0,0,1,0,1,4,3.6,A,1,1,jalen-washington-1,Jalen Washington,2024
15,35,15,2024-01-10,North Carolina,@,NC State,REG (Conf),W 67-54,,12,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,2,6,8,0,0,0,0,5,2,0.8,A,1,1,jalen-washington-1,Jalen Washington,2024
16,36,16,2024-01-13,North Carolina,,Syracuse,REG (Conf),W 103-67,,12,4,5,0.8,0,0,,4,5,0.8,0.8,3,5,0.6,2,4,6,2,2,0,1,2,11,12.5,H,1,1,jalen-washington-1,Jalen Washington,2024
17,37,17,2024-01-17,North Carolina,,Louisville,REG (Conf),W 86-70,,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,0,1,0,-0.5,H,1,1,jalen-washington-1,Jalen Washington,2024
18,38,18,2024-01-20,North Carolina,@,Boston College,REG (Conf),W 76-66,,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,2,3,0,-3.2,A,1,1,jalen-washington-1,Jalen Washington,2024
19,39,19,2024-01-22,North Carolina,,Wake Forest,REG (Conf),W 85-64,,5,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,1,1,0,0,1,1,1,4,3.0,H,1,1,jalen-washington-1,Jalen Washington,2024
20,40,20,2024-01-27,North Carolina,@,Florida State,REG (Conf),W 75-68,,6,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,0,0,0,0,2,2.0,A,1,1,jalen-washington-1,Jalen Washington,2024
21,41,21,2024-01-30,North Carolina,@,Georgia Tech,REG (Conf),L 73-74,,10,3,3,1.0,0,0,,3,3,1.0,1.0,2,4,0.5,4,1,5,0,0,0,0,1,8,9.0,A,0,1,jalen-washington-1,Jalen Washington,2024
22,42,22,2024-02-03,North Carolina,,Duke,REG (Conf),W 93-84,,4,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,0,1,0,0,0,0,2,2,1.6,H,1,1,jalen-washington-1,Jalen Washington,2024
23,43,23,2024-02-06,North Carolina,,Clemson,REG (Conf),L 76-80,,13,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,2,2,4,1,0,0,1,3,2,1.8,H,0,1,jalen-washington-1,Jalen Washington,2024
24,44,24,2024-02-10,North Carolina,@,Miami (FL),REG (Conf),W 75-72,,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,0,2,0,-0.5,A,1,1,jalen-washington-1,Jalen Washington,2024
25,45,25,2024-02-13,North Carolina,@,Syracuse,REG (Conf),L 79-86,,9,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,1,0,1,0,0,0,0,0,5,5.1,A,0,1,jalen-washington-1,Jalen Washington,2024
