rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,131,1,2023-11-06,UAB,,Bradley,REG (Non-Conf),L 71-73 (OT),*,37,8,9,0.889,0,0,8,9,0.889,0.889,4,6,0.667,8,7,15,1,4,0,2,1,20,26.1,H,0,1,javian-davis-fleming-1,Javian Davis,2024
2,132,2,2023-11-10,UAB,N,Clemson,REG (Non-Conf),L 76-77,*,17,2,3,0.667,0,0,2,3,0.667,0.667,4,4,1.0,2,4,6,2,0,0,3,5,8,5.7,N,0,1,javian-davis-fleming-1,Javian Davis,2024
3,133,3,2023-11-12,UAB,N,Maryland,REG (Non-Conf),W 66-63,*,23,2,5,0.4,0,0,2,5,0.4,0.4,0,0,,3,4,7,2,1,0,3,5,4,2.0,N,1,1,javian-davis-fleming-1,Javian Davis,2024
4,134,4,2023-11-16,UAB,,Alcorn State,REG (Non-Conf),W 80-77,*,34,1,2,0.5,0,0,1,2,0.5,0.5,2,2,1.0,3,6,9,1,4,1,6,3,4,5.1,H,1,1,javian-davis-fleming-1,Javian Davis,2024
5,135,5,2023-11-21,UAB,@,Middle Tennessee,REG (Non-Conf),W 58-57,*,32,8,14,0.571,0,0,8,14,0.571,0.571,5,7,0.714,1,2,3,1,1,2,2,3,21,14.8,A,1,1,javian-davis-fleming-1,Javian Davis,2024
6,136,6,2023-11-25,UAB,,Furman,REG (Non-Conf),W 92-86,*,22,6,9,0.667,0,0,6,9,0.667,0.667,5,6,0.833,4,2,6,3,0,0,0,5,17,16.2,H,1,1,javian-davis-fleming-1,Javian Davis,2024
7,137,7,2023-11-28,UAB,,McNeese State,REG (Non-Conf),L 60-81,*,30,0,0,,0,0,0,0,,,5,10,0.5,7,4,11,0,0,1,1,2,5,8.0,H,0,1,javian-davis-fleming-1,Javian Davis,2024
8,138,8,2023-12-01,UAB,,Southern Mississippi,REG (Non-Conf),L 82-85,*,30,2,5,0.4,0,0,2,5,0.4,0.4,3,3,1.0,5,1,6,2,1,0,0,4,7,8.9,H,0,1,javian-davis-fleming-1,Javian Davis,2024
9,139,9,2023-12-09,UAB,@,Arkansas State,REG (Non-Conf),L 68-87,*,27,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,2,2,4,2,0,0,1,3,2,2.9,A,0,1,javian-davis-fleming-1,Javian Davis,2024
10,140,10,2023-12-13,UAB,@,Alabama A&M,REG (Non-Conf),W 93-82,*,23,5,7,0.714,0,0,5,7,0.714,0.714,1,3,0.333,3,2,5,0,0,0,1,3,11,7.8,A,1,1,javian-davis-fleming-1,Javian Davis,2024
11,141,11,2023-12-17,UAB,,Montevallo,REG (Non-Conf),W 92-56,*,24,9,13,0.692,0,0,9,13,0.692,0.692,4,5,0.8,2,2,4,0,0,0,1,2,22,16.3,H,1,1,javian-davis-fleming-1,Javian Davis,2024
12,142,12,2023-12-22,UAB,,Drake,REG (Non-Conf),W 79-78 (OT),*,40,4,9,0.444,0,0,4,9,0.444,0.444,7,8,0.875,2,0,2,0,4,0,2,2,15,12.5,H,1,1,javian-davis-fleming-1,Javian Davis,2024
13,143,13,2023-12-29,UAB,,UNC Asheville,REG (Non-Conf),W 90-85,*,32,3,10,0.3,0,0,3,10,0.3,0.3,10,10,1.0,6,5,11,1,0,1,1,2,16,15.5,H,1,1,javian-davis-fleming-1,Javian Davis,2024
14,144,14,2024-01-02,UAB,@,UTSA,REG (Conf),W 78-76,*,20,2,7,0.286,0,0,2,7,0.286,0.286,0,0,,3,5,8,0,0,0,0,5,4,1.5,A,1,1,javian-davis-fleming-1,Javian Davis,2024
15,145,15,2024-01-07,UAB,,South Florida,REG (Conf),W 75-71,*,27,0,1,0.0,0,0,0,1,0.0,0.0,6,8,0.75,3,4,7,2,1,1,2,3,6,7.7,H,1,1,javian-davis-fleming-1,Javian Davis,2024
16,146,16,2024-01-14,UAB,@,Florida Atlantic,REG (Conf),L 73-86,*,28,3,7,0.429,0,0,3,7,0.429,0.429,1,2,0.5,4,3,7,1,0,0,2,3,7,4.1,A,0,1,javian-davis-fleming-1,Javian Davis,2024
17,147,17,2024-01-17,UAB,,Tulane,REG (Conf),W 83-69,*,19,2,6,0.333,0,0,2,6,0.333,0.333,0,0,,1,1,2,0,1,1,1,4,4,0.7,H,1,1,javian-davis-fleming-1,Javian Davis,2024
18,148,18,2024-01-20,UAB,,East Carolina,REG (Conf),W 69-61,*,36,7,10,0.7,0,0,7,10,0.7,0.7,0,2,0.0,3,6,9,0,1,1,1,1,14,13.2,H,1,1,javian-davis-fleming-1,Javian Davis,2024
19,149,19,2024-01-23,UAB,@,Charlotte,REG (Conf),L 70-76,*,33,3,4,0.75,0,0,3,4,0.75,0.75,3,4,0.75,2,3,5,3,1,1,2,1,9,10.7,A,0,1,javian-davis-fleming-1,Javian Davis,2024
20,150,20,2024-01-28,UAB,,Memphis,REG (Conf),W 97-88,*,22,2,4,0.5,0,0,2,4,0.5,0.5,6,10,0.6,3,3,6,0,0,0,3,4,10,4.8,H,1,1,javian-davis-fleming-1,Javian Davis,2024
21,151,21,2024-01-31,UAB,@,North Texas,REG (Conf),W 82-79 (OT),*,40,6,7,0.857,0,0,6,7,0.857,0.857,4,4,1.0,3,1,4,1,0,0,1,3,16,14.4,A,1,1,javian-davis-fleming-1,Javian Davis,2024
22,152,22,2024-02-04,UAB,@,SMU,REG (Conf),L 69-72,*,33,3,5,0.6,0,0,3,5,0.6,0.6,2,2,1.0,0,3,3,1,0,1,1,3,8,5.8,A,0,1,javian-davis-fleming-1,Javian Davis,2024
23,153,23,2024-02-08,UAB,,Florida Atlantic,REG (Conf),W 76-73 (OT),*,14,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,0,1,1,1,1,0,3,5,2,-1.3,H,1,1,javian-davis-fleming-1,Javian Davis,2024
24,154,24,2024-02-11,UAB,@,Tulsa,REG (Conf),W 70-63,*,24,6,11,0.545,0,0,6,11,0.545,0.545,2,4,0.5,4,7,11,2,0,0,1,4,14,11.6,A,1,1,javian-davis-fleming-1,Javian Davis,2024
25,155,25,2024-02-18,UAB,,North Texas,REG (Conf),W 71-62,*,27,3,6,0.5,0,0,3,6,0.5,0.5,4,5,0.8,2,2,4,1,1,3,1,3,10,10.2,H,1,1,javian-davis-fleming-1,Javian Davis,2024
26,156,26,2024-02-21,UAB,,Rice,REG (Conf),L 71-94,*,30,3,5,0.6,0,0,3,5,0.6,0.6,4,5,0.8,5,3,8,0,2,0,2,1,10,11.3,H,0,1,javian-davis-fleming-1,Javian Davis,2024
