rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,33,1,2023-11-06,South Dakota State,,Akron,REG (Non-Conf),L 75-81,,11,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,,0,0,0,0,0,0,2,2,3,-1.5,H,0,1,matthew-mors-1,Matthew Mors,2024
2,34,2,2023-11-08,South Dakota State,,Dakota Wesleyan,REG (Non-Conf),W 83-55,,17,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,3,0.333,2,0,2,0,0,0,1,1,5,0.8,H,1,1,matthew-mors-1,Matthew Mors,2024
3,35,3,2023-11-13,South Dakota State,@,Kansas State,REG (Non-Conf),L 68-91,,10,0,0,,0,0,,0,0,,,0,1,0.0,1,0,1,0,0,1,0,2,0,0.2,A,0,1,matthew-mors-1,Matthew Mors,2024
4,36,4,2023-11-19,South Dakota State,N,UCF,REG (Non-Conf),L 80-83,,13,0,2,0.0,0,1,0.0,0,1,0.0,0.0,3,4,0.75,0,1,1,0,0,0,1,0,3,0.5,N,0,1,matthew-mors-1,Matthew Mors,2024
5,37,5,2023-11-20,South Dakota State,N,George Mason,REG (Non-Conf),L 71-73,,10,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,1,1,2,0,0,0,0,1,0,-1.5,N,0,1,matthew-mors-1,Matthew Mors,2024
6,38,6,2023-11-22,South Dakota State,@,Southern Mississippi,REG (Non-Conf),W 65-54,,4,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,0,1,0,0,0,1,0,0,-1.7,A,1,1,matthew-mors-1,Matthew Mors,2024
7,39,7,2023-11-27,South Dakota State,,Mount Marty,REG (Non-Conf),W 92-70,,15,4,8,0.5,1,3,0.333,3,5,0.6,0.563,0,0,,1,2,3,2,2,0,0,2,9,8.9,H,1,1,matthew-mors-1,Matthew Mors,2024
8,40,8,2023-12-01,South Dakota State,N,Towson,REG (Non-Conf),W 61-48,,5,2,2,1.0,1,1,1.0,1,1,1.0,1.25,0,0,,0,0,0,1,0,0,0,1,5,4.7,N,1,1,matthew-mors-1,Matthew Mors,2024
9,41,9,2023-12-05,South Dakota State,,Kent State,REG (Non-Conf),L 73-82,,14,3,6,0.5,0,2,0.0,3,4,0.75,0.5,3,4,0.75,0,1,1,2,0,0,1,2,9,5.5,H,0,1,matthew-mors-1,Matthew Mors,2024
10,42,10,2023-12-09,South Dakota State,N,Wichita State,REG (Non-Conf),W 79-69,,16,2,6,0.333,2,4,0.5,0,2,0.0,0.5,3,4,0.75,2,2,4,0,0,0,1,1,9,5.8,N,1,1,matthew-mors-1,Matthew Mors,2024
11,43,11,2023-12-14,South Dakota State,,Mayville St,REG (Non-Conf),W 94-62,,21,1,5,0.2,1,5,0.2,0,0,,0.3,1,2,0.5,0,3,3,0,0,2,1,1,4,1.4,H,1,1,matthew-mors-1,Matthew Mors,2024
12,44,12,2023-12-20,South Dakota State,N,Wyoming,REG (Non-Conf),L 65-78,,8,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2.1,N,0,1,matthew-mors-1,Matthew Mors,2024
13,45,13,2023-12-21,South Dakota State,N,Norfolk State,REG (Non-Conf),L 65-84,,8,2,3,0.667,0,1,0.0,2,2,1.0,0.667,2,2,1.0,1,2,3,0,0,1,2,0,6,4.7,N,0,1,matthew-mors-1,Matthew Mors,2024
14,46,14,2023-12-31,South Dakota State,,North Dakota,REG (Conf),W 80-61,,9,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,3,2,5,1,0,0,1,0,2,4.1,H,1,1,matthew-mors-1,Matthew Mors,2024
15,47,15,2024-01-03,South Dakota State,@,Weber State,REG (Non-Conf),L 73-75,,8,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,0,0,0,0,0,1,2,4,1.6,A,0,1,matthew-mors-1,Matthew Mors,2024
16,48,16,2024-01-06,South Dakota State,,Montana State,REG (Non-Conf),W 89-61,,15,3,3,1.0,0,0,,3,3,1.0,1.0,3,4,0.75,0,1,1,0,0,0,0,4,9,6.4,H,1,1,matthew-mors-1,Matthew Mors,2024
17,49,17,2024-01-11,South Dakota State,@,St. Thomas,REG (Conf),W 81-80,,6,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,0,0,2,0,0,0,0,3,4.1,A,1,1,matthew-mors-1,Matthew Mors,2024
18,50,18,2024-01-13,South Dakota State,@,Denver,REG (Conf),L 80-99,,7,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,2,1,3,0,0,0,0,1,4,4.0,A,0,1,matthew-mors-1,Matthew Mors,2024
19,51,19,2024-01-18,South Dakota State,,Omaha,REG (Conf),W 90-87,,13,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,1,1,0,0,0,0,0,4,3.0,H,1,1,matthew-mors-1,Matthew Mors,2024
20,52,20,2024-01-20,South Dakota State,@,South Dakota,REG (Conf),W 73-55,,17,3,3,1.0,0,0,,3,3,1.0,1.0,0,0,,0,1,1,1,2,0,2,2,6,5.3,A,1,1,matthew-mors-1,Matthew Mors,2024
21,53,21,2024-01-25,South Dakota State,,Kansas City,REG (Conf),W 75-66,,9,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,1,0,1,0,0,0,1,0,2,1.0,H,1,1,matthew-mors-1,Matthew Mors,2024
22,54,22,2024-01-27,South Dakota State,@,Oral Roberts,REG (Conf),L 82-87,,9,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,2,1,3,1,0,0,0,0,0,0.3,A,0,1,matthew-mors-1,Matthew Mors,2024
