rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,114,1,2023-11-06,James Madison,@,Michigan State,REG (Non-Conf),W 79-76 (OT),,34,5,13,0.385,3,7,0.429,2,6,0.333,0.5,0,0,,0,3,3,3,1,0,2,1,13,7.5,A,1,1,michael-greeniii-1,Michael Green III,2024
2,115,2,2023-11-09,James Madison,@,Kent State,REG (Non-Conf),W 113-108 (2OT),*,31,4,8,0.5,2,5,0.4,2,3,0.667,0.625,3,4,0.75,0,0,0,2,3,0,2,3,13,9.8,A,1,1,michael-greeniii-1,Michael Green III,2024
3,116,3,2023-11-12,James Madison,,Howard,REG (Non-Conf),W 107-86,*,25,5,9,0.556,5,8,0.625,0,1,0.0,0.833,2,2,1.0,0,1,1,8,0,0,1,2,17,16.8,H,1,1,michael-greeniii-1,Michael Green III,2024
4,117,4,2023-11-17,James Madison,,Radford,REG (Non-Conf),W 76-73,*,27,4,7,0.571,0,3,0.0,4,4,1.0,0.571,0,0,,0,2,2,5,2,0,2,2,8,8.0,H,1,1,michael-greeniii-1,Michael Green III,2024
5,118,5,2023-11-21,James Madison,N,Southern Illinois,REG (Non-Conf),W 82-76,*,24,2,12,0.167,1,3,0.333,1,9,0.111,0.208,0,0,,1,0,1,3,1,1,1,4,5,-0.7,N,1,1,michael-greeniii-1,Michael Green III,2024
6,119,6,2023-11-22,James Madison,N,Fresno State,REG (Non-Conf),W 95-64,*,21,2,8,0.25,1,3,0.333,1,5,0.2,0.313,0,0,,1,0,1,3,0,0,2,2,5,0.2,N,1,1,michael-greeniii-1,Michael Green III,2024
7,120,7,2023-11-29,James Madison,,Buffalo,REG (Non-Conf),W 81-66,*,32,5,10,0.5,4,8,0.5,1,2,0.5,0.7,0,0,,0,1,1,5,2,0,0,3,14,13.6,H,1,1,michael-greeniii-1,Michael Green III,2024
8,121,8,2023-12-03,James Madison,,Keystone,REG (Non-Conf),W 130-59,*,18,8,11,0.727,4,7,0.571,4,4,1.0,0.909,1,1,1.0,0,2,2,4,0,0,1,0,21,18.9,H,1,1,michael-greeniii-1,Michael Green III,2024
9,122,9,2023-12-09,James Madison,@,Old Dominion,REG (Non-Conf),W 84-69,*,28,5,8,0.625,2,4,0.5,3,4,0.75,0.75,1,2,0.5,0,2,2,9,1,0,3,1,13,13.5,A,1,1,michael-greeniii-1,Michael Green III,2024
10,123,10,2023-12-16,James Madison,@,Hampton,REG (Non-Conf),W 88-71,*,32,6,15,0.4,4,8,0.5,2,7,0.286,0.533,0,0,,0,0,0,8,2,0,2,2,16,12.7,A,1,1,michael-greeniii-1,Michael Green III,2024
11,124,11,2023-12-19,James Madison,,Coppin State,REG (Non-Conf),W 87-48,*,24,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,0,2,2,4,6,0,2,3,6,8.8,H,1,1,michael-greeniii-1,Michael Green III,2024
12,125,12,2023-12-22,James Madison,@,Morgan State,REG (Non-Conf),W 89-75,*,26,2,8,0.25,1,5,0.2,1,3,0.333,0.313,2,2,1.0,1,0,1,4,0,0,1,3,7,3.5,A,1,1,michael-greeniii-1,Michael Green III,2024
13,126,13,2023-12-30,James Madison,,Texas State,REG (Conf),W 82-65,*,31,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,0,2,2,4,0,0,1,2,7,4.2,H,1,1,michael-greeniii-1,Michael Green III,2024
14,127,14,2024-01-04,James Madison,@,Louisiana,REG (Conf),W 68-61,*,26,2,6,0.333,0,2,0.0,2,4,0.5,0.333,2,2,1.0,1,2,3,1,1,0,4,2,6,0.8,A,1,1,michael-greeniii-1,Michael Green III,2024
15,128,15,2024-01-06,James Madison,@,Southern Mississippi,REG (Conf),L 71-81,*,24,1,9,0.111,0,5,0.0,1,4,0.25,0.111,0,0,,0,1,1,0,1,0,1,3,2,-4.8,A,0,1,michael-greeniii-1,Michael Green III,2024
16,129,16,2024-01-11,James Madison,,South Alabama,REG (Conf),W 89-55,*,25,2,9,0.222,0,7,0.0,2,2,1.0,0.222,0,0,,0,1,1,4,3,0,0,2,4,3.8,H,1,1,michael-greeniii-1,Michael Green III,2024
17,130,17,2024-01-13,James Madison,,Appalachian State,REG (Conf),L 55-59,*,17,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,0,0,0,0,0,2,0,2,-2.4,H,0,1,michael-greeniii-1,Michael Green III,2024
18,131,18,2024-01-18,James Madison,,Louisiana–Monroe,REG (Conf),W 89-70,*,11,0,5,0.0,0,4,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,2,0,-4.3,H,1,1,michael-greeniii-1,Michael Green III,2024
19,132,19,2024-01-20,James Madison,,Marshall,REG (Conf),W 67-52,,9,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,4,4,5,0,0,0,5,0,0.6,H,1,1,michael-greeniii-1,Michael Green III,2024
20,133,20,2024-01-24,James Madison,@,Old Dominion,REG (Conf),W 78-62,,12,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,1,0,1,2,0,1,1,0,1,1.0,A,1,1,michael-greeniii-1,Michael Green III,2024
21,134,21,2024-01-27,James Madison,@,Appalachian State,REG (Conf),L 76-82,,21,2,9,0.222,2,2,1.0,0,7,0.0,0.333,0,0,,0,2,2,5,0,0,1,4,6,2.0,A,0,1,michael-greeniii-1,Michael Green III,2024
22,135,22,2024-02-01,James Madison,,Coastal Carolina,REG (Conf),W 105-67,,19,2,5,0.4,0,3,0.0,2,2,1.0,0.4,0,0,,0,0,0,5,0,0,2,2,4,2.0,H,1,1,michael-greeniii-1,Michael Green III,2024
23,136,23,2024-02-03,James Madison,,Old Dominion,REG (Conf),W 78-63,,14,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,1,1,2,1,0,1,3,0,-1.6,H,1,1,michael-greeniii-1,Michael Green III,2024
24,137,24,2024-02-07,James Madison,@,Arkansas State,REG (Conf),W 77-73,,15,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,0,2,2,2,0,0,0,1,6,3.9,A,1,1,michael-greeniii-1,Michael Green III,2024
25,138,25,2024-02-10,James Madison,,Akron,REG (Non-Conf),W 73-59,,28,6,9,0.667,4,5,0.8,2,4,0.5,0.889,1,2,0.5,0,2,2,4,1,0,0,2,17,16.3,H,1,1,michael-greeniii-1,Michael Green III,2024
26,139,26,2024-02-15,James Madison,,Georgia State,REG (Conf),W 83-63,,14,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,0,0,0,1,0,1,1,2,-0.8,H,1,1,michael-greeniii-1,Michael Green III,2024
27,140,27,2024-02-17,James Madison,,Georgia Southern,REG (Conf),W 87-80,*,20,0,0,,0,0,,0,0,,,0,2,0.0,0,0,0,3,1,0,1,1,0,0.9,H,1,1,michael-greeniii-1,Michael Green III,2024
28,141,28,2024-02-21,James Madison,@,Marshall,REG (Conf),W 84-58,,21,1,4,0.25,1,4,0.25,0,0,,0.375,2,4,0.5,0,2,2,6,1,0,3,3,5,3.4,A,1,1,michael-greeniii-1,Michael Green III,2024
29,142,29,2024-02-24,James Madison,@,Georgia Southern,REG (Conf),W 80-74,,20,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,1,1,4,0,0,2,2,0,-2.5,A,1,1,michael-greeniii-1,Michael Green III,2024
30,143,30,2024-02-28,James Madison,@,Georgia State,REG (Conf),W 84-78,,16,1,5,0.2,0,2,0.0,1,3,0.333,0.2,1,2,0.5,0,3,3,2,1,0,1,4,3,0.2,A,1,1,michael-greeniii-1,Michael Green III,2024
31,144,31,2024-03-01,James Madison,@,Coastal Carolina,REG (Conf),W 86-76,,20,6,11,0.545,4,9,0.444,2,2,1.0,0.727,0,0,,0,0,0,2,1,0,4,0,16,9.1,A,1,1,michael-greeniii-1,Michael Green III,2024
32,145,32,2024-03-09,James Madison,N,Marshall,CTOURN,W 81-64,,18,5,10,0.5,2,5,0.4,3,5,0.6,0.6,0,0,,1,2,3,1,1,0,2,0,12,8.0,N,1,0,michael-greeniii-1,Michael Green III,2024
33,146,33,2024-03-10,James Madison,N,Texas State,CTOURN,W 73-68,,13,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,0,0,2,1,0,2,3,6,4.6,N,1,0,michael-greeniii-1,Michael Green III,2024
34,147,34,2024-03-11,James Madison,N,Arkansas State,CTOURN,W 91-71,,13,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,0,0,2,0,0,0,2,6,6.0,N,1,0,michael-greeniii-1,Michael Green III,2024
35,148,35,2024-03-22,James Madison,N,Wisconsin,ROUND-64,W 72-61,,21,3,7,0.429,2,4,0.5,1,3,0.333,0.571,3,4,0.75,0,0,0,3,1,0,0,2,11,9.2,N,1,0,michael-greeniii-1,Michael Green III,2024
36,149,36,2024-03-24,James Madison,N,Duke,ROUND-32,L 55-93,,24,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,0,1,1,2,0,0,0,1,7,5.3,N,0,0,michael-greeniii-1,Michael Green III,2024
