rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2023-11-06,Wisconsin,,Arkansas State,REG (Non-Conf),W 105-76,,15,3,3,1.0,0,0,,3,3,1.0,1.0,0,1,0.0,2,5,7,0,1,0,0,1,6,8.2,H,1,1,nolan-winter-2,Nolan Winter,2024
2,2,2,2023-11-10,Wisconsin,,Tennessee,REG (Non-Conf),L 70-80,,12,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,1,0,1,1,0,0,0,0,2,1.7,H,0,1,nolan-winter-2,Nolan Winter,2024
3,3,3,2023-11-14,Wisconsin,@,Providence,REG (Non-Conf),L 59-72,,6,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,2,0,2,0,1,0,0,2,3,3.6,A,0,1,nolan-winter-2,Nolan Winter,2024
4,4,4,2023-11-17,Wisconsin,,Robert Morris,REG (Non-Conf),W 78-68,,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,1,2,1,0,0,0,0,0,1.0,H,1,1,nolan-winter-2,Nolan Winter,2024
5,5,5,2023-11-20,Wisconsin,N,Virginia,REG (Non-Conf),W 65-41,,11,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,1,2,3,0,1,0,0,0,3,3.6,N,1,1,nolan-winter-2,Nolan Winter,2024
6,6,6,2023-11-22,Wisconsin,N,SMU,REG (Non-Conf),W 69-61,,8,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,1,1,0,0,0,1,0,2,0.3,N,1,1,nolan-winter-2,Nolan Winter,2024
7,7,7,2023-11-27,Wisconsin,,Western Illinois,REG (Non-Conf),W 71-49,,10,0,1,0.0,0,1,0.0,0,0,,0.0,3,4,0.75,1,0,1,0,0,0,1,2,3,0.8,H,1,1,nolan-winter-2,Nolan Winter,2024
8,8,8,2023-12-02,Wisconsin,,Marquette,REG (Non-Conf),W 75-64,,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,1.0,H,1,1,nolan-winter-2,Nolan Winter,2024
9,9,9,2023-12-05,Wisconsin,@,Michigan State,REG (Conf),W 70-57,,8,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,3,3,0,1,0,0,2,2,1.4,A,1,1,nolan-winter-2,Nolan Winter,2024
10,10,10,2023-12-09,Wisconsin,@,Arizona,REG (Non-Conf),L 73-98,,14,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,2,0,0,0,2,3,2.9,A,0,1,nolan-winter-2,Nolan Winter,2024
11,11,11,2023-12-14,Wisconsin,,Jacksonville State,REG (Non-Conf),W 75-60,,15,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,1,0.0,1,2,3,0,0,0,0,0,5,4.6,H,1,1,nolan-winter-2,Nolan Winter,2024
