rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2023-11-06,Duke,,Dartmouth,REG (Non-Conf),W 92-54,,10,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,1,4,5,0,1,0,0,1,6,6.9,H,1,1,sean-stewart-2,Sean Stewart,2024
2,2,2,2023-11-10,Duke,,Arizona,REG (Non-Conf),L 73-78,,4,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,1,2,0,0,0,0,1,2,2.3,H,0,1,sean-stewart-2,Sean Stewart,2024
3,3,3,2023-11-14,Duke,N,Michigan State,REG (Non-Conf),W 74-65,,4,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,1,1,0,0,0.0,N,1,1,sean-stewart-2,Sean Stewart,2024
4,4,4,2023-11-17,Duke,,Bucknell,REG (Non-Conf),W 90-60,,16,3,7,0.429,0,0,3,7,0.429,0.429,0,1,0.0,3,4,7,1,3,0,0,4,6,7.3,H,1,1,sean-stewart-2,Sean Stewart,2024
5,5,5,2023-11-21,Duke,,La Salle,REG (Non-Conf),W 95-66,,18,7,9,0.778,0,0,7,9,0.778,0.778,2,2,1.0,6,4,10,0,0,1,1,3,16,16.4,H,1,1,sean-stewart-2,Sean Stewart,2024
6,6,6,2023-11-24,Duke,,Southern Indiana,REG (Non-Conf),W 80-62,,11,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,3,0,3,0,0,1,0,0,0,1.4,H,1,1,sean-stewart-2,Sean Stewart,2024
7,7,7,2023-11-29,Duke,@,Arkansas,REG (Non-Conf),L 75-80,,3,0,0,,0,0,0,0,,,0,2,0.0,0,0,0,0,0,0,0,0,0,-0.8,A,0,1,sean-stewart-2,Sean Stewart,2024
8,8,8,2023-12-02,Duke,@,Georgia Tech,REG (Conf),L 68-72,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,A,0,1,sean-stewart-2,Sean Stewart,2024
9,9,9,2023-12-09,Duke,,Charlotte,REG (Non-Conf),W 80-56,,6,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,1,1,0,1,0,1,1,0,-0.8,H,1,1,sean-stewart-2,Sean Stewart,2024
10,10,10,2023-12-12,Duke,,Hofstra,REG (Non-Conf),W 89-68,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,H,1,1,sean-stewart-2,Sean Stewart,2024
11,11,12,2023-12-30,Duke,,Queens (NC),REG (Non-Conf),W 106-69,,10,2,5,0.4,0,0,2,5,0.4,0.4,1,2,0.5,2,3,5,0,0,2,1,2,5,3.8,H,1,1,sean-stewart-2,Sean Stewart,2024
12,12,13,2024-01-02,Duke,,Syracuse,REG (Conf),W 86-66,,4,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,0,0,0,1,0,0,2,0,-0.5,H,1,1,sean-stewart-2,Sean Stewart,2024
13,13,15,2024-01-09,Duke,@,Pittsburgh,REG (Conf),W 75-53,,8,1,3,0.333,0,0,1,3,0.333,0.333,2,2,1.0,3,1,4,0,1,1,0,0,4,6.4,A,1,1,sean-stewart-2,Sean Stewart,2024
14,14,17,2024-01-20,Duke,,Pittsburgh,REG (Conf),L 76-80,,11,0,0,,0,0,0,0,,,0,2,0.0,0,2,2,0,0,0,0,0,0,-0.2,H,0,1,sean-stewart-2,Sean Stewart,2024
15,15,18,2024-01-23,Duke,@,Louisville,REG (Conf),W 83-69,,15,0,1,0.0,0,0,0,1,0.0,0.0,2,2,1.0,3,3,6,0,0,2,0,4,2,4.1,A,1,1,sean-stewart-2,Sean Stewart,2024
16,16,19,2024-01-27,Duke,,Clemson,REG (Conf),W 72-71,,7,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,H,1,1,sean-stewart-2,Sean Stewart,2024
17,17,20,2024-01-29,Duke,@,Virginia Tech,REG (Conf),W 77-67,,4,0,0,,0,0,0,0,,,0,0,,1,0,1,0,0,0,0,0,0,0.7,A,1,1,sean-stewart-2,Sean Stewart,2024
18,18,21,2024-02-03,Duke,@,North Carolina,REG (Conf),L 84-93,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,0,1,sean-stewart-2,Sean Stewart,2024
19,19,22,2024-02-07,Duke,,Notre Dame,REG (Conf),W 71-53,,11,2,3,0.667,0,0,2,3,0.667,0.667,0,2,0.0,2,3,5,0,3,1,1,1,4,6.5,H,1,1,sean-stewart-2,Sean Stewart,2024
20,20,23,2024-02-10,Duke,,Boston College,REG (Conf),W 80-65,,12,2,3,0.667,0,0,2,3,0.667,0.667,1,2,0.5,0,2,2,1,1,0,0,2,5,4.8,H,1,1,sean-stewart-2,Sean Stewart,2024
21,21,24,2024-02-12,Duke,,Wake Forest,REG (Conf),W 77-69,,2,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,1,2,0,-1.5,H,1,1,sean-stewart-2,Sean Stewart,2024
22,22,25,2024-02-17,Duke,@,Florida State,REG (Conf),W 76-67,,4,0,0,,0,0,0,0,,,0,0,,2,2,4,0,1,0,0,1,0,2.6,A,1,1,sean-stewart-2,Sean Stewart,2024
23,23,26,2024-02-21,Duke,@,Miami (FL),REG (Conf),W 84-55,,11,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,3,5,8,0,1,0,1,4,2,2.3,A,1,1,sean-stewart-2,Sean Stewart,2024
24,24,27,2024-02-24,Duke,@,Wake Forest,REG (Conf),L 79-83,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,0,1,sean-stewart-2,Sean Stewart,2024
25,25,28,2024-02-28,Duke,,Louisville,REG (Conf),W 84-59,,11,3,3,1.0,0,0,3,3,1.0,1.0,3,4,0.75,4,5,9,2,0,0,1,3,9,11.2,H,1,1,sean-stewart-2,Sean Stewart,2024
26,26,29,2024-03-02,Duke,,Virginia,REG (Conf),W 73-48,,15,3,6,0.5,0,0,3,6,0.5,0.5,0,0,,2,6,8,1,1,1,1,1,6,7.2,H,1,1,sean-stewart-2,Sean Stewart,2024
27,27,30,2024-03-04,Duke,@,NC State,REG (Conf),W 79-64,,26,5,7,0.714,0,0,5,7,0.714,0.714,2,3,0.667,4,1,5,1,2,3,0,4,12,15.0,A,1,1,sean-stewart-2,Sean Stewart,2024
28,28,31,2024-03-09,Duke,,North Carolina,REG (Conf),L 79-84,,7,0,0,,0,0,0,0,,,0,0,,1,0,1,0,0,1,0,4,0,-0.2,H,0,1,sean-stewart-2,Sean Stewart,2024
29,29,32,2024-03-14,Duke,N,NC State,CTOURN,L 69-74,,4,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,1,0,0,-1.4,N,0,0,sean-stewart-2,Sean Stewart,2024
30,30,33,2024-03-22,Duke,N,Vermont,ROUND-64,W 64-47,,6,0,0,,0,0,0,0,,,1,2,0.5,0,1,1,0,0,0,1,1,1,-0.5,N,1,0,sean-stewart-2,Sean Stewart,2024
31,31,34,2024-03-24,Duke,N,James Madison,ROUND-32,W 93-55,,15,2,2,1.0,0,0,2,2,1.0,1.0,1,2,0.5,2,5,7,1,1,0,1,3,5,6.4,N,1,0,sean-stewart-2,Sean Stewart,2024
32,32,35,2024-03-29,Duke,N,Houston,ROUND-16,W 54-51,,3,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,N,1,0,sean-stewart-2,Sean Stewart,2024
33,33,36,2024-03-31,Duke,N,NC State,ROUND-8,L 64-76,,11,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,3,4,0,0,2,0,3,2,3.5,N,0,0,sean-stewart-2,Sean Stewart,2024
