rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,91,1,2023-11-06,Marquette,,Northern Illinois,REG (Non-Conf),W 92-70,*,26,5,8,0.625,3,4,0.75,2,4,0.5,0.813,1,2,0.5,0,5,5,4,1,0,3,1,14,11.9,H,1,1,tyler-kolek-1,Tyler Kolek,2024
2,92,2,2023-11-10,Marquette,,Rider,REG (Non-Conf),W 95-65,*,21,2,4,0.5,0,0,,2,4,0.5,0.5,2,2,1.0,2,3,5,6,0,0,1,1,6,9.1,H,1,1,tyler-kolek-1,Tyler Kolek,2024
3,93,3,2023-11-14,Marquette,@,Illinois,REG (Non-Conf),W 71-64,*,37,10,18,0.556,1,2,0.5,9,16,0.563,0.583,3,4,0.75,0,6,6,4,2,0,4,0,24,17.6,A,1,1,tyler-kolek-1,Tyler Kolek,2024
4,94,4,2023-11-20,Marquette,N,UCLA,REG (Non-Conf),W 71-69,*,33,3,7,0.429,1,3,0.333,2,4,0.5,0.5,2,2,1.0,1,4,5,9,1,0,4,1,9,10.1,N,1,1,tyler-kolek-1,Tyler Kolek,2024
5,95,5,2023-11-21,Marquette,N,Kansas,REG (Non-Conf),W 73-59,*,33,3,9,0.333,0,2,0.0,3,7,0.429,0.333,0,0,,1,3,4,4,5,0,4,2,6,5.5,N,1,1,tyler-kolek-1,Tyler Kolek,2024
6,96,6,2023-11-22,Marquette,N,Purdue,REG (Non-Conf),L 75-78,*,37,8,14,0.571,2,5,0.4,6,9,0.667,0.643,4,4,1.0,1,6,7,6,1,0,3,0,22,20.1,N,0,1,tyler-kolek-1,Tyler Kolek,2024
7,97,7,2023-11-28,Marquette,,Southern,REG (Non-Conf),W 93-56,*,20,6,8,0.75,4,5,0.8,2,3,0.667,1.0,0,0,,0,3,3,3,2,0,0,0,16,17.8,H,1,1,tyler-kolek-1,Tyler Kolek,2024
8,98,8,2023-12-02,Marquette,@,Wisconsin,REG (Non-Conf),L 64-75,*,35,4,11,0.364,1,5,0.2,3,6,0.5,0.409,2,3,0.667,0,3,3,6,0,0,1,1,11,8.2,A,0,1,tyler-kolek-1,Tyler Kolek,2024
9,99,9,2023-12-06,Marquette,,Texas,REG (Non-Conf),W 86-65,*,32,11,16,0.688,4,9,0.444,7,7,1.0,0.813,2,2,1.0,0,8,8,6,3,0,4,1,28,26.4,H,1,1,tyler-kolek-1,Tyler Kolek,2024
10,100,10,2023-12-09,Marquette,,Notre Dame,REG (Non-Conf),W 78-59,*,27,6,8,0.75,1,3,0.333,5,5,1.0,0.813,4,4,1.0,0,7,7,7,2,0,2,0,17,20.8,H,1,1,tyler-kolek-1,Tyler Kolek,2024
