rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2023-11-07,Baylor,N,Auburn,REG (Non-Conf),W 88-82,,18,3,5,0.6,0,0,3,5,0.6,0.6,4,6,0.667,0,1,1,0,2,2,1,4,10,8.0,N,1,1,yves-missi-2,Yves Missi,2024
2,2,2,2023-11-09,Baylor,,John Brown,REG (Non-Conf),W 96-70,,21,4,6,0.667,0,0,4,6,0.667,0.667,2,4,0.5,4,2,6,0,2,3,0,1,10,13.7,H,1,1,yves-missi-2,Yves Missi,2024
3,3,3,2023-11-12,Baylor,,Gardner-Webb,REG (Non-Conf),W 77-62,*,23,5,8,0.625,0,0,5,8,0.625,0.625,1,2,0.5,4,4,8,0,1,5,1,2,11,13.7,H,1,1,yves-missi-2,Yves Missi,2024
4,4,4,2023-11-14,Baylor,,Kansas City,REG (Non-Conf),W 99-61,*,17,1,4,0.25,0,0,1,4,0.25,0.25,0,5,0.0,3,2,5,0,1,1,0,1,2,1.6,H,1,1,yves-missi-2,Yves Missi,2024
5,5,5,2023-11-22,Baylor,N,Oregon State,REG (Non-Conf),W 88-72,*,25,5,9,0.556,0,0,5,9,0.556,0.556,4,8,0.5,6,8,14,1,0,2,1,4,14,14.2,N,1,1,yves-missi-2,Yves Missi,2024
6,6,6,2023-11-24,Baylor,N,Florida,REG (Non-Conf),W 95-91,*,12,3,3,1.0,0,0,3,3,1.0,1.0,2,2,1.0,0,0,0,1,1,0,2,4,8,5.2,N,1,1,yves-missi-2,Yves Missi,2024
7,7,7,2023-11-28,Baylor,,Nicholls State,REG (Non-Conf),W 108-70,*,12,2,4,0.5,0,0,2,4,0.5,0.5,5,8,0.625,3,4,7,0,0,2,0,0,9,10.5,H,1,1,yves-missi-2,Yves Missi,2024
8,8,8,2023-12-02,Baylor,,Northwestern State,REG (Non-Conf),W 91-40,*,18,4,5,0.8,0,0,4,5,0.8,0.8,5,8,0.625,2,8,10,0,0,4,0,0,13,16.5,H,1,1,yves-missi-2,Yves Missi,2024
9,9,9,2023-12-05,Baylor,,Seton Hall,REG (Non-Conf),W 78-60,*,26,6,9,0.667,0,0,6,9,0.667,0.667,1,4,0.25,5,3,8,0,1,1,1,2,13,12.2,H,1,1,yves-missi-2,Yves Missi,2024
10,10,10,2023-12-16,Baylor,N,Michigan State,REG (Non-Conf),L 64-88,*,19,5,6,0.833,0,0,5,6,0.833,0.833,1,4,0.25,1,2,3,0,1,0,2,4,11,6.3,N,0,1,yves-missi-2,Yves Missi,2024
11,11,11,2023-12-20,Baylor,N,Duke,REG (Non-Conf),L 70-78,*,26,4,7,0.571,0,0,4,7,0.571,0.571,3,3,1.0,8,2,10,0,1,5,2,4,11,14.8,N,0,1,yves-missi-2,Yves Missi,2024
12,12,13,2024-01-02,Baylor,,Cornell,REG (Non-Conf),W 98-79,*,21,8,8,1.0,0,0,8,8,1.0,1.0,0,0,,3,2,5,0,1,0,2,3,16,14.1,H,1,1,yves-missi-2,Yves Missi,2024
13,13,14,2024-01-06,Baylor,@,Oklahoma State,REG (Conf),W 75-70 (OT),*,30,6,9,0.667,0,0,6,9,0.667,0.667,1,3,0.333,6,4,10,1,3,0,0,2,13,16.6,A,1,1,yves-missi-2,Yves Missi,2024
14,14,15,2024-01-09,Baylor,,Brigham Young,REG (Conf),W 81-72,*,24,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,1,3,0,-3.3,H,1,1,yves-missi-2,Yves Missi,2024
15,15,16,2024-01-13,Baylor,,Cincinnati,REG (Conf),W 62-59,*,12,2,4,0.5,0,0,2,4,0.5,0.5,0,2,0.0,1,1,2,0,0,0,0,3,4,1.0,H,1,1,yves-missi-2,Yves Missi,2024
16,16,17,2024-01-16,Baylor,@,Kansas State,REG (Conf),L 64-68 (OT),*,24,3,8,0.375,0,0,3,8,0.375,0.375,3,7,0.429,7,4,11,0,0,1,1,2,9,8.0,A,0,1,yves-missi-2,Yves Missi,2024
17,17,18,2024-01-20,Baylor,@,Texas,REG (Conf),L 73-75,*,21,3,4,0.75,0,0,3,4,0.75,0.75,1,2,0.5,1,1,2,0,0,1,1,4,7,4.1,A,0,1,yves-missi-2,Yves Missi,2024
18,18,19,2024-01-27,Baylor,,TCU,REG (Conf),L 102-105 (3OT),*,42,10,14,0.714,0,0,10,14,0.714,0.714,5,7,0.714,4,5,9,0,1,1,1,1,25,23.0,H,0,1,yves-missi-2,Yves Missi,2024
19,19,20,2024-01-31,Baylor,@,UCF,REG (Conf),W 77-69,*,25,5,8,0.625,0,0,5,8,0.625,0.625,1,1,1.0,1,0,1,0,0,2,1,3,11,7.3,A,1,1,yves-missi-2,Yves Missi,2024
20,20,21,2024-02-03,Baylor,,Iowa State,REG (Conf),W 70-68,*,20,2,5,0.4,0,0,2,5,0.4,0.4,2,2,1.0,1,1,2,1,1,4,1,4,6,6.2,H,1,1,yves-missi-2,Yves Missi,2024
21,21,22,2024-02-06,Baylor,,Texas Tech,REG (Conf),W 79-73,*,26,5,7,0.714,0,0,5,7,0.714,0.714,7,8,0.875,2,5,7,1,1,1,1,3,17,16.8,H,1,1,yves-missi-2,Yves Missi,2024
22,22,23,2024-02-10,Baylor,@,Kansas,REG (Conf),L 61-64,*,29,6,9,0.667,0,0,6,9,0.667,0.667,9,12,0.75,1,7,8,1,0,2,1,3,21,18.6,A,0,1,yves-missi-2,Yves Missi,2024
