rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,100,1,2023-11-06,Purdue,,Samford,REG (Non-Conf),W 98-45,*,20,5,6,0.833,0,0,,5,6,0.833,0.833,6,10,0.6,3,8,11,2,0,4,1,1,16,19.5,H,1,1,zach-edey-1,Zach Edey,2024
2,101,2,2023-11-10,Purdue,,Morehead State,REG (Non-Conf),W 87-57,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,8,9,0.889,2,6,8,3,0,3,2,0,18,19.4,H,1,1,zach-edey-1,Zach Edey,2024
3,102,3,2023-11-13,Purdue,,Xavier,REG (Non-Conf),W 83-71,*,33,9,17,0.529,0,0,,9,17,0.529,0.529,10,11,0.909,3,8,11,1,0,4,2,1,28,24.9,H,1,1,zach-edey-1,Zach Edey,2024
4,103,4,2023-11-20,Purdue,N,Gonzaga,REG (Non-Conf),W 73-63,*,33,8,16,0.5,0,0,,8,16,0.5,0.5,9,10,0.9,5,9,14,0,0,3,1,0,25,23.9,N,1,1,zach-edey-1,Zach Edey,2024
5,104,5,2023-11-21,Purdue,N,Tennessee,REG (Non-Conf),W 71-67,*,26,7,10,0.7,0,0,,7,10,0.7,0.7,9,17,0.529,7,3,10,0,0,1,0,4,23,20.5,N,1,1,zach-edey-1,Zach Edey,2024
6,105,6,2023-11-22,Purdue,N,Marquette,REG (Non-Conf),W 78-75,*,36,11,19,0.579,0,0,,11,19,0.579,0.579,6,9,0.667,7,8,15,0,1,2,5,2,28,21.8,N,1,1,zach-edey-1,Zach Edey,2024
7,106,7,2023-11-28,Purdue,,Texas Southern,REG (Non-Conf),W 99-67,*,21,4,4,1.0,0,0,,4,4,1.0,1.0,7,10,0.7,1,5,6,0,0,3,0,2,15,16.1,H,1,1,zach-edey-1,Zach Edey,2024
8,107,8,2023-12-01,Purdue,@,Northwestern,REG (Conf),L 88-92 (OT),*,38,10,17,0.588,0,0,,10,17,0.588,0.588,15,20,0.75,5,9,14,1,0,3,3,4,35,29.5,A,0,1,zach-edey-1,Zach Edey,2024
9,108,9,2023-12-04,Purdue,,Iowa,REG (Conf),W 87-68,*,24,9,10,0.9,0,0,,9,10,0.9,0.9,7,9,0.778,9,3,12,3,0,3,1,1,25,30.8,H,1,1,zach-edey-1,Zach Edey,2024
10,109,10,2023-12-09,Purdue,N,Alabama,REG (Non-Conf),W 92-86,*,36,12,20,0.6,0,0,,12,20,0.6,0.6,11,11,1.0,2,5,7,2,0,0,2,3,35,26.9,N,1,1,zach-edey-1,Zach Edey,2024
11,110,11,2023-12-16,Purdue,N,Arizona,REG (Non-Conf),W 92-84,*,36,8,15,0.533,0,0,,8,15,0.533,0.533,6,9,0.667,2,7,9,5,2,1,4,3,22,18.0,N,1,1,zach-edey-1,Zach Edey,2024
12,111,12,2023-12-21,Purdue,,Jacksonville,REG (Non-Conf),W 100-57,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,8,8,1.0,2,6,8,2,0,2,2,0,18,18.4,H,1,1,zach-edey-1,Zach Edey,2024
13,112,13,2023-12-29,Purdue,,Eastern Kentucky,REG (Non-Conf),W 80-53,*,26,5,7,0.714,0,1,0.0,5,6,0.833,0.714,3,5,0.6,2,5,7,2,1,2,1,0,13,15.0,H,1,1,zach-edey-1,Zach Edey,2024
14,113,14,2024-01-02,Purdue,@,Maryland,REG (Conf),W 67-53,*,34,8,13,0.615,0,0,,8,13,0.615,0.615,7,8,0.875,3,9,12,2,0,1,5,0,23,18.6,A,1,1,zach-edey-1,Zach Edey,2024
15,114,15,2024-01-05,Purdue,,Illinois,REG (Conf),W 83-78,*,23,5,5,1.0,0,0,,5,5,1.0,1.0,0,3,0.0,5,10,15,3,1,2,3,4,10,13.7,H,1,1,zach-edey-1,Zach Edey,2024
16,115,16,2024-01-09,Purdue,@,Nebraska,REG (Conf),L 72-88,*,30,6,10,0.6,0,0,,6,10,0.6,0.6,3,5,0.6,2,5,7,1,0,2,3,3,15,10.4,A,0,1,zach-edey-1,Zach Edey,2024
17,116,17,2024-01-13,Purdue,,Penn State,REG (Conf),W 95-78,*,30,10,12,0.833,0,0,,10,12,0.833,0.833,10,14,0.714,6,14,20,3,0,3,4,1,30,32.2,H,1,1,zach-edey-1,Zach Edey,2024
18,117,18,2024-01-16,Purdue,@,Indiana,REG (Conf),W 87-66,*,36,11,23,0.478,0,0,,11,23,0.478,0.478,11,12,0.917,2,12,14,0,0,1,2,2,33,23.8,A,1,1,zach-edey-1,Zach Edey,2024
19,118,19,2024-01-20,Purdue,@,Iowa,REG (Conf),W 84-70,*,35,10,15,0.667,0,0,,10,15,0.667,0.667,10,15,0.667,8,10,18,2,0,4,1,3,30,32.1,A,1,1,zach-edey-1,Zach Edey,2024
