rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,107,1,2024-11-04,Gonzaga,,Baylor,REG (Non-Conf),W 101-63,*,16,3,4,0.75,0,1,0.0,3,3,1.0,0.75,3,5,0.6,1,2,3,1,1,0,0,2,9,8.8,H,1,1,ben-gregg-1,Ben Gregg,2025
2,108,2,2024-11-10,Gonzaga,,Arizona State,REG (Non-Conf),W 88-80,*,11,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,1,2,3,1,0,0,1,0,2,0.6,H,1,1,ben-gregg-1,Ben Gregg,2025
3,109,3,2024-11-15,Gonzaga,,UMass Lowell,REG (Non-Conf),W 113-54,,20,3,7,0.429,0,2,0.0,3,5,0.6,0.429,1,1,1.0,3,7,10,0,0,1,0,2,7,7.4,H,1,1,ben-gregg-1,Ben Gregg,2025
4,110,4,2024-11-18,Gonzaga,@,San Diego State,REG (Non-Conf),W 80-67,,18,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,3,1.0,2,1,3,0,2,1,0,2,7,8.6,A,1,1,ben-gregg-1,Ben Gregg,2025
5,111,5,2024-11-20,Gonzaga,,Long Beach State,REG (Non-Conf),W 84-41,,15,2,3,0.667,0,1,0.0,2,2,1.0,0.667,1,3,0.333,4,3,7,0,0,0,0,1,5,6.2,H,1,1,ben-gregg-1,Ben Gregg,2025
6,112,6,2024-11-27,Gonzaga,N,West Virginia,REG (Non-Conf),L 78-86 (OT),,27,1,4,0.25,0,1,0.0,1,3,0.333,0.25,7,8,0.875,2,4,6,0,1,1,0,4,9,8.9,N,0,1,ben-gregg-1,Ben Gregg,2025
7,113,7,2024-11-28,Gonzaga,N,Indiana,REG (Non-Conf),W 89-73,,19,5,9,0.556,1,3,0.333,4,6,0.667,0.611,2,2,1.0,0,1,1,2,0,1,0,0,13,11.1,N,1,1,ben-gregg-1,Ben Gregg,2025
8,114,8,2024-11-29,Gonzaga,N,Davidson,REG (Non-Conf),W 90-65,,23,8,10,0.8,1,2,0.5,7,8,0.875,0.85,7,7,1.0,2,6,8,2,2,0,0,3,24,25.6,N,1,1,ben-gregg-1,Ben Gregg,2025
9,115,9,2024-12-07,Gonzaga,N,Kentucky,REG (Non-Conf),L 89-90 (OT),,24,5,11,0.455,0,3,0.0,5,8,0.625,0.455,4,5,0.8,4,3,7,0,0,0,0,2,14,10.8,N,0,1,ben-gregg-1,Ben Gregg,2025
10,116,10,2024-12-14,Gonzaga,N,Connecticut,REG (Non-Conf),L 71-77,,16,1,4,0.25,1,2,0.5,0,2,0.0,0.375,2,2,1.0,1,1,2,2,0,1,2,2,5,2.9,N,0,1,ben-gregg-1,Ben Gregg,2025
11,117,11,2024-12-18,Gonzaga,,Nicholls State,REG (Non-Conf),W 102-72,,24,2,3,0.667,0,1,0.0,2,2,1.0,0.667,6,7,0.857,1,9,10,1,0,1,1,1,10,11.7,H,1,1,ben-gregg-1,Ben Gregg,2025
12,118,12,2024-12-21,Gonzaga,,Bucknell,REG (Non-Conf),W 86-65,,20,6,12,0.5,3,7,0.429,3,5,0.6,0.625,0,0,,1,2,3,1,1,1,2,1,15,10.3,H,1,1,ben-gregg-1,Ben Gregg,2025
13,119,13,2024-12-28,Gonzaga,N,UCLA,REG (Non-Conf),L 62-65,,20,1,5,0.2,0,4,0.0,1,1,1.0,0.2,4,6,0.667,1,3,4,1,0,1,1,2,6,3.3,N,0,1,ben-gregg-1,Ben Gregg,2025
14,120,14,2024-12-30,Gonzaga,@,Pepperdine,REG (Conf),W 89-82,,29,5,8,0.625,0,1,0.0,5,7,0.714,0.625,2,4,0.5,4,2,6,1,1,1,0,2,12,12.6,A,1,1,ben-gregg-1,Ben Gregg,2025
15,121,15,2025-01-02,Gonzaga,,Portland,REG (Conf),W 81-50,*,22,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,4,0.75,3,6,9,2,4,0,1,0,7,12.9,H,1,1,ben-gregg-1,Ben Gregg,2025
16,122,16,2025-01-04,Gonzaga,@,Loyola Marymount,REG (Conf),W 96-68,*,22,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,2,5,7,2,0,1,1,3,4,4.8,A,1,1,ben-gregg-1,Ben Gregg,2025
17,123,17,2025-01-08,Gonzaga,,San Diego,REG (Conf),W 93-80,*,35,9,12,0.75,3,3,1.0,6,9,0.667,0.875,2,3,0.667,2,1,3,0,1,0,0,2,23,19.7,H,1,1,ben-gregg-1,Ben Gregg,2025
18,124,18,2025-01-11,Gonzaga,,Washington State,REG (Conf),W 88-75,*,29,5,9,0.556,1,3,0.333,4,6,0.667,0.611,0,0,,5,4,9,5,1,0,2,1,11,13.5,H,1,1,ben-gregg-1,Ben Gregg,2025
19,125,19,2025-01-16,Gonzaga,@,Oregon State,REG (Conf),L 89-97 (OT),*,30,6,12,0.5,1,4,0.25,5,8,0.625,0.542,2,4,0.5,8,5,13,4,2,0,2,2,15,17.3,A,0,1,ben-gregg-1,Ben Gregg,2025
20,126,20,2025-01-18,Gonzaga,,Santa Clara,REG (Conf),L 99-103,*,29,5,5,1.0,1,1,1.0,4,4,1.0,1.1,2,2,1.0,4,4,8,5,3,1,0,2,13,21.9,H,0,1,ben-gregg-1,Ben Gregg,2025
21,127,21,2025-01-25,Gonzaga,@,Portland,REG (Conf),W 105-62,*,20,10,10,1.0,4,4,1.0,6,6,1.0,1.2,0,0,,1,5,6,2,1,0,0,0,24,25.6,A,1,1,ben-gregg-1,Ben Gregg,2025
22,128,22,2025-01-28,Gonzaga,,Oregon State,REG (Conf),W 98-60,*,19,3,6,0.5,0,2,0.0,3,4,0.75,0.5,0,0,,1,2,3,0,0,1,1,0,6,4.0,H,1,1,ben-gregg-1,Ben Gregg,2025
23,129,23,2025-02-01,Gonzaga,@,St. Mary's (CA),REG (Conf),L 58-62,*,21,1,4,0.25,0,2,0.0,1,2,0.5,0.25,2,2,1.0,2,3,5,0,1,0,1,4,4,2.3,A,0,1,ben-gregg-1,Ben Gregg,2025
24,130,24,2025-02-06,Gonzaga,,Loyola Marymount,REG (Conf),W 73-53,*,16,3,4,0.75,0,0,,3,4,0.75,0.75,0,0,,0,1,1,0,0,1,0,2,6,4.6,H,1,1,ben-gregg-1,Ben Gregg,2025
25,131,25,2025-02-08,Gonzaga,@,Pacific,REG (Conf),W 78-61,*,14,0,0,,0,0,,0,0,,,0,0,,1,3,4,5,0,0,1,1,0,3.7,A,1,1,ben-gregg-1,Ben Gregg,2025
26,132,26,2025-02-13,Gonzaga,,San Francisco,REG (Conf),W 88-77,*,11,4,5,0.8,0,1,0.0,4,4,1.0,0.8,3,3,1.0,1,0,1,2,0,0,0,3,11,10.0,H,1,1,ben-gregg-1,Ben Gregg,2025
27,133,27,2025-02-15,Gonzaga,,Pepperdine,REG (Conf),W 107-55,*,15,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,2,3,5,0,0,0,1,4,4,3.1,H,1,1,ben-gregg-1,Ben Gregg,2025
