rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2024-11-04,Drake,,York (NE),REG (Non-Conf),W 93-41,*,28,5,8,0.625,3,5,0.6,2,3,0.667,0.813,5,6,0.833,0,3,3,7,2,0,0,0,18,21.8,H,1,1,bennett-stirtz-1,Bennett Stirtz,2025
2,2,2,2024-11-10,Drake,,Stephen F. Austin,REG (Non-Conf),W 66-51,*,39,4,12,0.333,1,4,0.25,3,8,0.375,0.375,4,5,0.8,1,3,4,4,4,2,2,2,13,12.8,H,1,1,bennett-stirtz-1,Bennett Stirtz,2025
3,3,3,2024-11-16,Drake,,Florida Gulf Coast,REG (Non-Conf),W 63-61,*,40,8,13,0.615,2,4,0.5,6,9,0.667,0.692,7,9,0.778,1,6,7,4,3,0,4,0,25,22.6,H,1,1,bennett-stirtz-1,Bennett Stirtz,2025
4,4,4,2024-11-21,Drake,N,Miami (FL),REG (Non-Conf),W 80-69,*,40,8,17,0.471,0,4,0.0,8,13,0.615,0.471,5,5,1.0,2,4,6,6,1,0,1,3,21,17.9,N,1,1,bennett-stirtz-1,Bennett Stirtz,2025
5,5,5,2024-11-22,Drake,N,Florida Atlantic,REG (Non-Conf),W 75-63,*,40,6,14,0.429,2,7,0.286,4,7,0.571,0.5,3,6,0.5,2,2,4,6,0,0,1,0,17,13.6,N,1,1,bennett-stirtz-1,Bennett Stirtz,2025
6,6,6,2024-11-24,Drake,N,Vanderbilt,REG (Non-Conf),W 81-70,*,40,5,14,0.357,0,3,0.0,5,11,0.455,0.357,6,6,1.0,0,5,5,11,2,0,5,1,16,14.0,N,1,1,bennett-stirtz-1,Bennett Stirtz,2025
7,7,7,2024-11-30,Drake,,Georgia Southern,REG (Non-Conf),W 61-47,*,40,3,9,0.333,1,3,0.333,2,6,0.333,0.389,4,5,0.8,1,5,6,6,4,0,3,2,11,12.1,H,1,1,bennett-stirtz-1,Bennett Stirtz,2025
8,8,8,2024-12-05,Drake,@,Valparaiso,REG (Conf),W 66-60,*,40,9,15,0.6,3,6,0.5,6,9,0.667,0.7,8,11,0.727,1,4,5,4,1,0,0,3,29,25.4,A,1,1,bennett-stirtz-1,Bennett Stirtz,2025
9,9,9,2024-12-12,Drake,,St. Ambrose,REG (Non-Conf),W 90-35,*,22,5,9,0.556,0,3,0.0,5,6,0.833,0.556,0,0,,0,2,2,7,4,0,2,0,10,13.2,H,1,1,bennett-stirtz-1,Bennett Stirtz,2025
10,10,10,2024-12-17,Drake,@,Kansas State,REG (Non-Conf),W 73-70 (OT),*,45,8,13,0.615,1,2,0.5,7,11,0.636,0.654,5,6,0.833,0,2,2,4,3,0,3,1,22,18.7,A,1,1,bennett-stirtz-1,Bennett Stirtz,2025
