rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,60,1,2024-11-04,Yale,,Quinnipiac,REG (Non-Conf),W 88-62,,17,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,3,0,3,1,1,0,1,2,6,3.6,H,1,1,casey-simmons-1,Casey Simmons,2025
2,61,2,2024-11-08,Yale,@,Illinois–Chicago,REG (Non-Conf),L 79-91,,12,1,1,1.0,1,1,1.0,0,0,,1.5,0,2,0.0,0,1,1,1,1,3,0,2,3,5.2,A,0,1,casey-simmons-1,Casey Simmons,2025
3,62,3,2024-11-11,Yale,@,Purdue,REG (Non-Conf),L 84-92,,14,5,6,0.833,0,1,0.0,5,5,1.0,0.833,0,0,,0,0,0,0,0,0,2,1,10,5.4,A,0,1,casey-simmons-1,Casey Simmons,2025
4,63,4,2024-11-13,Yale,,Emerson,REG (Non-Conf),W 100-46,*,14,4,4,1.0,1,1,1.0,3,3,1.0,1.125,2,2,1.0,1,1,2,0,1,1,0,1,11,12.1,H,1,1,casey-simmons-1,Casey Simmons,2025
5,64,5,2024-11-16,Yale,@,Minnesota,REG (Non-Conf),L 56-59,,18,4,5,0.8,1,2,0.5,3,3,1.0,0.9,0,0,,1,1,2,1,0,0,0,3,9,7.6,A,0,1,casey-simmons-1,Casey Simmons,2025
6,65,6,2024-11-20,Yale,@,Stony Brook,REG (Non-Conf),W 86-64,,15,2,3,0.667,0,0,,2,3,0.667,0.667,0,1,0.0,0,2,2,1,0,0,0,2,4,2.8,A,1,1,casey-simmons-1,Casey Simmons,2025
7,66,7,2024-11-23,Yale,N,Fairfield,REG (Non-Conf),W 91-66,,15,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0,0,2,2,-0.2,N,1,1,casey-simmons-1,Casey Simmons,2025
8,67,8,2024-11-24,Yale,N,Delaware,REG (Non-Conf),L 94-100,,27,5,7,0.714,0,1,0.0,5,6,0.833,0.714,1,1,1.0,0,2,2,0,0,0,0,4,11,7.1,N,0,1,casey-simmons-1,Casey Simmons,2025
9,68,9,2024-12-02,Yale,@,Rhode Island,REG (Non-Conf),L 78-84,*,30,4,6,0.667,0,0,,4,6,0.667,0.667,2,2,1.0,2,5,7,0,2,0,1,2,10,10.5,A,0,1,casey-simmons-1,Casey Simmons,2025
10,69,10,2024-12-07,Yale,,Vermont,REG (Non-Conf),W 65-50,*,31,7,10,0.7,1,1,1.0,6,9,0.667,0.75,3,4,0.75,3,5,8,2,3,1,1,2,18,20.3,H,1,1,casey-simmons-1,Casey Simmons,2025
