rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,134,1,2024-11-04,Clemson,,Charleston Southern,REG (Non-Conf),W 91-64,*,23,6,9,0.667,3,3,1.0,3,6,0.5,0.833,2,3,0.667,0,5,5,3,2,0,0,1,17,17.9,H,1,1,chase-hunter-1,Chase Hunter,2025
2,135,2,2024-11-08,Clemson,,Saint Francis (PA),REG (Non-Conf),W 88-62,*,28,5,10,0.5,2,6,0.333,3,4,0.75,0.6,1,2,0.5,0,0,0,2,1,1,2,1,13,8.3,H,1,1,chase-hunter-1,Chase Hunter,2025
3,136,3,2024-11-12,Clemson,,Eastern Kentucky,REG (Non-Conf),W 75-62,*,35,6,9,0.667,3,6,0.5,3,3,1.0,0.833,4,4,1.0,1,4,5,3,2,0,3,1,19,17.7,H,1,1,chase-hunter-1,Chase Hunter,2025
4,137,4,2024-11-17,Clemson,@,Boise State,REG (Non-Conf),L 71-84,*,37,12,21,0.571,4,8,0.5,8,13,0.615,0.667,2,2,1.0,0,0,0,6,3,0,1,2,30,25.5,A,0,1,chase-hunter-1,Chase Hunter,2025
5,138,5,2024-11-21,Clemson,,Radford,REG (Non-Conf),W 79-51,*,29,4,8,0.5,2,6,0.333,2,2,1.0,0.625,0,2,0.0,0,5,5,0,2,0,3,3,10,4.5,H,1,1,chase-hunter-1,Chase Hunter,2025
6,139,6,2024-11-25,Clemson,N,San Francisco,REG (Non-Conf),W 70-55,*,32,3,8,0.375,1,2,0.5,2,6,0.333,0.438,2,2,1.0,1,2,3,1,0,0,2,2,9,3.8,N,1,1,chase-hunter-1,Chase Hunter,2025
7,140,7,2024-11-26,Clemson,N,Penn State,REG (Non-Conf),W 75-67,*,38,4,12,0.333,3,6,0.5,1,6,0.167,0.458,6,7,0.857,1,4,5,4,0,0,2,2,17,11.7,N,1,1,chase-hunter-1,Chase Hunter,2025
8,141,8,2024-11-29,Clemson,,Florida A&M,REG (Non-Conf),W 86-58,*,32,5,11,0.455,2,6,0.333,3,5,0.6,0.545,4,4,1.0,0,1,1,0,3,0,0,1,16,13.2,H,1,1,chase-hunter-1,Chase Hunter,2025
9,142,9,2024-12-03,Clemson,,Kentucky,REG (Non-Conf),W 70-66,*,31,2,8,0.25,0,4,0.0,2,4,0.5,0.25,6,6,1.0,1,2,3,2,1,0,1,1,10,7.5,H,1,1,chase-hunter-1,Chase Hunter,2025
10,143,10,2024-12-07,Clemson,@,Miami (FL),REG (Conf),W 65-55,*,36,7,19,0.368,1,7,0.143,6,12,0.5,0.395,3,4,0.75,0,2,2,2,1,0,1,0,18,9.1,A,1,1,chase-hunter-1,Chase Hunter,2025
11,144,11,2024-12-14,Clemson,,Memphis,REG (Non-Conf),L 82-87 (OT),*,39,7,14,0.5,2,7,0.286,5,7,0.714,0.571,1,1,1.0,1,3,4,3,0,0,3,2,17,9.9,H,0,1,chase-hunter-1,Chase Hunter,2025
12,145,12,2024-12-17,Clemson,@,South Carolina,REG (Non-Conf),L 88-91 (OT),*,41,9,18,0.5,5,8,0.625,4,10,0.4,0.639,4,4,1.0,0,0,0,3,1,0,1,1,27,19.7,A,0,1,chase-hunter-1,Chase Hunter,2025
13,146,13,2024-12-21,Clemson,,Wake Forest,REG (Conf),W 73-62,*,26,5,9,0.556,4,7,0.571,1,2,0.5,0.778,2,2,1.0,0,2,2,0,0,0,1,3,16,10.1,H,1,1,chase-hunter-1,Chase Hunter,2025
14,147,14,2025-01-01,Clemson,,Stanford,REG (Conf),W 85-71,*,36,7,15,0.467,2,4,0.5,5,11,0.455,0.533,6,6,1.0,1,1,2,2,2,0,0,3,22,17.5,H,1,1,chase-hunter-1,Chase Hunter,2025
15,148,15,2025-01-04,Clemson,,California,REG (Conf),W 80-68,*,36,8,12,0.667,1,3,0.333,7,9,0.778,0.708,2,2,1.0,0,5,5,6,2,1,2,3,19,19.0,H,1,1,chase-hunter-1,Chase Hunter,2025
16,149,16,2025-01-07,Clemson,@,Louisville,REG (Conf),L 64-74,*,36,6,10,0.6,3,4,0.75,3,6,0.5,0.75,0,0,,2,3,5,3,1,0,4,2,15,11.0,A,0,1,chase-hunter-1,Chase Hunter,2025
17,150,17,2025-01-11,Clemson,,Florida State,REG (Conf),W 77-57,*,34,8,14,0.571,5,9,0.556,3,5,0.6,0.75,4,4,1.0,0,3,3,2,0,1,1,0,25,20.4,H,1,1,chase-hunter-1,Chase Hunter,2025
18,151,18,2025-01-14,Clemson,@,Georgia Tech,REG (Conf),W 70-59,*,36,3,9,0.333,2,5,0.4,1,4,0.25,0.444,6,6,1.0,0,1,1,3,1,1,1,3,14,10.8,A,1,1,chase-hunter-1,Chase Hunter,2025
19,152,19,2025-01-18,Clemson,@,Pittsburgh,REG (Conf),W 78-75 (OT),*,43,6,11,0.545,5,9,0.556,1,2,0.5,0.773,3,4,0.75,0,5,5,2,0,0,3,2,20,13.4,A,1,1,chase-hunter-1,Chase Hunter,2025
20,153,20,2025-01-22,Clemson,,Syracuse,REG (Conf),W 86-72,*,35,7,13,0.538,4,7,0.571,3,6,0.5,0.692,5,6,0.833,0,1,1,1,3,0,3,2,23,16.5,H,1,1,chase-hunter-1,Chase Hunter,2025
21,154,21,2025-01-25,Clemson,@,Virginia Tech,REG (Conf),W 72-57,,10,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,0,0,2,1,0,0,1,2,1.6,A,1,1,chase-hunter-1,Chase Hunter,2025
22,155,22,2025-02-01,Clemson,@,NC State,REG (Conf),W 68-58,*,36,6,12,0.5,2,5,0.4,4,7,0.571,0.583,6,6,1.0,0,2,2,2,1,1,2,2,20,14.9,A,1,1,chase-hunter-1,Chase Hunter,2025
23,156,23,2025-02-04,Clemson,,Georgia Tech,REG (Conf),L 86-89 (3OT),*,52,9,24,0.375,4,12,0.333,5,12,0.417,0.458,6,6,1.0,2,5,7,4,5,2,6,3,28,19.7,H,0,1,chase-hunter-1,Chase Hunter,2025
24,157,24,2025-02-08,Clemson,,Duke,REG (Conf),W 77-71,*,34,5,8,0.625,0,1,0.0,5,7,0.714,0.625,4,5,0.8,2,5,7,3,0,1,3,1,14,12.3,H,1,1,chase-hunter-1,Chase Hunter,2025
25,158,25,2025-02-10,Clemson,,North Carolina,REG (Conf),W 85-65,*,29,7,13,0.538,4,8,0.5,3,5,0.6,0.692,1,2,0.5,0,1,1,2,1,2,3,3,19,12.2,H,1,1,chase-hunter-1,Chase Hunter,2025
26,159,26,2025-02-15,Clemson,@,Florida State,REG (Conf),W 72-46,*,34,0,7,0.0,0,5,0.0,0,2,0.0,0.0,3,4,0.75,0,5,5,3,4,0,3,2,3,1.5,A,1,1,chase-hunter-1,Chase Hunter,2025
27,160,27,2025-02-22,Clemson,@,SMU,REG (Conf),W 79-69,*,37,6,12,0.5,3,6,0.5,3,6,0.5,0.625,2,2,1.0,0,2,2,4,0,2,3,2,17,12.0,A,1,1,chase-hunter-1,Chase Hunter,2025
28,161,28,2025-02-26,Clemson,,Notre Dame,REG (Conf),W 83-68,*,23,2,6,0.333,1,2,0.5,1,4,0.25,0.417,3,5,0.6,1,1,2,5,0,0,0,3,8,7.1,H,1,1,chase-hunter-1,Chase Hunter,2025
