rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,97,1,2024-11-04,Iowa State,,Mississippi Valley State,REG (Non-Conf),W 83-44,*,26,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,2,0.0,0,6,6,3,2,1,1,1,5,5.3,H,1,1,curtis-jones-2,Curtis Jones,2025
2,98,2,2024-11-11,Iowa State,,Kansas City,REG (Non-Conf),W 82-56,,29,7,11,0.636,3,5,0.6,4,6,0.667,0.773,3,3,1.0,0,5,5,5,1,0,0,0,20,21.1,H,1,1,curtis-jones-2,Curtis Jones,2025
3,99,3,2024-11-18,Iowa State,,IU Indy,REG (Non-Conf),W 87-52,,27,7,14,0.5,4,10,0.4,3,4,0.75,0.643,2,3,0.667,0,6,6,1,0,0,2,1,20,12.7,H,1,1,curtis-jones-2,Curtis Jones,2025
4,100,4,2024-11-25,Iowa State,N,Auburn,REG (Non-Conf),L 81-83,,29,4,11,0.364,2,6,0.333,2,5,0.4,0.455,4,4,1.0,1,4,5,3,1,0,0,2,14,12.1,N,0,1,curtis-jones-2,Curtis Jones,2025
5,101,5,2024-11-26,Iowa State,N,Dayton,REG (Non-Conf),W 89-84,,31,6,13,0.462,3,6,0.5,3,7,0.429,0.577,4,4,1.0,0,2,2,1,0,0,0,3,19,12.4,N,1,1,curtis-jones-2,Curtis Jones,2025
6,102,6,2024-11-27,Iowa State,N,Colorado,REG (Non-Conf),W 99-71,,26,7,14,0.5,3,9,0.333,4,5,0.8,0.607,2,2,1.0,0,6,6,3,1,0,0,1,19,16.5,N,1,1,curtis-jones-2,Curtis Jones,2025
7,103,7,2024-12-04,Iowa State,,Marquette,REG (Non-Conf),W 81-70,,28,6,14,0.429,2,7,0.286,4,7,0.571,0.5,0,1,0.0,1,4,5,1,1,0,1,1,14,8.4,H,1,1,curtis-jones-2,Curtis Jones,2025
8,104,8,2024-12-08,Iowa State,,Jackson State,REG (Non-Conf),W 100-58,,25,6,12,0.5,5,10,0.5,1,2,0.5,0.708,2,4,0.5,0,1,1,5,1,0,1,2,19,15.2,H,1,1,curtis-jones-2,Curtis Jones,2025
9,105,9,2024-12-12,Iowa State,@,Iowa,REG (Non-Conf),W 89-80,,32,8,15,0.533,5,8,0.625,3,7,0.429,0.7,2,2,1.0,1,5,6,0,0,0,2,1,23,15.5,A,1,1,curtis-jones-2,Curtis Jones,2025
10,106,10,2024-12-15,Iowa State,,Omaha,REG (Non-Conf),W 83-51,,25,2,9,0.222,0,5,0.0,2,4,0.5,0.222,0,0,,1,1,2,6,3,0,1,0,4,5.7,H,1,1,curtis-jones-2,Curtis Jones,2025
11,107,11,2024-12-22,Iowa State,,Morgan State,REG (Non-Conf),W 99-72,,30,7,15,0.467,3,9,0.333,4,6,0.667,0.567,2,2,1.0,1,1,2,6,2,2,0,1,19,19.5,H,1,1,curtis-jones-2,Curtis Jones,2025
12,108,12,2024-12-30,Iowa State,@,Colorado,REG (Conf),W 79-69,,29,5,16,0.313,2,7,0.286,3,9,0.333,0.375,8,8,1.0,0,3,3,0,1,0,1,2,20,10.9,A,1,1,curtis-jones-2,Curtis Jones,2025
13,109,13,2025-01-04,Iowa State,,Baylor,REG (Conf),W 74-55,,28,6,13,0.462,2,5,0.4,4,8,0.5,0.538,0,0,,0,3,3,2,4,0,2,1,14,11.2,H,1,1,curtis-jones-2,Curtis Jones,2025
14,110,14,2025-01-07,Iowa State,,Utah,REG (Conf),W 82-59,,32,10,17,0.588,3,7,0.429,7,10,0.7,0.676,0,0,,1,4,5,6,2,0,0,2,23,22.4,H,1,1,curtis-jones-2,Curtis Jones,2025
15,111,15,2025-01-11,Iowa State,@,Texas Tech,REG (Conf),W 85-84 (OT),,35,8,15,0.533,3,7,0.429,5,8,0.625,0.633,7,8,0.875,0,1,1,0,2,0,0,1,26,20.2,A,1,1,curtis-jones-2,Curtis Jones,2025
16,112,16,2025-01-15,Iowa State,,Kansas,REG (Conf),W 74-57,*,36,9,17,0.529,5,6,0.833,4,11,0.364,0.676,2,2,1.0,0,6,6,1,2,1,4,1,25,17.5,H,1,1,curtis-jones-2,Curtis Jones,2025
17,113,17,2025-01-18,Iowa State,@,West Virginia,REG (Conf),L 57-64,*,36,8,16,0.5,1,6,0.167,7,10,0.7,0.531,1,1,1.0,0,8,8,0,0,0,4,3,18,7.2,A,0,1,curtis-jones-2,Curtis Jones,2025
18,114,18,2025-01-21,Iowa State,,UCF,REG (Conf),W 108-83,*,34,8,19,0.421,2,7,0.286,6,12,0.5,0.474,1,2,0.5,0,8,8,2,1,0,1,1,19,11.9,H,1,1,curtis-jones-2,Curtis Jones,2025
19,115,19,2025-01-25,Iowa State,@,Arizona State,REG (Conf),W 76-61,*,40,10,22,0.455,5,10,0.5,5,12,0.417,0.568,8,10,0.8,1,6,7,1,3,0,2,0,33,25.0,A,1,1,curtis-jones-2,Curtis Jones,2025
20,116,20,2025-01-27,Iowa State,@,Arizona,REG (Conf),L 75-86 (OT),*,41,1,11,0.091,0,8,0.0,1,3,0.333,0.091,6,8,0.75,1,4,5,2,2,0,3,4,8,0.6,A,0,1,curtis-jones-2,Curtis Jones,2025
21,117,21,2025-02-01,Iowa State,,Kansas State,REG (Conf),L 61-80,*,36,4,15,0.267,2,6,0.333,2,9,0.222,0.333,4,4,1.0,1,5,6,1,1,0,1,1,14,7.6,H,0,1,curtis-jones-2,Curtis Jones,2025
22,118,22,2025-02-03,Iowa State,@,Kansas,REG (Conf),L 52-69,*,35,3,11,0.273,1,7,0.143,2,4,0.5,0.318,0,0,,1,5,6,1,1,1,0,0,7,5.1,A,0,1,curtis-jones-2,Curtis Jones,2025
23,119,23,2025-02-08,Iowa State,,TCU,REG (Conf),W 82-52,,28,7,11,0.636,5,6,0.833,2,5,0.4,0.864,5,7,0.714,0,1,1,1,0,0,1,0,24,18.3,H,1,1,curtis-jones-2,Curtis Jones,2025
24,120,24,2025-02-11,Iowa State,@,UCF,REG (Conf),W 77-65,,27,4,13,0.308,2,9,0.222,2,4,0.5,0.385,0,0,,0,6,6,5,0,0,1,2,10,6.0,A,1,1,curtis-jones-2,Curtis Jones,2025
