rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2024-11-04,Drake,,York (NE),REG (Non-Conf),W 93-41,*,26,10,16,0.625,6,10,0.6,4,6,0.667,0.813,4,5,0.8,1,3,4,1,0,1,0,1,30,25.0,H,1,1,daniel-abreu-1,Daniel Abreu,2025
2,2,2,2024-11-10,Drake,,Stephen F. Austin,REG (Non-Conf),W 66-51,*,32,1,5,0.2,1,3,0.333,0,2,0.0,0.3,3,5,0.6,1,1,2,3,0,2,2,3,6,3.4,H,1,1,daniel-abreu-1,Daniel Abreu,2025
3,3,3,2024-11-16,Drake,,Florida Gulf Coast,REG (Non-Conf),W 63-61,*,40,5,10,0.5,4,7,0.571,1,3,0.333,0.7,3,3,1.0,0,1,1,0,0,1,2,0,17,11.0,H,1,1,daniel-abreu-1,Daniel Abreu,2025
4,4,4,2024-11-21,Drake,N,Miami (FL),REG (Non-Conf),W 80-69,*,39,4,11,0.364,1,5,0.2,3,6,0.5,0.409,9,10,0.9,4,6,10,0,0,0,1,3,18,13.9,N,1,1,daniel-abreu-1,Daniel Abreu,2025
5,5,5,2024-11-22,Drake,N,Florida Atlantic,REG (Non-Conf),W 75-63,*,25,2,9,0.222,1,6,0.167,1,3,0.333,0.278,0,0,,0,2,2,1,0,0,0,4,5,-0.8,N,1,1,daniel-abreu-1,Daniel Abreu,2025
6,6,6,2024-11-24,Drake,N,Vanderbilt,REG (Non-Conf),W 81-70,*,37,5,8,0.625,1,4,0.25,4,4,1.0,0.688,4,6,0.667,3,0,3,1,2,1,1,3,15,13.9,N,1,1,daniel-abreu-1,Daniel Abreu,2025
7,7,7,2024-11-30,Drake,,Georgia Southern,REG (Non-Conf),W 61-47,*,33,5,12,0.417,1,6,0.167,4,6,0.667,0.458,4,4,1.0,4,3,7,2,0,0,2,4,15,10.1,H,1,1,daniel-abreu-1,Daniel Abreu,2025
8,8,8,2024-12-05,Drake,@,Valparaiso,REG (Conf),W 66-60,*,38,2,5,0.4,1,3,0.333,1,2,0.5,0.5,3,3,1.0,0,1,1,0,0,0,0,3,8,4.4,A,1,1,daniel-abreu-1,Daniel Abreu,2025
9,9,9,2024-12-12,Drake,,St. Ambrose,REG (Non-Conf),W 90-35,*,19,4,6,0.667,3,5,0.6,1,1,1.0,0.917,0,0,,1,1,2,1,0,0,0,0,11,10.1,H,1,1,daniel-abreu-1,Daniel Abreu,2025
10,10,10,2024-12-17,Drake,@,Kansas State,REG (Non-Conf),W 73-70 (OT),*,45,3,5,0.6,0,2,0.0,3,3,1.0,0.6,3,4,0.75,2,3,5,0,2,1,1,4,9,8.7,A,1,1,daniel-abreu-1,Daniel Abreu,2025
