rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,120,1,2024-11-04,UNC Wilmington,,Mount Olive,REG (Non-Conf),W 143-91,*,22,4,5,0.8,3,4,0.75,1,1,1.0,1.1,4,4,1.0,0,2,2,7,0,0,2,2,15,15.8,H,1,1,donovan-newby-1,Donovan Newby,2025
2,121,2,2024-11-08,UNC Wilmington,,Georgia Southern,REG (Non-Conf),W 92-84,*,34,6,11,0.545,2,7,0.286,4,4,1.0,0.636,19,21,0.905,0,2,2,2,1,0,2,2,33,27.1,H,1,1,donovan-newby-1,Donovan Newby,2025
3,122,3,2024-11-15,UNC Wilmington,@,USC Upstate,REG (Non-Conf),W 89-85,*,29,7,13,0.538,1,2,0.5,6,11,0.545,0.577,5,7,0.714,0,4,4,1,1,0,1,1,20,14.4,A,1,1,donovan-newby-1,Donovan Newby,2025
4,123,4,2024-11-19,UNC Wilmington,@,Kansas,REG (Non-Conf),L 66-84,*,32,2,9,0.222,1,6,0.167,1,3,0.333,0.278,2,2,1.0,0,2,2,1,2,0,3,3,7,0.6,A,0,1,donovan-newby-1,Donovan Newby,2025
5,124,5,2024-11-27,UNC Wilmington,,Colgate,REG (Non-Conf),L 59-72,*,33,4,9,0.444,2,7,0.286,2,2,1.0,0.556,3,3,1.0,2,3,5,1,1,0,2,2,13,9.5,H,0,1,donovan-newby-1,Donovan Newby,2025
6,125,6,2024-11-29,UNC Wilmington,,Sam Houston State,REG (Non-Conf),W 69-60,*,31,6,11,0.545,4,8,0.5,2,3,0.667,0.727,3,5,0.6,0,1,1,4,1,0,2,0,19,15.0,H,1,1,donovan-newby-1,Donovan Newby,2025
7,126,7,2024-11-30,UNC Wilmington,,Appalachian State,REG (Non-Conf),W 76-61,*,33,3,14,0.214,1,6,0.167,2,8,0.25,0.25,9,9,1.0,1,2,3,6,1,0,0,2,16,13.1,H,1,1,donovan-newby-1,Donovan Newby,2025
8,127,8,2024-12-03,UNC Wilmington,@,East Carolina,REG (Non-Conf),W 67-53,*,36,3,9,0.333,0,3,0.0,3,6,0.5,0.333,6,6,1.0,0,3,3,6,1,0,4,2,12,8.2,A,1,1,donovan-newby-1,Donovan Newby,2025
9,128,9,2024-12-07,UNC Wilmington,,Marshall,REG (Non-Conf),W 78-69,*,33,5,10,0.5,0,3,0.0,5,7,0.714,0.5,8,11,0.727,0,1,1,2,1,0,2,3,18,11.3,H,1,1,donovan-newby-1,Donovan Newby,2025
10,129,10,2024-12-14,UNC Wilmington,@,Howard,REG (Non-Conf),L 83-88,*,34,3,14,0.214,0,6,0.0,3,8,0.375,0.214,2,3,0.667,1,1,2,1,0,0,0,3,8,-0.5,A,0,1,donovan-newby-1,Donovan Newby,2025
