rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,124,1,2024-11-04,Alabama,,UNC Asheville,REG (Non-Conf),W 110-54,,15,0,1,0.0,0,1,0.0,0,0,,0.0,2,4,0.5,0,3,3,1,0,0,2,1,2,-0.3,H,1,1,grant-nelson-1,Grant Nelson,2025
2,125,2,2024-11-08,Alabama,,Arkansas State,REG (Non-Conf),W 88-79,,27,4,7,0.571,0,2,0.0,4,5,0.8,0.571,4,6,0.667,2,4,6,2,1,0,1,2,12,11.1,H,1,1,grant-nelson-1,Grant Nelson,2025
3,126,3,2024-11-11,Alabama,,McNeese State,REG (Non-Conf),W 72-64,*,27,6,9,0.667,2,4,0.5,4,5,0.8,0.778,8,10,0.8,4,3,7,3,0,1,3,3,22,19.6,H,1,1,grant-nelson-1,Grant Nelson,2025
4,127,4,2024-11-15,Alabama,@,Purdue,REG (Non-Conf),L 78-87,*,29,5,7,0.714,1,3,0.333,4,4,1.0,0.786,1,1,1.0,2,9,11,1,1,1,1,5,12,12.6,A,0,1,grant-nelson-1,Grant Nelson,2025
5,128,5,2024-11-20,Alabama,N,Illinois,REG (Non-Conf),W 100-87,*,28,9,15,0.6,4,9,0.444,5,6,0.833,0.733,1,1,1.0,0,8,8,2,1,4,1,3,23,21.5,N,1,1,grant-nelson-1,Grant Nelson,2025
6,129,6,2024-11-26,Alabama,N,Houston,REG (Non-Conf),W 85-80 (OT),*,40,4,8,0.5,1,3,0.333,3,5,0.6,0.563,4,6,0.667,4,6,10,0,2,0,4,4,13,9.2,N,1,1,grant-nelson-1,Grant Nelson,2025
7,130,7,2024-11-27,Alabama,N,Rutgers,REG (Non-Conf),W 95-90,*,30,5,12,0.417,0,2,0.0,5,10,0.5,0.417,7,9,0.778,1,8,9,3,0,1,1,2,17,13.9,N,1,1,grant-nelson-1,Grant Nelson,2025
8,131,8,2024-11-30,Alabama,N,Oregon,REG (Non-Conf),L 81-83,*,27,3,6,0.5,0,2,0.0,3,4,0.75,0.5,1,2,0.5,2,5,7,6,0,1,3,3,7,7.2,N,0,1,grant-nelson-1,Grant Nelson,2025
9,132,9,2024-12-04,Alabama,@,North Carolina,REG (Non-Conf),W 94-79,*,24,4,9,0.444,0,1,0.0,4,8,0.5,0.444,2,2,1.0,1,8,9,0,0,1,2,4,10,5.5,A,1,1,grant-nelson-1,Grant Nelson,2025
10,133,10,2024-12-14,Alabama,,Creighton,REG (Non-Conf),W 83-75,*,25,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,3,0.667,2,8,10,1,0,0,3,2,4,0.5,H,1,1,grant-nelson-1,Grant Nelson,2025
11,134,11,2024-12-18,Alabama,@,North Dakota,REG (Non-Conf),W 97-90,*,36,9,14,0.643,0,4,0.0,9,10,0.9,0.643,5,6,0.833,2,8,10,2,0,3,2,2,23,20.9,A,1,1,grant-nelson-1,Grant Nelson,2025
12,135,12,2024-12-22,Alabama,,Kent State,REG (Non-Conf),W 81-54,*,22,4,5,0.8,0,1,0.0,4,4,1.0,0.8,1,5,0.2,6,8,14,0,1,2,4,1,9,10.1,H,1,1,grant-nelson-1,Grant Nelson,2025
13,136,13,2024-12-29,Alabama,,South Dakota State,REG (Non-Conf),W 105-82,*,25,7,8,0.875,2,3,0.667,5,5,1.0,1.0,1,3,0.333,0,8,8,3,1,2,0,1,17,19.9,H,1,1,grant-nelson-1,Grant Nelson,2025
14,137,14,2025-01-04,Alabama,,Oklahoma,REG (Conf),W 107-79,*,29,5,11,0.455,2,5,0.4,3,6,0.5,0.545,0,0,,2,9,11,2,2,2,0,0,12,15.2,H,1,1,grant-nelson-1,Grant Nelson,2025
15,138,15,2025-01-08,Alabama,@,South Carolina,REG (Conf),W 88-68,*,19,3,8,0.375,0,2,0.0,3,6,0.5,0.375,0,1,0.0,0,7,7,2,0,1,3,2,6,1.6,A,1,1,grant-nelson-1,Grant Nelson,2025
16,139,16,2025-01-11,Alabama,@,Texas A&M,REG (Conf),W 94-88,*,27,2,9,0.222,0,4,0.0,2,5,0.4,0.222,2,4,0.5,4,4,8,0,0,2,0,5,6,3.1,A,1,1,grant-nelson-1,Grant Nelson,2025
