rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,135,1,2024-11-06,Connecticut,,Sacred Heart,REG (Non-Conf),W 92-56,,21,1,6,0.167,0,4,0.0,1,2,0.5,0.167,3,4,0.75,0,2,2,6,2,0,3,2,5,3.8,H,1,1,hassan-diarra-1,Hassan Diarra,2025
2,136,2,2024-11-09,Connecticut,,New Hampshire,REG (Non-Conf),W 92-53,,15,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,2,2,3,1,1,1,1,4,6.4,H,1,1,hassan-diarra-1,Hassan Diarra,2025
3,137,3,2024-11-13,Connecticut,,Le Moyne,REG (Non-Conf),W 90-49,,21,4,6,0.667,1,3,0.333,3,3,1.0,0.75,1,1,1.0,1,0,1,6,0,1,2,0,10,11.0,H,1,1,hassan-diarra-1,Hassan Diarra,2025
4,138,4,2024-11-19,Connecticut,,Texas A&M–Commerce,REG (Non-Conf),W 81-46,,19,3,4,0.75,0,1,0.0,3,3,1.0,0.75,1,2,0.5,2,3,5,3,2,1,5,0,7,7.1,H,1,1,hassan-diarra-1,Hassan Diarra,2025
5,139,5,2024-11-25,Connecticut,N,Memphis,REG (Non-Conf),L 97-99 (OT),,29,1,6,0.167,1,4,0.25,0,2,0.0,0.25,9,10,0.9,3,3,6,4,1,0,3,2,12,10.8,N,0,1,hassan-diarra-1,Hassan Diarra,2025
6,140,6,2024-11-26,Connecticut,N,Colorado,REG (Non-Conf),L 72-73,*,21,4,7,0.571,3,4,0.75,1,3,0.333,0.786,0,0,,1,1,2,6,1,1,2,3,11,11.4,N,0,1,hassan-diarra-1,Hassan Diarra,2025
7,141,7,2024-11-28,Connecticut,N,Dayton,REG (Non-Conf),L 67-85,*,25,4,6,0.667,1,3,0.333,3,3,1.0,0.75,1,2,0.5,1,2,3,5,3,0,1,4,10,12.2,N,0,1,hassan-diarra-1,Hassan Diarra,2025
8,142,8,2024-11-30,Connecticut,,Maryland Eastern Shore,REG (Non-Conf),W 99-45,*,17,2,4,0.5,1,1,1.0,1,3,0.333,0.625,1,1,1.0,1,1,2,5,1,0,1,4,6,6.9,H,1,1,hassan-diarra-1,Hassan Diarra,2025
9,143,9,2024-12-04,Connecticut,,Baylor,REG (Non-Conf),W 76-72,*,27,1,6,0.167,0,5,0.0,1,1,1.0,0.167,7,10,0.7,1,1,2,7,0,0,1,2,9,8.1,H,1,1,hassan-diarra-1,Hassan Diarra,2025
10,144,10,2024-12-08,Connecticut,@,Texas,REG (Non-Conf),W 76-65,*,35,1,5,0.2,0,2,0.0,1,3,0.333,0.2,3,4,0.75,2,2,4,11,1,0,2,3,5,9.0,A,1,1,hassan-diarra-1,Hassan Diarra,2025
11,145,11,2024-12-14,Connecticut,N,Gonzaga,REG (Non-Conf),W 77-71,*,36,2,8,0.25,0,4,0.0,2,4,0.5,0.25,1,1,1.0,1,2,3,7,2,0,3,3,5,4.2,N,1,1,hassan-diarra-1,Hassan Diarra,2025
12,146,12,2024-12-18,Connecticut,,Xavier,REG (Conf),W 94-89 (OT),*,42,5,11,0.455,1,4,0.25,4,7,0.571,0.5,1,2,0.5,0,3,3,11,0,1,1,2,12,13.4,H,1,1,hassan-diarra-1,Hassan Diarra,2025
13,147,13,2024-12-21,Connecticut,@,Butler,REG (Conf),W 78-74,*,32,4,8,0.5,2,3,0.667,2,5,0.4,0.625,2,2,1.0,2,2,4,7,3,1,2,2,12,15.8,A,1,1,hassan-diarra-1,Hassan Diarra,2025
14,148,14,2025-01-01,Connecticut,@,DePaul,REG (Conf),W 81-68,*,26,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,,1,0,1,9,1,0,1,4,7,8.0,A,1,1,hassan-diarra-1,Hassan Diarra,2025
15,149,15,2025-01-05,Connecticut,,Providence,REG (Conf),W 87-84,*,38,4,8,0.5,1,2,0.5,3,6,0.5,0.563,10,11,0.909,1,1,2,8,3,0,3,3,19,20.0,H,1,1,hassan-diarra-1,Hassan Diarra,2025
16,150,16,2025-01-08,Connecticut,@,Villanova,REG (Conf),L 66-68,*,30,4,5,0.8,1,1,1.0,3,4,0.75,0.9,2,2,1.0,1,3,4,9,1,0,2,3,11,14.8,A,0,1,hassan-diarra-1,Hassan Diarra,2025
17,151,17,2025-01-11,Connecticut,@,Georgetown,REG (Conf),W 68-60,*,23,2,8,0.25,0,3,0.0,2,5,0.4,0.25,2,2,1.0,0,3,3,4,3,0,4,3,6,2.7,A,1,1,hassan-diarra-1,Hassan Diarra,2025
18,152,18,2025-01-18,Connecticut,,Creighton,REG (Conf),L 63-68,*,37,7,13,0.538,1,5,0.2,6,8,0.75,0.577,0,0,,1,5,6,7,1,1,0,1,15,17.1,H,0,1,hassan-diarra-1,Hassan Diarra,2025
19,153,19,2025-01-21,Connecticut,,Butler,REG (Conf),W 80-78 (OT),*,39,2,11,0.182,0,2,0.0,2,9,0.222,0.182,0,0,,2,5,7,9,3,0,1,2,4,7.5,H,1,1,hassan-diarra-1,Hassan Diarra,2025
20,154,20,2025-01-25,Connecticut,@,Xavier,REG (Conf),L 72-76,*,26,5,8,0.625,1,3,0.333,4,5,0.8,0.688,1,2,0.5,3,2,5,4,3,0,2,2,12,13.7,A,0,1,hassan-diarra-1,Hassan Diarra,2025
21,155,21,2025-01-29,Connecticut,,DePaul,REG (Conf),W 72-61,*,27,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,2,1,3,3,0,0,2,2,3,1.6,H,1,1,hassan-diarra-1,Hassan Diarra,2025
22,156,22,2025-02-01,Connecticut,@,Marquette,REG (Conf),W 77-69,*,25,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,1,0.0,0,4,4,7,0,0,4,2,5,4.6,A,1,1,hassan-diarra-1,Hassan Diarra,2025
