rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,52,1,2024-11-04,UNC Wilmington,,Mount Olive,REG (Non-Conf),W 143-91,*,7,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,0,1,3,0,0,1,2,4,3.7,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
2,53,2,2024-11-08,UNC Wilmington,,Georgia Southern,REG (Non-Conf),W 92-84,*,32,7,9,0.778,0,0,,7,9,0.778,0.778,7,10,0.7,3,9,12,2,0,3,1,1,21,23.2,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
3,54,3,2024-11-15,UNC Wilmington,@,USC Upstate,REG (Non-Conf),W 89-85,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,3,5,0.6,1,4,5,1,0,1,1,4,13,9.3,A,1,1,khamari-mcgriff-1,Khamari McGriff,2025
4,55,4,2024-11-19,UNC Wilmington,@,Kansas,REG (Non-Conf),L 66-84,*,27,6,8,0.75,0,0,,6,8,0.75,0.75,6,6,1.0,2,5,7,0,1,1,2,4,18,15.8,A,0,1,khamari-mcgriff-1,Khamari McGriff,2025
5,56,5,2024-11-27,UNC Wilmington,,Colgate,REG (Non-Conf),L 59-72,*,13,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,0,1,1,0,0,1,1,4,3,0.7,H,0,1,khamari-mcgriff-1,Khamari McGriff,2025
6,57,6,2024-11-29,UNC Wilmington,,Sam Houston State,REG (Non-Conf),W 69-60,*,19,4,8,0.5,1,1,1.0,3,7,0.429,0.563,2,2,1.0,2,5,7,1,0,0,0,4,11,9.0,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
7,58,7,2024-11-30,UNC Wilmington,,Appalachian State,REG (Non-Conf),W 76-61,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,0,0,,1,1,2,0,1,1,0,4,10,7.5,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
8,59,8,2024-12-03,UNC Wilmington,@,East Carolina,REG (Non-Conf),W 67-53,*,14,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,1,2,0,0,2,1,4,4,1.8,A,1,1,khamari-mcgriff-1,Khamari McGriff,2025
9,60,9,2024-12-07,UNC Wilmington,,Marshall,REG (Non-Conf),W 78-69,*,21,5,6,0.833,0,0,,5,6,0.833,0.833,3,3,1.0,2,4,6,0,0,2,1,2,13,13.0,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
10,61,10,2024-12-14,UNC Wilmington,@,Howard,REG (Non-Conf),L 83-88,*,30,14,16,0.875,1,1,1.0,13,15,0.867,0.906,5,8,0.625,2,3,5,0,1,1,0,2,34,30.4,A,0,1,khamari-mcgriff-1,Khamari McGriff,2025
11,62,11,2024-12-18,UNC Wilmington,,Florida Gulf Coast,REG (Non-Conf),W 79-66,*,16,2,5,0.4,0,0,,2,5,0.4,0.4,1,3,0.333,1,3,4,0,0,1,0,1,5,3.4,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
12,63,12,2024-12-21,UNC Wilmington,,UNC Asheville,REG (Non-Conf),W 85-74,*,8,2,2,1.0,0,0,,2,2,1.0,1.0,1,2,0.5,0,2,2,1,1,0,1,1,5,4.9,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
13,64,14,2025-01-02,UNC Wilmington,,Towson,REG (Conf),L 61-65 (OT),,14,1,1,1.0,0,0,,1,1,1.0,1.0,0,2,0.0,0,3,3,0,0,1,1,3,2,0.3,H,0,1,khamari-mcgriff-1,Khamari McGriff,2025
14,65,15,2025-01-04,UNC Wilmington,,Campbell,REG (Conf),W 77-69,,17,6,8,0.75,0,0,,6,8,0.75,0.75,3,5,0.6,6,1,7,0,0,0,0,1,15,15.1,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
15,66,16,2025-01-09,UNC Wilmington,@,Monmouth,REG (Conf),W 64-55,,26,3,9,0.333,0,0,,3,9,0.333,0.333,1,2,0.5,2,2,4,0,0,4,1,0,7,5.3,A,1,1,khamari-mcgriff-1,Khamari McGriff,2025
16,67,17,2025-01-11,UNC Wilmington,@,Hofstra,REG (Conf),L 63-66,,23,3,5,0.6,0,1,0.0,3,4,0.75,0.6,2,2,1.0,1,2,3,1,1,1,1,2,8,7.6,A,0,1,khamari-mcgriff-1,Khamari McGriff,2025
17,68,18,2025-01-16,UNC Wilmington,,Northeastern,REG (Conf),W 80-72,,13,3,3,1.0,0,0,,3,3,1.0,1.0,1,1,1.0,1,1,2,1,0,1,2,0,7,6.5,H,1,1,khamari-mcgriff-1,Khamari McGriff,2025
