rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,45,1,2024-11-04,Yale,,Quinnipiac,REG (Non-Conf),W 88-62,*,28,5,11,0.455,2,2,1.0,3,9,0.333,0.545,2,2,1.0,3,4,7,2,1,0,3,2,14,10.2,H,1,1,nick-townsend-1,Nick Townsend,2025
2,46,2,2024-11-08,Yale,@,Illinois–Chicago,REG (Non-Conf),L 79-91,*,31,4,11,0.364,0,2,0.0,4,9,0.444,0.364,4,6,0.667,0,3,3,1,0,0,0,1,12,6.3,A,0,1,nick-townsend-1,Nick Townsend,2025
3,47,3,2024-11-11,Yale,@,Purdue,REG (Non-Conf),L 84-92,*,29,5,9,0.556,0,2,0.0,5,7,0.714,0.556,2,4,0.5,1,2,3,4,1,0,3,3,12,7.8,A,0,1,nick-townsend-1,Nick Townsend,2025
4,48,4,2024-11-13,Yale,,Emerson,REG (Non-Conf),W 100-46,*,19,4,9,0.444,0,2,0.0,4,7,0.571,0.444,0,0,,1,4,5,5,2,0,1,3,8,8.5,H,1,1,nick-townsend-1,Nick Townsend,2025
5,49,5,2024-11-16,Yale,@,Minnesota,REG (Non-Conf),L 56-59,*,24,1,3,0.333,0,0,,1,3,0.333,0.333,2,4,0.5,1,4,5,6,0,0,2,4,4,4.0,A,0,1,nick-townsend-1,Nick Townsend,2025
6,50,6,2024-11-20,Yale,@,Stony Brook,REG (Non-Conf),W 86-64,*,28,7,12,0.583,2,2,1.0,5,10,0.5,0.667,2,4,0.5,1,8,9,5,1,0,3,2,18,15.4,A,1,1,nick-townsend-1,Nick Townsend,2025
7,51,7,2024-11-23,Yale,N,Fairfield,REG (Non-Conf),W 91-66,*,25,7,13,0.538,0,2,0.0,7,11,0.636,0.538,2,2,1.0,1,6,7,5,0,0,1,3,16,13.5,N,1,1,nick-townsend-1,Nick Townsend,2025
8,52,8,2024-11-24,Yale,N,Delaware,REG (Non-Conf),L 94-100,*,33,7,12,0.583,0,0,,7,12,0.583,0.583,6,8,0.75,2,8,10,4,0,0,1,2,20,18.4,N,0,1,nick-townsend-1,Nick Townsend,2025
9,53,9,2024-12-02,Yale,@,Rhode Island,REG (Non-Conf),L 78-84,*,29,6,13,0.462,0,2,0.0,6,11,0.545,0.462,2,3,0.667,2,3,5,5,1,0,0,0,14,13.7,A,0,1,nick-townsend-1,Nick Townsend,2025
10,54,10,2024-12-07,Yale,,Vermont,REG (Non-Conf),W 65-50,*,31,4,10,0.4,2,4,0.5,2,6,0.333,0.5,3,4,0.75,1,5,6,4,0,0,1,0,13,11.2,H,1,1,nick-townsend-1,Nick Townsend,2025
11,55,11,2024-12-20,Yale,N,Akron,REG (Non-Conf),W 74-58,*,31,7,14,0.5,0,2,0.0,7,12,0.583,0.5,4,5,0.8,3,8,11,3,0,0,2,2,18,14.4,N,1,1,nick-townsend-1,Nick Townsend,2025
12,56,12,2024-12-21,Yale,@,UTEP,REG (Non-Conf),L 74-75,*,32,3,7,0.429,0,0,,3,7,0.429,0.429,5,6,0.833,3,10,13,3,0,0,3,1,11,10.7,A,0,1,nick-townsend-1,Nick Townsend,2025
13,57,13,2025-01-01,Yale,,Howard,REG (Non-Conf),W 93-65,*,28,4,10,0.4,2,4,0.5,2,6,0.333,0.5,4,6,0.667,2,2,4,1,0,0,2,2,14,7.7,H,1,1,nick-townsend-1,Nick Townsend,2025
14,58,14,2025-01-11,Yale,,Brown,REG (Conf),W 79-58,*,31,6,15,0.4,1,4,0.25,5,11,0.455,0.433,5,6,0.833,4,4,8,3,1,1,1,2,18,15.5,H,1,1,nick-townsend-1,Nick Townsend,2025
15,59,15,2025-01-18,Yale,@,Columbia,REG (Conf),W 92-88,*,30,8,12,0.667,1,2,0.5,7,10,0.7,0.708,3,3,1.0,4,5,9,4,1,0,2,3,20,19.7,A,1,1,nick-townsend-1,Nick Townsend,2025
16,60,16,2025-01-20,Yale,,Dartmouth,REG (Conf),W 83-67,*,29,5,10,0.5,1,2,0.5,4,8,0.5,0.55,1,1,1.0,0,4,4,4,1,0,2,3,12,8.8,H,1,1,nick-townsend-1,Nick Townsend,2025
17,61,17,2025-01-25,Yale,,Harvard,REG (Conf),W 84-55,*,28,6,11,0.545,1,1,1.0,5,10,0.5,0.591,9,11,0.818,7,5,12,3,1,2,2,0,22,24.8,H,1,1,nick-townsend-1,Nick Townsend,2025
18,62,18,2025-01-31,Yale,@,Princeton,REG (Conf),W 77-70,*,33,6,9,0.667,1,1,1.0,5,8,0.625,0.722,1,1,1.0,4,1,5,3,1,0,2,3,14,13.1,A,1,1,nick-townsend-1,Nick Townsend,2025
19,63,19,2025-02-01,Yale,@,Pennsylvania,REG (Conf),W 90-61,*,31,9,13,0.692,2,3,0.667,7,10,0.7,0.769,3,4,0.75,0,9,9,3,2,0,0,1,23,23.5,A,1,1,nick-townsend-1,Nick Townsend,2025
20,64,20,2025-02-08,Yale,@,Cornell,REG (Conf),W 103-88,*,32,11,13,0.846,1,1,1.0,10,12,0.833,0.885,2,3,0.667,2,4,6,5,0,1,2,1,25,24.3,A,1,1,nick-townsend-1,Nick Townsend,2025
