rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,69,1,2024-11-05,Brigham Young,,Central Arkansas,REG (Non-Conf),W 88-50,*,26,6,11,0.545,3,7,0.429,3,4,0.75,0.682,1,2,0.5,3,5,8,2,1,0,0,0,16,16.3,H,1,1,richie-saunders-1,Richie Saunders,2025
2,70,2,2024-11-08,Brigham Young,,UC Riverside,REG (Non-Conf),W 86-80,*,32,5,11,0.455,1,2,0.5,4,9,0.444,0.5,1,2,0.5,1,5,6,2,1,1,1,4,12,8.6,H,1,1,richie-saunders-1,Richie Saunders,2025
3,71,3,2024-11-13,Brigham Young,,Queens (NC),REG (Non-Conf),W 99-55,*,22,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,2,0.0,0,6,6,1,0,1,1,0,7,4.7,H,1,1,richie-saunders-1,Richie Saunders,2025
4,72,4,2024-11-16,Brigham Young,,Idaho,REG (Non-Conf),W 95-71,*,30,10,15,0.667,4,8,0.5,6,7,0.857,0.8,2,3,0.667,0,4,4,3,4,3,0,1,26,28.1,H,1,1,richie-saunders-1,Richie Saunders,2025
5,73,5,2024-11-23,Brigham Young,,Mississippi Valley State,REG (Non-Conf),W 87-43,*,19,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,0,0,2,2,0,0,2,7,5.9,H,1,1,richie-saunders-1,Richie Saunders,2025
6,74,6,2024-11-28,Brigham Young,N,Ole Miss,REG (Non-Conf),L 85-96 (OT),*,33,4,13,0.308,1,7,0.143,3,6,0.5,0.346,7,8,0.875,2,3,5,0,2,0,2,4,16,8.8,N,0,1,richie-saunders-1,Richie Saunders,2025
7,75,7,2024-11-29,Brigham Young,N,NC State,REG (Non-Conf),W 72-61,*,27,4,7,0.571,3,3,1.0,1,4,0.25,0.786,2,2,1.0,0,3,3,1,1,0,0,1,13,11.9,N,1,1,richie-saunders-1,Richie Saunders,2025
8,76,8,2024-12-03,Brigham Young,@,Providence,REG (Non-Conf),L 64-83,*,26,3,8,0.375,1,4,0.25,2,4,0.5,0.438,0,0,,0,3,3,0,2,0,0,3,7,4.3,A,0,1,richie-saunders-1,Richie Saunders,2025
9,77,9,2024-12-11,Brigham Young,,Fresno State,REG (Non-Conf),W 95-67,*,33,7,14,0.5,3,7,0.429,4,7,0.571,0.607,0,0,,1,3,4,0,0,0,4,1,17,7.2,H,1,1,richie-saunders-1,Richie Saunders,2025
10,78,10,2024-12-14,Brigham Young,N,Wyoming,REG (Non-Conf),W 68-49,*,1,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,1,0,0,0,2,2.7,N,1,1,richie-saunders-1,Richie Saunders,2025
