rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,61,1,2024-11-04,Akron,@,Arkansas State,REG (Non-Conf),L 75-80 (OT),,28,4,10,0.4,0,3,0.0,4,7,0.571,0.4,0,0,,0,5,5,2,1,1,1,0,8,6.2,A,0,1,shammah-scott-1,Shammah Scott,2025
2,62,2,2024-11-08,Akron,,Ohio Wesleyan,REG (Non-Conf),W 88-57,*,21,1,5,0.2,1,3,0.333,0,2,0.0,0.3,0,0,,0,2,2,3,0,1,1,1,3,1.9,H,1,1,shammah-scott-1,Shammah Scott,2025
3,63,3,2024-11-12,Akron,@,St. Mary's (CA),REG (Non-Conf),L 68-87,,22,3,6,0.5,1,3,0.333,2,3,0.667,0.583,2,3,0.667,0,3,3,4,1,0,1,0,9,9.3,A,0,1,shammah-scott-1,Shammah Scott,2025
4,64,4,2024-11-22,Akron,,Lamar,REG (Non-Conf),W 79-72,,18,2,5,0.4,1,4,0.25,1,1,1.0,0.5,2,2,1.0,1,2,3,1,0,0,0,3,7,5.1,H,1,1,shammah-scott-1,Shammah Scott,2025
5,65,5,2024-11-23,Akron,,Omaha,REG (Non-Conf),W 92-84,,11,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,1,1,1,1,0,2,2,2,-0.5,H,1,1,shammah-scott-1,Shammah Scott,2025
6,66,6,2024-11-24,Akron,,Alabama State,REG (Non-Conf),W 97-78,,22,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,0,,0,4,4,2,1,0,2,0,8,5.2,H,1,1,shammah-scott-1,Shammah Scott,2025
7,67,8,2024-12-07,Akron,,Brockport,REG (Non-Conf),W 101-48,,21,3,8,0.375,1,6,0.167,2,2,1.0,0.438,3,3,1.0,5,2,7,4,0,1,0,2,10,12.4,H,1,1,shammah-scott-1,Shammah Scott,2025
8,68,9,2024-12-15,Akron,N,Milwaukee,REG (Non-Conf),L 81-100,,25,4,6,0.667,2,2,1.0,2,4,0.5,0.833,0,0,,1,1,2,2,0,0,1,0,10,8.8,N,0,1,shammah-scott-1,Shammah Scott,2025
9,69,10,2024-12-20,Akron,N,Yale,REG (Non-Conf),L 58-74,,24,3,8,0.375,2,5,0.4,1,3,0.333,0.5,2,2,1.0,0,2,2,1,0,0,1,1,10,5.5,N,0,1,shammah-scott-1,Shammah Scott,2025
10,70,11,2024-12-21,Akron,N,Jackson State,REG (Non-Conf),W 68-50,,24,4,7,0.571,2,3,0.667,2,4,0.5,0.714,2,2,1.0,1,5,6,2,1,0,0,0,12,13.3,N,1,1,shammah-scott-1,Shammah Scott,2025
11,71,12,2024-12-30,Akron,@,Princeton,REG (Non-Conf),L 75-76,,19,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,1,2,3,1,0,0,1,2,7,4.9,A,0,1,shammah-scott-1,Shammah Scott,2025
12,72,13,2025-01-03,Akron,@,Bowling Green,REG (Conf),W 71-68,,26,4,11,0.364,2,7,0.286,2,4,0.5,0.455,1,2,0.5,0,2,2,0,1,0,1,0,11,5.1,A,1,1,shammah-scott-1,Shammah Scott,2025
13,73,14,2025-01-07,Akron,,Central Michigan,REG (Conf),W 87-71,,27,4,8,0.5,4,5,0.8,0,3,0.0,0.75,0,0,,0,2,2,2,2,0,1,1,12,10.6,H,1,1,shammah-scott-1,Shammah Scott,2025
14,74,15,2025-01-11,Akron,@,Eastern Michigan,REG (Conf),W 105-81,,23,3,7,0.429,0,2,0.0,3,5,0.6,0.429,4,4,1.0,0,6,6,2,2,1,3,2,10,8.4,A,1,1,shammah-scott-1,Shammah Scott,2025
15,75,16,2025-01-14,Akron,,Toledo,REG (Conf),W 85-78,,27,5,9,0.556,2,5,0.4,3,4,0.75,0.667,0,1,0.0,0,3,3,1,1,1,2,3,12,7.4,H,1,1,shammah-scott-1,Shammah Scott,2025
16,76,17,2025-01-17,Akron,,Ohio,REG (Conf),W 92-80,,25,3,7,0.429,1,3,0.333,2,4,0.5,0.5,1,2,0.5,0,5,5,4,1,0,0,0,8,9.2,H,1,1,shammah-scott-1,Shammah Scott,2025
17,77,18,2025-01-21,Akron,@,Buffalo,REG (Conf),W 90-58,,26,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,0,3,3,4,0,1,2,1,3,2.6,A,1,1,shammah-scott-1,Shammah Scott,2025
18,78,19,2025-01-25,Akron,,Miami (OH),REG (Conf),W 102-75,,25,3,7,0.429,2,6,0.333,1,1,1.0,0.571,0,0,,1,8,9,4,0,0,0,2,8,9.4,H,1,1,shammah-scott-1,Shammah Scott,2025
19,79,20,2025-01-28,Akron,@,Northern Illinois,REG (Conf),W 80-70,,24,4,7,0.571,2,3,0.667,2,4,0.5,0.714,1,2,0.5,3,4,7,0,1,0,0,3,11,10.4,A,1,1,shammah-scott-1,Shammah Scott,2025
20,80,21,2025-01-31,Akron,@,Kent State,REG (Conf),W 85-71,,28,2,8,0.25,2,6,0.333,0,2,0.0,0.375,0,0,,0,3,3,4,2,0,0,0,6,6.9,A,1,1,shammah-scott-1,Shammah Scott,2025
21,81,22,2025-02-04,Akron,,Ball State,REG (Conf),W 81-73,,29,5,10,0.5,2,6,0.333,3,4,0.75,0.6,1,1,1.0,1,3,4,6,1,2,1,2,13,14.4,H,1,1,shammah-scott-1,Shammah Scott,2025
22,82,23,2025-02-08,Akron,,South Alabama,REG (Non-Conf),W 80-67,,23,0,6,0.0,0,5,0.0,0,1,0.0,0.0,0,0,,0,1,1,4,0,1,4,2,0,-5.2,H,1,1,shammah-scott-1,Shammah Scott,2025
23,83,24,2025-02-11,Akron,,Western Michigan,REG (Conf),W 105-92,,22,2,5,0.4,1,2,0.5,1,3,0.333,0.5,1,2,0.5,0,0,0,3,1,0,0,2,6,5.2,H,1,1,shammah-scott-1,Shammah Scott,2025
24,84,25,2025-02-15,Akron,@,Central Michigan,REG (Conf),W 85-82,,27,4,5,0.8,2,3,0.667,2,2,1.0,1.0,3,4,0.75,0,3,3,3,0,0,1,0,13,12.7,A,1,1,shammah-scott-1,Shammah Scott,2025
25,85,26,2025-02-18,Akron,,Northern Illinois,REG (Conf),W 73-63,,28,5,7,0.714,2,3,0.667,3,4,0.75,0.857,3,4,0.75,1,4,5,4,0,1,0,3,15,15.9,H,1,1,shammah-scott-1,Shammah Scott,2025
26,86,27,2025-02-22,Akron,@,Ohio,REG (Conf),L 67-84,,24,2,7,0.286,0,2,0.0,2,5,0.4,0.286,0,1,0.0,0,3,3,7,1,1,2,2,4,4.2,A,0,1,shammah-scott-1,Shammah Scott,2025
