rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,133,1,2024-11-06,Creighton,,Texas–Rio Grande Valley,REG (Non-Conf),W 99-86,*,32,3,10,0.3,2,7,0.286,1,3,0.333,0.4,17,17,1.0,0,7,7,7,0,0,2,3,25,23.0,H,1,1,steven-ashworth-1,Steven Ashworth,2025
2,134,2,2024-11-10,Creighton,,FDU,REG (Non-Conf),W 96-70,*,27,5,9,0.556,5,8,0.625,0,1,0.0,0.833,0,0,,0,5,5,9,1,1,4,0,15,16.2,H,1,1,steven-ashworth-1,Steven Ashworth,2025
3,135,3,2024-11-13,Creighton,,Houston Christian,REG (Non-Conf),W 78-43,*,25,4,6,0.667,3,5,0.6,1,1,1.0,0.917,2,2,1.0,0,7,7,6,1,0,1,0,13,16.7,H,1,1,steven-ashworth-1,Steven Ashworth,2025
4,136,4,2024-11-16,Creighton,,Kansas City,REG (Non-Conf),W 79-56,*,34,4,10,0.4,3,9,0.333,1,1,1.0,0.55,0,0,,0,1,1,6,1,0,1,1,11,9.7,H,1,1,steven-ashworth-1,Steven Ashworth,2025
5,137,5,2024-11-22,Creighton,,Nebraska,REG (Non-Conf),L 63-74,*,35,4,13,0.308,4,13,0.308,0,0,,0.462,4,4,1.0,0,1,1,4,0,0,7,2,16,3.8,H,0,1,steven-ashworth-1,Steven Ashworth,2025
6,138,7,2024-11-27,Creighton,N,Texas A&M,REG (Non-Conf),L 73-77,*,31,4,11,0.364,4,9,0.444,0,2,0.0,0.545,2,3,0.667,0,1,1,1,0,0,2,3,14,5.3,N,0,1,steven-ashworth-1,Steven Ashworth,2025
7,139,8,2024-11-30,Creighton,N,Notre Dame,REG (Non-Conf),W 80-76,*,36,4,11,0.364,3,8,0.375,1,3,0.333,0.5,4,4,1.0,0,1,1,6,1,0,4,1,15,10.0,N,1,1,steven-ashworth-1,Steven Ashworth,2025
8,140,9,2024-12-04,Creighton,,Kansas,REG (Non-Conf),W 76-63,*,38,5,14,0.357,3,9,0.333,2,5,0.4,0.464,4,4,1.0,0,8,8,6,0,0,6,0,17,9.8,H,1,1,steven-ashworth-1,Steven Ashworth,2025
9,141,10,2024-12-07,Creighton,,UNLV,REG (Non-Conf),W 83-65,*,34,6,10,0.6,3,7,0.429,3,3,1.0,0.75,2,2,1.0,0,4,4,8,1,0,1,2,17,18.4,H,1,1,steven-ashworth-1,Steven Ashworth,2025
10,142,11,2024-12-14,Creighton,@,Alabama,REG (Non-Conf),L 75-83,*,39,5,13,0.385,2,8,0.25,3,5,0.6,0.462,8,8,1.0,0,0,0,9,0,0,4,4,20,13.6,A,0,1,steven-ashworth-1,Steven Ashworth,2025
