rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,102,1,2024-11-04,Marquette,,Stony Brook,REG (Non-Conf),W 102-62,*,21,3,4,0.75,1,2,0.5,2,2,1.0,0.875,2,2,1.0,3,3,6,6,4,0,0,1,9,18.2,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
2,103,2,2024-11-08,Marquette,,George Mason,REG (Non-Conf),W 82-63,*,23,1,4,0.25,0,0,,1,4,0.25,0.25,1,2,0.5,1,1,2,0,1,0,2,3,3,-1.0,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
3,104,3,2024-11-11,Marquette,,Central Michigan,REG (Non-Conf),W 70-62,*,29,5,8,0.625,2,2,1.0,3,6,0.5,0.75,5,7,0.714,1,0,1,2,3,1,2,1,17,16.0,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
4,105,4,2024-11-15,Marquette,@,Maryland,REG (Non-Conf),W 78-74,*,28,6,10,0.6,0,1,0.0,6,9,0.667,0.6,6,6,1.0,3,2,5,1,1,0,2,1,18,15.4,A,1,1,stevie-mitchell-1,Stevie Mitchell,2025
5,106,5,2024-11-19,Marquette,,Purdue,REG (Non-Conf),W 76-58,*,30,6,11,0.545,1,1,1.0,5,10,0.5,0.591,8,8,1.0,1,1,2,0,4,1,0,2,21,20.6,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
6,107,6,2024-11-23,Marquette,N,Georgia,REG (Non-Conf),W 80-69,*,29,2,6,0.333,0,1,0.0,2,5,0.4,0.333,3,5,0.6,2,4,6,3,4,0,1,3,7,9.3,N,1,1,stevie-mitchell-1,Stevie Mitchell,2025
7,108,7,2024-11-27,Marquette,,Stonehill,REG (Non-Conf),W 94-59,*,20,4,6,0.667,0,1,0.0,4,5,0.8,0.667,1,3,0.333,0,0,0,0,2,0,0,1,9,7.2,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
8,109,8,2024-11-30,Marquette,,Western Carolina,REG (Non-Conf),W 94-62,*,22,4,6,0.667,2,3,0.667,2,3,0.667,0.833,0,0,,1,4,5,1,3,0,0,3,10,11.8,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
9,110,9,2024-12-04,Marquette,@,Iowa State,REG (Non-Conf),L 70-81,*,31,4,7,0.571,1,1,1.0,3,6,0.5,0.643,4,7,0.571,2,0,2,1,2,0,0,4,13,11.0,A,0,1,stevie-mitchell-1,Stevie Mitchell,2025
10,111,10,2024-12-07,Marquette,,Wisconsin,REG (Non-Conf),W 88-74,*,29,5,8,0.625,1,3,0.333,4,5,0.8,0.688,1,2,0.5,4,2,6,0,1,0,0,3,12,11.2,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
11,112,11,2024-12-14,Marquette,@,Dayton,REG (Non-Conf),L 63-71,*,28,2,9,0.222,1,3,0.333,1,6,0.167,0.278,0,2,0.0,2,4,6,1,0,0,4,1,5,-2.4,A,0,1,stevie-mitchell-1,Stevie Mitchell,2025
12,113,12,2024-12-18,Marquette,,Butler,REG (Conf),W 80-70,*,30,6,6,1.0,0,0,,6,6,1.0,1.0,3,4,0.75,5,4,9,0,2,0,1,3,15,17.3,H,1,1,stevie-mitchell-1,Stevie Mitchell,2025
13,114,13,2024-12-21,Marquette,@,Xavier,REG (Conf),W 72-70,*,32,4,7,0.571,0,0,,4,7,0.571,0.571,2,2,1.0,1,2,3,1,4,0,0,4,10,11.1,A,1,1,stevie-mitchell-1,Stevie Mitchell,2025
